subject,predicate,object
IF_0_3,dct:modified,2020-02
IF_0_3,pav:version,11
IF_0_4,rdf:value,874291
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗悪性腫瘍剤／ALK阻害剤
IF_0_8,rdf:value,アレクチニブ塩酸塩
IF_0_9,,
IF_0_10,rdf:value,"劇薬
処方箋医薬品（注意－医師等の処方箋により使用すること）"
IF_0_11,,
IF_0_12,rdf:value,和名：アレクチニブ塩酸塩（JAN）
IF_0_12,rdf:value,"洋名：Alectinib Hydrochloride（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,中外製薬株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"中外製薬株式会社 メディカルインフォメーション部
TEL：0120-189706 FAX：0120-189705
医療関係者向けホームページ
https://www.chugai-pharm.co.jp/"
IF_0_19,rdf:value,2020-02
IF_1,,
IF_1_1,rdf:value,"アレセンサ®カプセルは、未分化リンパ腫キナーゼ（以下、ALK）に対して選択的阻害活性を有する新規化合物である、アレクチニブ塩酸塩を有効成分とする抗悪性腫瘍薬である。
ALKはインスリン受容体スーパーファミリーに属する受容体型チロシンキナーゼで、2007年に、非小細胞肺癌における新たな原因遺伝子として、EML4-ALK融合遺伝子が発見された。ALKは非小細胞肺癌治療における新たな標的として有望であることから、中外製薬ではキナーゼ阻害活性を指標として、百万以上の化合物ライブラリーを用いたハイスループットスクリーニングを実施し、新規性の高いベンゾ[b]カルバゾール骨格を見出し、更なる構造改変から選択的ALK阻害薬の創製に成功した。
アレセンサはALK融合遺伝子陽性ヒト非小細胞肺癌細胞株に対し、in vitro細胞増殖阻害試験及びin vivo（マウス）腫瘍増殖阻害試験において抗腫瘍効果を示した。
また、アレセンサ®カプセル20mg/40mg（以下、本20mg/40mg製剤*）は本邦において、ALK融合遺伝子陽性非小細胞肺癌患者を対象としたAF-001JP試験（国内第Ⅰ/Ⅱ相試験）が実施され、2013年10月に承認申請を行った。アレセンサは化学構造的に新規性を有し、ALKに対する選択性が期待され、国内第Ⅰ/Ⅱ相臨床試験結果から安全性及び有効性ともに良好な成績が得られていることなどから、2013年9月には希少疾病用医薬品に指定されている。
本20mg/40mg製剤*は、ALK融合遺伝子陽性非小細胞肺癌患者を対象としたAF-001JP試験（国内第Ⅰ/Ⅱ相試験）を主要な試験成績として、2014年7月に世界に先駆け、本邦において「ALK融合遺伝子陽性の切除不能な進行・再発の非小細胞肺癌」の効能又は効果で承認を取得した。
また、本20mg/40mg製剤*での1回あたりの服薬カプセル数など、患者の服薬の負担を軽減し、利便性を改善することを目的として、本150mg製剤の開発が計画された。そして、本150mg製剤と本20mg/40mg製剤*のJP28927試験（国内生物学的同等性試験）の成績をもとに、2015年9月に本150mg製剤の承認を取得した。
さらに、ALK阻害剤未治療のALK融合遺伝子陽性非小細胞肺癌患者を対象として、クリゾチニブに対するアレセンサの有効性及び安全性を検証するJO28928試験（国内第Ⅲ相試験）を実施した。
その後、国立研究開発法人日本医療研究開発機構の「革新的がん医療実用化研究事業」として、再発又は難治性のALK融合遺伝子陽性の未分化大細胞リンパ腫患者を対象としたALC-ALCL試験（国内第Ⅱ相試験）が実施され、2019年5月には「ALK融合遺伝子陽性の未分化大細胞リンパ腫」の希少疾病用医薬品に指定された。本試験を主要な試験成績として、2020年2月に「再発又は難治性のALK融合遺伝子陽性の未分化大細胞リンパ腫」の効能又は効果で承認を取得した。
* アレセンサカプセル20/40mgは販売終了"
IF_1_1,dct:references,
IF_1_2,rdf:value,"１．アレセンサはわが国で創製されたALK阻害薬であり、ALKのチロシンキナーゼ活性を阻害することにより、ALK融合遺伝子陽性の腫瘍細胞の増殖を抑制する（in vitro）。
（「Ⅵ－２（１）作用部位・作用機序」「Ⅵ－２（２）－１）ALKを含めた各種キナーゼに対する酵素阻害活性の検討」参照）
２．アレセンサはALK融合遺伝子陽性の非小細胞肺癌株（NCI-H2228）に対して選択的に細胞増殖を抑制し（in vitro）、NCI-H2228を皮下移植したモデルにおいて、腫瘍増殖抑制作用を示した（マウス）。
（「Ⅵ－２（２）－２）－①ALK融合遺伝子陽性及び陰性のヒト癌細胞株における増殖阻害効果」「Ⅵ－２（２）－４）－①ヒト非小細胞肺癌移植マウスモデルにおける抗腫瘍効果」参照）
３－１．1レジメン以上の化学療法歴を有するALK融合遺伝子陽性注）の進行・再発非小細胞肺癌患者を対象としたAF-001JP試験（国内第Ⅰ/Ⅱ相試験）の第Ⅱ相部分（46例）で、本剤
を1回300mg 1日2回連日経口投与された患者における奏効率は93.5%［95%信頼区間：82.1－98.6］であった。
注）免疫組織化学染色（IHC）法及び蛍光in situハイブリダイゼーション（FISH）法、又は逆転写ポリメラーゼ連鎖反応（RT-PCR）法を用いて検査
（「Ⅴ－５（７）その他」参照）
３－２．ALK阻害剤未治療のALK融合遺伝子陽性注1）の進行・再発非小細胞肺癌患者を対象としたJO28928試験（国内第Ⅲ相試験）で、クリゾチニブに対するアレクチニブの無増悪生存期間（PFS）注2）に関する優越性が検証された［p<0.0001（層別Log-rank検定）］。PFSのハザード比注3）は0.34［99.7%信頼区間：0.17－0.71］であり、PFS中央値はアレクチニブ群で推定不能［95%信頼区間：20.3カ月－推定不能］、クリゾチニブ群で10.2カ月［95%信頼区間：8.2－12.0］であった。
注1）IHC法及びFISH法、又はRT-PCR法を用いて検査
注2）Intention to Treat解析、独立判定機関による評価
注3）層別Cox比例ハザードモデルによる推定値
（「Ⅴ－５（４）－１）有効性検証試験」参照）
４．6歳以上の再発又は難治性のALK融合遺伝子陽性注）未分化大細胞リンパ腫患者を対象としたALC-ALCL試験（国内第Ⅱ相試験）で、奏効率は80.0%［両側90%信頼区間：56.2－95.9］であった。
注）IHC法により、ALK融合遺伝子陽性であることが組織学的に確定診断されている未分化大細胞リンパ腫患者を対象
（「Ⅴ－５（７）その他」参照）
５．重大な副作用として、間質性肺疾患、肝機能障害、好中球減少、白血球減少、消化管穿孔、血栓塞栓症が報告された。主な副作用は、便秘、発疹、味覚異常、血中ビリルビン増加、AST増加、血中クレアチニン増加、血中CK増加であった。
（「Ⅷ－８．副作用」参照）"
IF_1_2,rdfs:seeAlso,"IF_5_5_7, IF_5_5_4_1, IF_5_5_7, IF_8_8"
IF_1_3,rdf:value,特になし
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,（「Ⅰ－６．RMPの概要」参照）
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,"〈ALK融合遺伝子陽性の切除不能な進行・再発の非小細胞肺癌〉
・医療従事者向け資材：アレセンサカプセル150mg 適正使用ガイド
・患者向け資材：アレセンサハンドブック
〈再発又は難治性のALK融合遺伝子陽性の未分化大細胞リンパ腫〉
・医療従事者向け資材：アレセンサカプセル150mg 適正使用ガイド
・患者向け資材：アレセンサハンドブック
（「ⅩⅢ－その他の関連資料」参照）"
IF_1_4_2,rdfs:seeAlso,IF_13
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,有
IF_1_4_4,rdfs:comment,"・「薬価基準等の一部改正について」等の一部改正等について（平成30年3月26日 保医発0326第8号）
（「Ⅹ－14．保険給付上の注意」参照）"
IF_1_4_4,rdfs:seeAlso,IF_10_14
IF_1_5,,
IF_1_5_1,rdf:value,医薬品リスク管理計画を策定の上、適切に実施すること。
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,"2020年2月現在、「再発又は難治性のALK融合遺伝子陽性の未分化大細胞リンパ腫」承認に伴い改訂中。
最新の情報は、独立行政法人 医薬品医療機器総合機構の医薬品情報検索ページで確認してください。"
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,アレセンサ®カプセル150mg
IF_2_1_2,rdf:value,"ALECENSA® Capsules 150mg"
IF_2_1_3,rdf:value,"ALECtinib ＋ sENSible（賢明な、理にかなった）に由来する。"
IF_2_2,,
IF_2_2_1,rdf:value,アレクチニブ塩酸塩（JAN）
IF_2_2_2,rdf:value,"Alectinib Hydrochloride（JAN）
alectinib（r-INN）"
IF_2_2_3,rdf:value,"－tinib：tyrosine kinase inhibitors"
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式：C30H34N4O2・HCl
分子量：519.08"
IF_2_5,rdf:value,"9-Ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-
benzo[b]carbazole-3-carbonitrile monohydrochloride（IUPAC）"
IF_2_6,rdf:value,"AF802／RG7853（開発コード）
CH5424802／RO5424802（治験成分記号）"
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,白色～黄赤みの白色の粉末又は塊のある粉末である。
IF_3_1_2,rdf:value,
IF_3_1_3,rdf:value,25℃付近において0%RHから90%RHまで湿度を変化させたところ、質量変化率は0.8%であった。また、臨界相対湿度は認められなかった。以上より、わずかに吸湿性である。
IF_3_1_4,rdf:value,融点：約302℃（分解）
IF_3_1_5,rdf:value,pKa＝7.05
IF_3_1_6,rdf:value,
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,"旋光性：光学異性はない。
pH：4.8"
IF_3_2,rdf:value,
