subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:if_id,450045_4291032M3021_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:pi_id,450045_4291032M3021_1_011_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,4291032M3021
,,
4291032M3021,ifo:if_0_8,アレセンサカプセル150mg
4291032M3021,ifo:if_0_9,硬カプセル剤
4291032M3021,ifo:if_0_11,1カプセル中アレクチニブ塩酸塩161.33mg（アレクチニブとして150mg）
4291032M3021,ifo:if_0_13,2015-09-02
4291032M3021,ifo:if_0_14,2015-11-28
4291032M3021,ifo:if_0_15,2015-12-09
4291032M3021,ifo:if_10_8,22700AMX00997
4291032M3021,ifo:yakka_code,4291032M3021
4291032M3021,ifo:yj_code,4291032M3021
4291032M3021,ifo:hot_code,124438001
4291032M3021,ifo:resept_code,622443801
