subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,23639470
1,ifo:internal_reference_id,
2,rdf:type,bibo:Document
2,rdfs:label,国内第Ⅰ/Ⅱ相試験（AF-001JP試験）
2,dct:dateAccepted,
2,ifo:internal_reference_id,
2,ifo:ctd_number,
3,rdf:type,bibo:Document
3,rdfs:label,国内生物学的同等性試験（JP28927試験）
3,dct:dateAccepted,
3,ifo:internal_reference_id,
3,ifo:ctd_number,
4,rdf:type,bibo:Article
4,dct:references,28501140
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,国内第Ⅲ相試験（JO28928試験）
5,dct:dateAccepted,
5,ifo:internal_reference_id,
5,ifo:ctd_number,
6,rdf:type,bibo:Document
6,rdfs:label,ALC-ALCL試験の有効性の成績
6,dct:dateAccepted,2020-02-21
6,ifo:internal_reference_id,
6,ifo:ctd_number,"CTD 2.5.4.3"
7,rdf:type,bibo:Article
7,dct:references,21575866
7,ifo:internal_reference_id,
8,rdf:type,bibo:Document
8,rdfs:label,ALKに対する阻害作用
8,dct:dateAccepted,2014-07-04
8,ifo:internal_reference_id,
8,ifo:ctd_number,"CTD 2.6.2.2.1"
9,rdf:type,bibo:Article
9,dct:references,25349307
9,ifo:internal_reference_id,
10,rdf:type,bibo:Document
10,rdfs:label,ヒト癌細胞株における増殖阻害効果
10,dct:dateAccepted,2014-07-04
10,ifo:internal_reference_id,
10,ifo:ctd_number,"CTD 2.6.2.2.2"
11,rdf:type,bibo:Document
11,rdfs:label,ヒト主要代謝物のALKに対する阻害活性
11,dct:dateAccepted,2014-07-04
11,ifo:internal_reference_id,
11,ifo:ctd_number,"CTD 2.6.2.2.3"
12,rdf:type,bibo:Document
12,rdfs:label,ヒト癌細胞株移植マウスにおける抗腫瘍効果
12,dct:dateAccepted,2014-07-04
12,ifo:internal_reference_id,
12,ifo:ctd_number,"CTD 2.6.2.2.4"
13,rdf:type,bibo:Document
13,rdfs:label,クリゾチニブ耐性変異型ALK発現細胞株移植マウスにおける抗腫瘍効果
13,dct:dateAccepted,2014-07-04
13,ifo:internal_reference_id,
13,ifo:ctd_number,"CTD 2.6.2.2.5"
14,rdf:type,bibo:Article
14,dct:references,27566263
