subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,dct:identifier,400093_2149046F1023_1_13
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,dct:identifier,400093_2149046F1023_1_016_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"2149046F1023, 2149046F2020, 2149046F3026"
,,
2149046F1023,ifo:if_0_8,アバプロ錠50mg
2149046F1023,ifo:if_0_9,フィルムコーティング錠
2149046F1023,ifo:if_0_11,"1錠中日局イルベサルタン 50mg"
2149046F1023,ifo:if_0_13,2008-04-16
2149046F1023,ifo:if_0_14,2008-06-13
2149046F1023,ifo:if_0_15,2008-07-01
2149046F1023,ifo:if_10_8,22000AMX01602
2149046F1023,ifo:yakka_code,2149046F1023
2149046F1023,ifo:yj_code,2149046F1023
2149046F1023,ifo:hot_code,118384901
2149046F1023,ifo:resept_code,620006793
,,
2149046F2020,ifo:if_0_8,アバプロ錠100mg
2149046F2020,ifo:if_0_9,フィルムコーティング錠
2149046F2020,ifo:if_0_11,"1錠中日局イルベサルタン 100mg"
2149046F2020,ifo:if_0_13,2008-04-16
2149046F2020,ifo:if_0_14,2008-06-13
2149046F2020,ifo:if_0_15,2008-07-01
2149046F2020,ifo:if_10_8,22000AMX01602
2149046F2020,ifo:yakka_code,2149046F2020
2149046F2020,ifo:yj_code,2149046F2020
2149046F2020,ifo:hot_code,118385601
2149046F2020,ifo:resept_code,620006794
,,
2149046F3026,ifo:if_0_8,アバプロ錠200mg
2149046F3026,ifo:if_0_9,フィルムコーティング錠
2149046F3026,ifo:if_0_11,"1錠中日局イルベサルタン 200mg"
2149046F3026,ifo:if_0_13,2013-03-19
2149046F3026,ifo:if_0_14,2013-05-31
2149046F3026,ifo:if_0_15,2013-06-12
2149046F3026,ifo:if_10_8,22500AMX00865
2149046F3026,ifo:yakka_code,2149046F3026
2149046F3026,ifo:yj_code,2149046F3026
2149046F3026,ifo:hot_code,122424501
2149046F3026,ifo:resept_code,622242401
