subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,大日本住友製薬資料：第Ⅰ相臨床試験・単回投与試験
1,dct:dateAccepted,2008-04-16
1,ifo:internal_reference_id,
1,ifo:ctd_number,CTD2.7.6.3
2,rdf:type,bibo:Document
2,rdfs:label,大日本住友製薬資料：健康成人での反復投与試験（50mg）
2,dct:dateAccepted,2008-04-16
2,ifo:internal_reference_id,
2,ifo:ctd_number,CTD2.7.6.3
3,rdf:type,bibo:Document
3,rdfs:label,大日本住友製薬資料：健康成人での反復投与試験（100mg）
3,dct:dateAccepted,2008-04-16
3,ifo:internal_reference_id,
3,ifo:ctd_number,CTD2.7.6.3
4,rdf:type,bibo:Document
4,rdfs:label,大日本住友製薬資料：前期第Ⅱ相臨床試験・パイロット試験
4,dct:dateAccepted,2008-04-16
4,ifo:internal_reference_id,
4,ifo:ctd_number,CTD2.7.6.6
5,rdf:type,bibo:Document
5,rdfs:label,大日本住友製薬資料：前期第Ⅱ相臨床試験・血圧日内変動試験
5,dct:dateAccepted,2008-04-16
5,ifo:internal_reference_id,
5,ifo:ctd_number,CTD2.7.6.6
6,rdf:type,bibo:Article
6,dct:creator,吉永馨
6,prism:publicationName,臨床医薬
6,prism:volume,24
6,prism:number,5
6,prism:startingPage,345
6,prism:endingPage,366
6,dct:issued,2008
6,ifo:internal_reference_id,
7,rdf:type,bibo:Article
7,dct:creator,吉永馨
7,prism:publicationName,臨床医薬
7,prism:volume,24
7,prism:number,5
7,prism:startingPage,367
7,prism:endingPage,388
7,dct:issued,2008
7,ifo:internal_reference_id,
8,rdf:type,bibo:Document
8,rdfs:label,"大日本住友製薬資料：第Ⅲ相臨床比較試験・ABPM によるプラセボを対照とした血圧日内変動試験"
8,dct:dateAccepted,2008-04-16
8,ifo:internal_reference_id,
8,ifo:ctd_number,CTD2.7.6.5
9,rdf:type,bibo:Article
9,dct:creator,吉永馨
9,prism:publicationName,臨床医薬
9,prism:volume,24
9,prism:number,5
9,prism:startingPage,431
9,prism:endingPage,461
9,dct:issued,2008
9,ifo:internal_reference_id,
10,rdf:type,bibo:Article
10,dct:creator,吉永馨
10,prism:publicationName,臨床医薬
10,prism:volume,24
10,prism:number,5
10,prism:startingPage,463
10,prism:endingPage,482
10,dct:issued,2008
10,ifo:internal_reference_id,
11,rdf:type,bibo:Article
11,dct:creator,吉永馨
11,prism:publicationName,臨床医薬
11,prism:volume,24
11,prism:number,5
11,prism:startingPage,389
11,prism:endingPage,408
11,dct:issued,2008
11,ifo:internal_reference_id,
12,rdf:type,bibo:Article
12,dct:creator,吉永馨
12,prism:publicationName,臨床医薬
12,prism:volume,24
12,prism:number,5
12,prism:startingPage,409
12,prism:endingPage,436
12,dct:issued,2008
12,ifo:internal_reference_id,
13,rdf:type,bibo:Article
13,dct:creator,佐々木淳ほか
13,prism:publicationName,臨床と研究
13,prism:volume,80
13,prism:number,3
13,prism:startingPage,570
13,prism:endingPage,584
13,dct:issued,2003
13,ifo:internal_reference_id,
14,rdf:type,bibo:Article
14,dct:creator,吉永馨ほか
14,prism:publicationName,血圧
14,prism:volume,18
14,prism:number,
14,prism:startingPage,1108
14,prism:endingPage,1116
14,dct:issued,2011
14,ifo:internal_reference_id,
15,rdf:type,bibo:Article
15,dct:creator,吉永馨
15,prism:publicationName,臨床医薬
15,prism:volume,24
15,prism:number,6
15,prism:startingPage,543
15,prism:endingPage,573
15,dct:issued,2008
15,ifo:internal_reference_id,
16,rdf:type,bibo:Document
16,rdfs:label,
16,dct:dateAccepted,2008-04-16
16,ifo:internal_reference_id,
16,ifo:ctd_number,
17,rdf:type,bibo:Article
17,dct:creator,吉永馨
17,prism:publicationName,臨床医薬
17,prism:volume,24
17,prism:number,6
17,prism:startingPage,507
17,prism:endingPage,542
17,dct:issued,2008
17,ifo:internal_reference_id,
18,rdf:type,bibo:Document
18,rdfs:label,"大日本住友製薬資料：ABPM による血圧日内変動試験"
18,dct:dateAccepted,2008-04-16
18,ifo:internal_reference_id,
18,ifo:ctd_number,CTD2.7.6.6
19,rdf:type,bibo:Document
19,rdfs:label,大日本住友製薬資料：腎実質性高血圧症に対する一般臨床試験
19,dct:dateAccepted,2008-04-16
19,ifo:internal_reference_id,
19,ifo:ctd_number,CTD2.7.6.6
20,rdf:type,bibo:Document
20,rdfs:label,大日本住友製薬資料：ウサギ摘出大動脈における作用
20,dct:dateAccepted,2008-04-16
20,ifo:internal_reference_id,
20,ifo:ctd_number,CTD2.6.2.2
21,rdf:type,bibo:Document
21,rdfs:label,大日本住友製薬資料：AⅡ誘発昇圧反応に対する作用
21,dct:dateAccepted,2008-04-16
21,ifo:internal_reference_id,
21,ifo:ctd_number,CTD2.6.2.2
22,rdf:type,bibo:Document
22,rdfs:label,大日本住友製薬資料：AⅡ受容体に対する拮抗様式の検討
22,dct:dateAccepted,2008-04-16
22,ifo:internal_reference_id,
22,ifo:ctd_number,CTD2.6.2.2
23,rdf:type,bibo:Document
23,rdfs:label,大日本住友製薬資料：AⅡ受容体サブタイプに対する選択性
23,dct:dateAccepted,2008-04-16
23,ifo:internal_reference_id,
23,ifo:ctd_number,CTD2.6.2.2
24,rdf:type,bibo:Document
24,rdfs:label,大日本住友製薬資料：各種受容体及びイオン輸送系に対する作用
24,dct:dateAccepted,2008-04-16
24,ifo:internal_reference_id,
24,ifo:ctd_number,CTD2.6.2.3
25,rdf:type,bibo:Document
25,rdfs:label,大日本住友製薬資料：各種酵素に対する作用
25,dct:dateAccepted,2008-04-16
25,ifo:internal_reference_id,
25,ifo:ctd_number,CTD2.6.2.3
26,rdf:type,bibo:Document
26,rdfs:label,大日本住友製薬資料：ヒトAⅡ受容体阻害作用
26,dct:dateAccepted,2008-04-16
26,ifo:internal_reference_id,
26,ifo:ctd_number,CTD2.6.2.2
27,rdf:type,bibo:Document
27,rdfs:label,大日本住友製薬資料：ラットAⅡ受容体阻害作用
27,dct:dateAccepted,2008-04-16
27,ifo:internal_reference_id,
27,ifo:ctd_number,CTD2.6.2.2
28,rdf:type,bibo:Document
28,rdfs:label,大日本住友製薬資料：高レニン正常血圧サルにおける作用
28,dct:dateAccepted,2008-04-16
28,ifo:internal_reference_id,
28,ifo:ctd_number,CTD2.6.2.2
29,rdf:type,bibo:Document
29,rdfs:label,"大日本住友製薬資料：2 腎性1 クリップ型高血圧ラットにおける作用"
29,dct:dateAccepted,2008-04-16
29,ifo:internal_reference_id,
29,ifo:ctd_number,CTD2.6.2.2
30,rdf:type,bibo:Document
30,rdfs:label,大日本住友製薬資料：脳卒中易発症性高血圧自然発症ラットにおける作用
30,dct:dateAccepted,2008-04-16
30,ifo:internal_reference_id,
30,ifo:ctd_number,CTD2.6.2.2
31,rdf:type,bibo:Document
31,rdfs:label,大日本住友製薬資料：高血圧自然発症ラットにおける作用
31,dct:dateAccepted,2008-04-16
31,ifo:internal_reference_id,
31,ifo:ctd_number,CTD2.6.2.2
32,rdf:type,bibo:Document
32,rdfs:label,大日本住友製薬資料：アルドステロン分泌に対する作用
32,dct:dateAccepted,2008-04-16
32,ifo:internal_reference_id,
32,ifo:ctd_number,CTD2.6.2.2
33,rdf:type,bibo:Document
33,rdfs:label,大日本住友製薬資料：腎機能に対する作用
33,dct:dateAccepted,2008-04-16
33,ifo:internal_reference_id,
33,ifo:ctd_number,CTD2.6.2.3
34,rdf:type,bibo:Document
34,rdfs:label,"大日本住友製薬資料：高食塩負荷5/6 腎摘出高血圧自然発症ラットにおける作用"
34,dct:dateAccepted,2008-04-16
34,ifo:internal_reference_id,
34,ifo:ctd_number,CTD2.6.2.3
35,rdf:type,bibo:Document
35,rdfs:label,大日本住友製薬資料：健康成人男性における単回投与試験
35,dct:dateAccepted,2008-04-16
35,ifo:internal_reference_id,
35,ifo:ctd_number,CTD2.7.2.2
36,rdf:type,bibo:Document
36,rdfs:label,大日本住友製薬資料：本態性高血圧症患者における薬物動態試験
36,dct:dateAccepted,2008-04-16
36,ifo:internal_reference_id,
36,ifo:ctd_number,CTD2.7.6.3
37,rdf:type,bibo:Document
37,rdfs:label,大日本住友製薬資料：バイオアベイラビリティに及ぼす食事の影響検討試験
37,dct:dateAccepted,2008-04-16
37,ifo:internal_reference_id,
37,ifo:ctd_number,CTD2.7.6.1
38,rdf:type,bibo:Document
38,rdfs:label,大日本住友製薬資料：絶対バイオアベイラビリティ及び代謝物の検討
38,dct:dateAccepted,2008-04-16
38,ifo:internal_reference_id,
38,ifo:ctd_number,CTD2.7.6.1
39,rdf:type,bibo:Document
39,rdfs:label,大日本住友製薬資料：バイオアベイラビリティ試験
39,dct:dateAccepted,2008-04-16
39,ifo:internal_reference_id,
39,ifo:ctd_number,CTD2.7.6.1
40,rdf:type,bibo:Document
40,rdfs:label,大日本住友製薬資料：ラットにおける吸収及び乳汁中移行
40,dct:dateAccepted,2008-04-16
40,ifo:internal_reference_id,
40,ifo:ctd_number,"CTD2.6.4.3, 2.6.4.6"
41,rdf:type,bibo:Document
41,rdfs:label,大日本住友製薬資料：雌雄ラットにおける単回投与時の放射能の腸肝循環
41,dct:dateAccepted,2008-04-16
41,ifo:internal_reference_id,
41,ifo:ctd_number,CTD2.6.4.6
42,rdf:type,bibo:Document
42,rdfs:label,大日本住友製薬資料：雄性ラットにおける単回投与時の組織中放射能濃度
42,dct:dateAccepted,2008-04-16
42,ifo:internal_reference_id,
42,ifo:ctd_number,CTD2.6.4.4
43,rdf:type,bibo:Document
43,rdfs:label,大日本住友製薬資料：雌性ラットにおける単回投与時の組織中放射能濃度
43,dct:dateAccepted,2008-04-16
43,ifo:internal_reference_id,
43,ifo:ctd_number,CTD2.6.4.4
44,rdf:type,bibo:Document
44,rdfs:label,大日本住友製薬資料：妊娠ラットにおける単回投与時の組織中放射能濃度
44,dct:dateAccepted,2008-04-16
44,ifo:internal_reference_id,
44,ifo:ctd_number,CTD2.6.4.4
45,rdf:type,bibo:Document
45,rdfs:label,大日本住友製薬資料：妊娠ウサギにおける単回投与時の組織中放射能濃度
45,dct:dateAccepted,2008-04-16
45,ifo:internal_reference_id,
45,ifo:ctd_number,CTD2.6.4.4
46,rdf:type,bibo:Document
46,rdfs:label,大日本住友製薬資料：ラット、サル及びヒト血球への放射能分布
46,dct:dateAccepted,2008-04-16
46,ifo:internal_reference_id,
46,ifo:ctd_number,CTD2.6.4.4
47,rdf:type,bibo:Document
47,rdfs:label,大日本住友製薬資料：ヒト血清蛋白結合率
47,dct:dateAccepted,2008-04-16
47,ifo:internal_reference_id,
47,ifo:ctd_number,CTD2.6.4.4
48,rdf:type,bibo:Document
48,rdfs:label,大日本住友製薬資料：ヒト血清アルブミン結合サイト
48,dct:dateAccepted,2008-04-16
48,ifo:internal_reference_id,
48,ifo:ctd_number,CTD2.6.4.4
49,rdf:type,bibo:Document
49,rdfs:label,大日本住友製薬資料：ヒト代謝物の同定
49,dct:dateAccepted,2008-04-16
49,ifo:internal_reference_id,
49,ifo:ctd_number,CTD2.7.2.2
50,rdf:type,bibo:Document
50,rdfs:label,大日本住友製薬資料：肝ミクロソーム代謝における動物種差
50,dct:dateAccepted,2008-04-16
50,ifo:internal_reference_id,
50,ifo:ctd_number,CTD2.6.5.10
51,rdf:type,bibo:Document
51,rdfs:label,"大日本住友製薬資料：ヒト肝ミクロソームを用いた酸化代謝におけるCYP2C9 の関与"
51,dct:dateAccepted,2008-04-16
51,ifo:internal_reference_id,
51,ifo:ctd_number,CTD2.6.5.10
52,rdf:type,bibo:Document
52,rdfs:label,大日本住友製薬資料：グルクロン酸抱合の種差
52,dct:dateAccepted,2008-04-16
52,ifo:internal_reference_id,
52,ifo:ctd_number,CTD2.6.5.10
53,rdf:type,bibo:Document
53,rdfs:label,大日本住友製薬資料：ヒト初代培養肝細胞における代謝
53,dct:dateAccepted,2008-04-16
53,ifo:internal_reference_id,
53,ifo:ctd_number,CTD2.6.5.10
54,rdf:type,bibo:Document
54,rdfs:label,"大日本住友製薬資料：ヒト肝におけるin vitro 代謝"
54,dct:dateAccepted,2008-04-16
54,ifo:internal_reference_id,
54,ifo:ctd_number,CTD2.6.5.10
55,rdf:type,bibo:Document
55,rdfs:label,"大日本住友製薬資料：ヒト肝ミクロソームを用いたCYP 阻害の検討"
55,dct:dateAccepted,2008-04-16
55,ifo:internal_reference_id,
55,ifo:ctd_number,CTD2.6.5.12
56,rdf:type,bibo:Document
56,rdfs:label,大日本住友製薬資料：ヒト肝薬物代謝酵素誘導に関する試験
56,dct:dateAccepted,2008-04-16
56,ifo:internal_reference_id,
56,ifo:ctd_number,CTD2.6.5.12
57,rdf:type,bibo:Document
57,rdfs:label,大日本住友製薬資料：ワルファリンとの薬物相互作用試験(1)
57,dct:dateAccepted,2008-04-16
57,ifo:internal_reference_id,
57,ifo:ctd_number,CTD2.7.6.3
58,rdf:type,bibo:Document
58,rdfs:label,大日本住友製薬資料：ワルファリンとの薬物相互作用試験(2)
58,dct:dateAccepted,2008-04-16
58,ifo:internal_reference_id,
58,ifo:ctd_number,CTD2.7.6.3
59,rdf:type,bibo:Document
59,rdfs:label,大日本住友製薬資料：トルブタミドとの薬物相互作用試験
59,dct:dateAccepted,2008-04-16
59,ifo:internal_reference_id,
59,ifo:ctd_number,CTD2.7.6.3
60,rdf:type,bibo:Document
60,rdfs:label,大日本住友製薬資料：ジゴキシンとの薬物相互作用試験
60,dct:dateAccepted,2008-04-16
60,ifo:internal_reference_id,
60,ifo:ctd_number,CTD2.7.6.3
61,rdf:type,bibo:Document
61,rdfs:label,大日本住友製薬資料：ニフェジピンとの薬物相互作用試験
61,dct:dateAccepted,2008-04-16
61,ifo:internal_reference_id,
61,ifo:ctd_number,CTD2.7.6.3
62,rdf:type,bibo:Document
62,rdfs:label,大日本住友製薬資料：シンバスタチンとの薬物相互作用試験
62,dct:dateAccepted,2008-04-16
62,ifo:internal_reference_id,
62,ifo:ctd_number,CTD2.7.6.3
63,rdf:type,bibo:Document
63,rdfs:label,大日本住友製薬資料：制酸剤との薬物相互作用試験
63,dct:dateAccepted,2008-04-16
63,ifo:internal_reference_id,
63,ifo:ctd_number,CTD2.7.6.3
64,rdf:type,bibo:Document
64,rdfs:label,大日本住友製薬資料：ヒドロクロロチアジドとの薬物相互作用試験
64,dct:dateAccepted,2008-04-16
64,ifo:internal_reference_id,
64,ifo:ctd_number,CTD2.7.6.3
65,rdf:type,bibo:Document
65,rdfs:label,大日本住友製薬資料：代謝物のAⅡ受容体阻害作用
65,dct:dateAccepted,2008-04-16
65,ifo:internal_reference_id,
65,ifo:ctd_number,CTD2.6.2.2
66,rdf:type,bibo:Document
66,rdfs:label,大日本住友製薬資料：腎機能障害患者における薬物動態試験
66,dct:dateAccepted,2008-04-16
66,ifo:internal_reference_id,
66,ifo:ctd_number,CTD2.7.6.3
67,rdf:type,bibo:Document
67,rdfs:label,大日本住友製薬資料：肝硬変患者における薬物動態試験
67,dct:dateAccepted,2008-04-16
67,ifo:internal_reference_id,
67,ifo:ctd_number,CTD2.7.6.3
68,rdf:type,bibo:Article
68,dct:creator,柴田実
68,prism:publicationName,日本臨床
68,prism:volume,53
68,prism:number,"増刊 分子肝炎ウイルス病学（上）"
68,prism:startingPage,711
68,prism:endingPage,719
68,dct:issued,1995
68,ifo:internal_reference_id,
69,rdf:type,bibo:Document
69,rdfs:label,大日本住友製薬資料：高齢者における薬物動態試験
69,dct:dateAccepted,2008-04-16
69,ifo:internal_reference_id,
69,ifo:ctd_number,CTD2.7.6.3
70,rdf:type,bibo:Document
70,rdfs:label,大日本住友製薬資料：うっ血性心不全患者における薬物動態試験
70,dct:dateAccepted,2008-04-16
70,ifo:internal_reference_id,
