subject,predicate,object
IF_0_3,dct:modified,2019-12
IF_0_3,pav:version,15
IF_0_4,rdf:value,87259
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,選択的β_3アドレナリン受容体作動性過活動膀胱治療剤
IF_0_8,rdf:value,ミラベグロン錠
IF_0_9,,
IF_0_10,rdf:value,劇薬、処方箋医薬品(注意-医師等の処方箋により使用すること)
IF_0_11,,
IF_0_12,rdf:value,ミラベグロン(JAN)
IF_0_12,rdf:value,Mirabegron(JAN)
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,アステラス製薬株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"アステラス製薬株式会社
メディカルインフォメーションセンター TEL 0120-189-371
医療従事者向け情報サイト(Astellas Medical Net)
https://amn.astellas.jp/"
IF_0_19,rdf:value,2019-07
IF_1,,
IF_1_1,rdf:value,"■過活動膀胱(Overactive Bladder;OAB)について
近年の高齢化に伴い、QOL(Quality of life)に影響する泌尿器領域の疾患として、尿失禁などの下部尿路機能障害(Lower Urinary Tract Dysfunction;LUTD)が問題となってきており、その原因の一つとして「過活動膀胱(Overactive Bladder;OAB)」がクローズアップされている。過活動膀胱は蓄尿機能の障害により、尿意切迫感及び切迫性尿失禁などが生じ、QOL を著しく低下させ、患者自身のみならず、その周りの家族や介護者などにまで負担を強いる疾患である。
 この過活動膀胱の患者数については、世界各国で疫学調査が実施されている。日本では 40 歳以上の人口 の12.4%(810万人)が過活動膀胱患者であると推定されており 1)、米国では18歳以上の人口の16.6%(3,300 万人) 2) 、欧州では 40 歳以上の人口の 16.6%(2,218 万人) 3) が過活動膀胱患者であると報告されている。
■日本で創製された新しい過活動膀胱治療薬
過活動膀胱は潜在的な排尿筋過活動状態に起因していると考えられることから、その治療には主に膀胱収縮抑制作用を有するムスカリン受容体拮抗薬が広く用いられている。しかしながら、ムスカリン受容体が膀胱以外に唾液腺、腸管などにも存在し、機能的役割も伴っているため、口内乾燥、便秘及び目の調節障害などの副作用を伴うことがあること 4) 、ムスカリン受容体拮抗薬の膀胱収縮抑制作用による排尿困難、 残尿量の増加及び尿閉などの副作用も懸念されることから、抗コリン薬以外の新規薬剤の開発が望まれてきた 5)。
ベタニス(一般名:ミラベグロン)はアステラス製薬株式会社において創製された選択的 β3 アドレナリン受 容体作動薬であり、非臨床試験において、膀胱弛緩作用により蓄尿機能を亢進させる一方、排尿機能に影 響を及ぼしにくいことが示唆された 6,7)。 以上の結果から、ベタニスは既存薬とは異なる新たな作用機序を有する新規過活動膀胱治療薬になり得る と期待され、国内における臨床試験が 2005 年 10 月より開始された。
第III相試験は 2009 年 7 月より開始され、尿意切迫感、頻尿、切迫性尿失禁という過活動膀胱症状に対し て、優れた有効性及び安全性が確認された。また、長期投与試験ではベタニスの長期における有効性及び 安全性が確認された。これらの結果をもって 2010 年 6 月に承認申請を行い、2011 年 7 月に「過活動膀胱 における尿意切迫感、頻尿及び切迫性尿失禁」の効能・効果で承認された。 ベタニスは日本で初めて、かつ世界で初めて承認された選択的 β3 アドレナリン受容体作動薬である。"
IF_1_1,dct:references,"1, 2, 3, 4, 5, 6, 7"
IF_1_2,rdf:value,"1. 日本で開発された世界初の選択的 β3 アドレナリン受容体作動性の過活動膀胱治療薬である。 
・膀胱の β3 アドレナリン受容体に作用し、膀胱容量を増大させる。(「VI.2.(1)1)作用機序」の項参照)
・排尿期の膀胱収縮力に影響を及ぼしにくい薬剤である(ラット)。 (「VI.2.(2)5)律動性膀胱収縮に対する作用」の項参照)
2. 過活動膀胱における尿意切迫感、頻尿、切迫性尿失禁に対し、1 日 1 回投与で優れた有効性を示す。 (「V.5.(4)1)有効性検証試験」の項参照)
3. 重大な副作用として、尿閉及び高血圧(いずれも頻度不明)が報告されている。 (「VIII.8.(1)重大な副作用と初期症状」の項参照)"
IF_1_2,rdfs:seeAlso,"IF_2_1_1, IF_6_2_2_5, IF_5_5_4_1, IF_8_8_1"
IF_1_2,dct:references,
IF_1_3,rdf:value,"本剤は徐放性製剤であるため、割ったり、砕いたり、すりつぶしたりして服用すると、本剤の徐放性が失 われ、薬物動態が変わるおそれがある。
(「VIII.11.適用上の注意」の項参照)"
IF_1_3,rdfs:seeAlso,IF_8_11
IF_1_4,,
IF_1_4_1,rdf:value,無
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,無
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,該当しない
IF_1_5_1,rdfs:seeAlso,
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,該当しない
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,"ベタニス錠 25mg, べタニス錠 50mg"
IF_2_1_2,rdf:value,"Betanis Tablets 25mg, Betanis Tablets 50mg"
IF_2_1_3,rdf:value,Beta 3 agonist より命名した。
IF_2_2,,
IF_2_2_1,rdf:value,ミラベグロン(JAN)
IF_2_2_2,rdf:value,"Mirabegron(JAN), mirabegron(INN)"
IF_2_2_3,rdf:value,β3 アドレナリン受容体作動薬:-begron
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式:C21H24N4O2S
分子量:396.51"
IF_2_5,rdf:value,"2-(2-Amino-1,3-thiazol-4-yl)-N-[4-(2-{[(2R)-2-hydroxy-2-phenylethyl]amino}ethyl)phenyl]acetamide"
IF_2_6,rdf:value,YM178(治験番号)
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,白色〜微帯褐白色の結晶又は粉末である。
IF_3_1_2,rdf:value,
IF_3_1_3,rdf:value,吸湿性は認められない。
IF_3_1_4,rdf:value,融解：約144℃
IF_3_1_5,rdf:value,pKa=4.5 及び 8.0
IF_3_1_6,rdf:value,ミラベグロンは酸性域で水に分配されやすく、弱酸性~塩基性域でオクタノール相に分配されやすい。
IF_3_1_6,rdfs:comment,(測定温度:37°C)
IF_3_1_7,rdf:value,旋光度(エタノール(99.5)中) $\[\alpha\]_D^{20}:-19.8^\circ$
IF_3_2,rdf:value,
IF_3_3,rdf:value,"確認試験法
(1)紫外可視吸光度測定法:
参照スペクトル又はミラベグロン標準物質のスペクトルと同一波長のところに同様の強度の吸収を認 める。
(2)赤外吸収スペクトル測定法: 参照スペクトル又はミラベグロン標準物質のスペクトルと同一波数のところに同様の強度の吸収を認 める。
定量法 液体クロマトグラフィー"
IF_4,,
IF_4_1,,
IF_4_1_1,rdf:value,フィルムコーティング錠
IF_4_1_2,rdf:value,
IF_4_1_3,rdf:value,該当しない
IF_4_1_4,rdf:value,該当しない
IF_4_1_4,rdfs:seeAlso,
