subject,predicate,object
IF_0_3,dct:modified,2020-7
IF_0_3,pav:version,12
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,骨粗鬆症治療剤
IF_0_8,rdf:value,ボナロン錠5mg、ボナロン錠35mg、ボナロン経口ゼリー35mg
IF_0_9,,
IF_0_10,rdf:value,劇薬、処方箋医薬品(注意-医師等の処方箋により使用すること)
IF_0_11,,
IF_0_12,rdf:value,アレンドロン酸ナトリウム水和物(JAN)
IF_0_12,rdf:value,Alendronate Sodium Hydrate(JAN)
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,帝人ファーマ株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"帝人ファーマ株式会社 メディカル情報グループ
TEL：0120-189-315 FAX：03-5512-6707
医療関係者向けホームページ
https://medical.teijin-pharma.co.jp/"
IF_0_19,rdf:value,2019-05
IF_1,,
