subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,8506892
2,rdf:type,bibo:Article
2,dct:creator,Fleish H
2,prism:publicationName,ACADEMIC PRESS. San Diego
2,dct:issued,2000
3,rdf:type,bibo:Document
3,rdfs:label,社内報告
3,dct:dateAccepted,2012-01-18
3,ifo:ctd_number,CTD2.7.6.5
4,rdf:type,bibo:Article
4,dct:creator,花輪剛久
4,prism:publicationName,薬事
4,prism:volume,53
4,prism:number,4
4,prism:startingPage,79
4,prism:endingPage,86
4,dct:issued,2011
5,rdf:type,bibo:Article
5,dct:creator,太田知裕ほか
5,prism:publicationName,実験医学
5,prism:volume,16
5,prism:number,11
5,prism:startingPage,184
5,prism:endingPage,184
5,dct:issued,1998
6,rdf:type,bibo:Article
6,dct:references,9294113
7,rdf:type,bibo:Article
7,dct:references,8618170
8,rdf:type,bibo:Article
8,dct:references,16133688
9,rdf:type,bibo:Article
9,dct:references,10525709
10,rdf:type,bibo:Article
10,dct:creator,岸本英彰ほか
10,prism:publicationName,診療と新薬
10,prism:volume,35
10,prism:number,1
10,prism:startingPage,19
10,prism:endingPage,41
10,dct:issued,1998
11,rdf:type,bibo:Article
11,dct:references,7477143
12,rdf:type,bibo:Article
12,dct:references,9333131
13,rdf:type,bibo:Article
13,dct:creator,"Kushida K, et al"
13,prism:publicationName,Curr Ther Res
13,prism:volume,63
13,prism:number,9
13,prism:startingPage,606
13,prism:endingPage,620
13,dct:issued,2002
14,rdf:type,bibo:Article
14,dct:references,10366118
15,rdf:type,bibo:Article
15,dct:references,15316867
16,rdf:type,bibo:Article
16,dct:references,8950879
17,rdf:type,bibo:Article
17,dct:creator,深瀬広幸ほか
17,prism:publicationName,新薬と臨牀
17,prism:volume,61
17,prism:number,9
17,prism:startingPage,1833
17,prism:endingPage,1847
17,dct:issued,2012
18,rdf:type,bibo:Article
18,dct:creator,中島光好ほか
18,prism:publicationName,臨床薬理
18,prism:volume,26
18,prism:number,2
18,prism:startingPage,475
18,prism:endingPage,489
18,dct:issued,1995
19,rdf:type,bibo:Article
19,dct:creator,中島光好ほか
19,prism:publicationName,臨床薬理
19,prism:volume,26
19,prism:number,3
19,prism:startingPage,727
19,prism:endingPage,736
19,dct:issued,1995
20,rdf:type,bibo:Article
20,dct:creator,成瀬信次ほか
20,prism:publicationName,臨床医薬
20,prism:volume,20
20,prism:number,12
20,prism:startingPage,1227
20,prism:endingPage,1234
20,dct:issued,2004
21,rdf:type,bibo:Article
21,dct:references,9700472
22,rdf:type,bibo:Article
22,dct:references,10384857
23,rdf:type,bibo:Article
23,dct:creator,中村利孝ほか
23,prism:publicationName,診療と新薬
23,prism:volume,35
23,prism:number,1
23,prism:startingPage,3
23,prism:endingPage,17
23,dct:issued,1998
24,rdf:type,bibo:Article
24,dct:creator,"Schnitzer T, et al"
24,prism:publicationName,Aging Clin Exp Res
24,prism:volume,12
24,prism:number,1
24,prism:startingPage,1
24,prism:endingPage,12
24,dct:issued,2000
25,rdf:type,bibo:Article
25,dct:creator,坪井 實ほか
25,prism:publicationName,診療と新薬
25,prism:volume,35
25,prism:number,1
25,prism:startingPage,43
25,prism:endingPage,49
25,dct:issued,1998
26,rdf:type,bibo:Article
26,dct:references,8873969
27,rdf:type,bibo:Article
27,dct:references,10574973
28,rdf:type,bibo:Article
