subject,predicate,object
IF_0_3,dct:modified,2019-12
IF_0_3,pav:version,9
IF_0_4,rdf:value,873969
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,SGLT2阻害剤ー2型糖尿病治療剤ー
IF_0_8,rdf:value,カナグリフロジン水和物錠
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品（注意-医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,カナグリフロジン水和物
IF_0_12,rdf:value,"Canagliflozin Hydrate"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：田辺三菱製薬株式会社
プロモーション提携：第一三共株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"田辺三菱製薬株式会社　くすり相談センター
TEL：0120-753-280
受付時間：9 時～17 時30 分（土、日、祝日、会社休業日を除く）
医療関係者向けホームページ
　http://medical.mt-pharma.co.jp/
第一三共株式会社　製品情報センター
TEL：0120-189-132
受付時間：9 時～17 時30 分（土、日、祝祭日、当社休日を除く）
医療関係者向けホームページ 　
　https://www.medicallibrary-dsc.info"
IF_0_19,rdf:value,2019-06
IF_1,,
IF_1_1,rdf:value,"カナグル（一般名：カナグリフロジン水和物）は、田辺三菱製薬株式会社で創製されたナトリ
ウム-グルコース共輸送体（sodium glucose co-transporter；SGLT）2 阻害薬である。
2 型糖尿病においては、高血糖状態が持続するとインスリン抵抗性やインスリン分泌不全が増
悪し、さらに血糖値が高くなる悪循環（糖毒性）が生じる。田辺三菱製薬は、この「糖毒性」
という概念に基づき、過剰なグルコースを体外に排泄することが血糖低下とエネルギーバラン
スの是正をもたらし、糖毒性の軽減につながると考え、研究に着手した。　　
血中のグルコースは腎糸球体でろ過され、大部分が近位尿細管上皮細胞に存在するSGLT2、
残りがSGLT1 によって再吸収される。リンゴやナシなどの樹皮から得られる天然配糖体フロ
リジンは、腎臓に存在するSGLT を阻害し、尿中にグルコースが排泄される「腎性糖尿」を引
き起こすことが報告されていた。しかし、フロリジンは経口投与では腸管のb-グルコシダーゼ
で加水分解されてしまうため、尿糖排泄促進作用を示さない。そこで、田辺三菱製薬はフロリ
ジンに構造的な修飾を加え、b-グルコシダーゼに対して抵抗性のSGLT 阻害物質T-1095 の創
製に成功した1）。T-1095 は、経口投与でも尿糖排泄促進作用を示す世界初の化合物で、各種
糖尿病モデルにおいてインスリン非依存性の血糖低下作用が確認されたが、バイオアベイラビ
リティなど薬物動態には課題が残った。
カナグルの有効成分であるカナグリフロジン水和物は、T-1095 に比べ薬物動態プロファイル
が大きく改善され、強い尿糖排泄促進作用を示した2）。
本剤は海外において数多くの臨床試験が行われ、国内でも第Ⅱ相用量設定試験、第Ⅲ相検証的
試験、第Ⅲ相単独又は併用療法長期投与試験などが実施された。これらの成績をもとに、国内
では2013 年に製造販売承認申請を行い、2014 年7 月に「2 型糖尿病」を効能・効果として承
認を取得した。なお本剤は、米国、欧州、オーストラリアなども含め世界83 ヵ国で承認され
ている（2019 年3 月現在）。"
IF_1_1,dct:references,"1, 2"
IF_1_2,rdf:value,"（1）田辺三菱製薬が創製した米国、欧州、オーストラリアなど世界83 ヵ国＊で承認されている
SGLT2 阻害薬である。（「Ⅰ．1．開発の経緯」の項参照）
＊2019 年3 月現在
（2）尿細管でのグルコースの再吸収を阻害し、尿中に排泄することで、血糖を降下させる。
（「Ⅵ．2．薬理作用」の項参照）
（3）単一用量で効果減弱することなく、長期（52 週）にわたり持続したHbA1c 低下作用を示
す。（「Ⅴ．5．（4）2）安全性試験」の項参照）
（4）患者背景（年齢、BMI、インスリン抵抗性や分泌能など）にかかわらず、優れたHbA1c
低下作用を示す。（「Ⅴ．5．（4）1）有効性検証試験」の項参照）
（5）安全性において特に注目すべき事象として、低血糖、体液量減少に関連する事象、性器感
染、尿路感染、多尿・頻尿、腎障害、敗血症、体重減少の安全性への影響、ケトン体増加
による影響があります。（「Ⅷ．5．重要な基本的注意とその理由」「Ⅷ．6．特定の背景を
有する患者に関する注意」の項参照）
（6）国内第Ⅱ相用量設定試験及び第Ⅲ相試験において1629 例中474 例（29.1%）953 件の副
作用（臨床検査値異常も含む）が認められた。
主な副作用は、無症候性低血糖111 例（6.8%）、低血糖症79 例（4.8%）、頻尿56 例
（3.4%）、血中ケトン体増加47 例（2.9%）、便秘36 例（2.2%）等であった。（承認時）
重大な副作用として、低血糖（2.7～14.1%）、脱水（0.1%）、ケトアシドーシス（頻度不
明）、腎盂腎炎（0.1%）、外陰部及び会陰部の壊死性筋膜炎（フルニエ壊疽）（頻度不明）、
敗血症（頻度不明）があらわれることがある。（「Ⅷ．8．副作用」の項参照）"
IF_1_2,rdfs:seeAlso,"IF_1_1, IF_6_2, IF_5_5_4_2, IF_5_5_4_1, IF_8_5, IF_8_6, IF_8_8"
IF_1_3,rdf:value,該当資料なし
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,"（「Ⅰ．6．RMP の概要」の項参照）"
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,"・医療従事者向け資材：カナグル錠適正
使用ガイド（「Ⅰ．6．RMP の概要」
「ⅩⅢ．備考」の項参照）
・患者向け資材：カナグル錠を服用され
る方へ（「Ⅰ．6．RMP の概要」「Ⅹ
Ⅲ．備考」の項参照）"
IF_1_4_2,rdfs:seeAlso,IF_1_6
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,該当しない
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,カナグル錠100mg
IF_2_1_2,rdf:value,"CANAGLU Tablets 100mg"
IF_2_1_3,rdf:value,"一般名の「Canagliflozin」と、過剰な「Glucose（糖）」を尿中に排泄することで、健康な
人と変わらない日常生活を過ごしたい糖尿病患者さんの希望を「かな（CANA）える」と
いう想いを込めた「CANA」、及び「Glucose（糖）」の「GLU（グル）」からカナグル
（CANAGLU）と命名した。"
IF_2_2,,
IF_2_2_1,rdf:value,カナグリフロジン水和物（JAN）
IF_2_2_2,rdf:value,"Canagliflozin Hydrate（JAN）, canagliflozin（INN）"
IF_2_2_3,rdf:value,ナトリウムグルコース共輸送体阻害薬、フロリジン誘導体：-gliflozin
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式：C24H25FO5S·1/2H2O
分子量：453.52"
IF_2_5,rdf:value,"(1S)-1,5-Anhydro-1-C-(3-{[5-(4-fluorophenyl)thiophen-2-yl] methyl}-4-
methylphenyl)-D-glucitol hemihydrate
（IUPAC）"
IF_2_6,rdf:value,開発コード：TA-7284
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,白色～微黄白色の粉末である。
IF_3_1_2,rdf:value,"ジメチルスルホキシド及びエタノールに溶けやすく、アセトニトリルにやや溶けやすく、
水にほとんど溶けない。"
IF_3_1_3,rdf:value,吸湿性はない。
IF_3_1_4,rdf:value,融点：101.7℃
IF_3_1_5,rdf:value,解離する官能基を有さない。
IF_3_1_6,rdf:value,3.44（pH7、1-オクタノール／水）
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,旋光性：光学活性体であり、右旋性を示す。
IF_3_2,rdf:value,
IF_3_3,rdf:value,"確認試験法：赤外吸収スペクトル測定法
定量法：液体クロマトグラフィー"
IF_4,,
IF_4_1,,
IF_4_1_1,rdf:value,フィルムコーティング錠
IF_4_1_2,rdf:value,
IF_4_1_3,rdf:value,
IF_4_1_4,rdf:value,該当資料なし
IF_4_1_5,rdf:value,該当しない
IF_4_2,,
IF_4_2_1,rdf:value,
IF_4_2_2,rdf:value,該当しない
IF_4_2_3,rdf:value,該当しない
IF_4_3,rdf:value,該当しない
IF_4_4,rdf:value,該当しない
IF_4_5,rdf:value,該当しない
IF_4_6,rdf:value,
IF_4_7,rdf:value,該当しない
IF_4_7,rdfs:seeAlso,
IF_4_8,rdf:value,該当しない
IF_4_9,rdf:value,溶出試験法（パドル法）
IF_4_10,,
IF_4_10_1,rdf:value,該当しない
IF_4_10_2,rdf:value,"100 錠［10 錠（PTP）×10］、500 錠［10 錠（PTP）×50］、140 錠［14 錠（PTP）×10］、
500 錠［バラ］"
IF_4_10_3,rdf:value,該当しない
IF_4_10_4,rdf:value,"PTP 包装：PTP（ポリプロピレンフィルム、アルミニウム箔）＋アルミニウム袋（アルミ
ニウム・ポリエチレンラミネートフィルム）＋紙箱
バラ包装：ポリエチレン製ボトル、ポリプロピレン製キャップ＋紙箱"
IF_4_11,rdf:value,該当しない
IF_4_12,rdf:value,該当しない
IF_5,,
IF_5_1,rdf:value,"2 型糖尿病"
IF_5_2,ifo:item,"item1, item2, item3, item4"
item1,rdf:value,"5.1 1 型糖尿病の患者ではインスリンによる速やかな高血糖の是正が必須であるため設定した。"
item1,dct:references,
item2,rdf:value,"5.2 カナグリフロジンはSGLT2 阻害作用を示し、腎臓でのグルコース再吸収を抑制し、血中
に過剰に存在するグルコースの尿中排泄を促進することにより、HbA1c、空腹時血糖値
並びに食後血糖値を改善する作用を持つ。カナグリフロジンの作用機序の面からこれら
の患者では効果が期待できないため設定した。"
