subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,400315_3969022F1029_1_16
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,400315_3969022F1029_1_090_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,3969022F1029
,,
3969022F1029,ifo:if_0_8,"カナグル錠100mg 100 錠（10 錠×10）"
3969022F1029,ifo:if_0_9,フィルムコーティング錠
3969022F1029,ifo:if_0_11,"1 錠中カナグリフロジン水和物102mg（カナグリフロジンとして100mg）含有"
3969022F1029,ifo:if_0_13,2014-07-04
3969022F1029,ifo:if_0_14,2014-09-02
3969022F1029,ifo:if_0_15,2014-09-03
3969022F1029,ifo:if_10_8,22600AMX00744000
3969022F1029,ifo:yakka_code,3969022F1029
3969022F1029,ifo:yj_code,3969022F1029
3969022F1029,ifo:hot_code,1236064010101
3969022F1029,ifo:resept_code,622360601
,,
3969022F1029,ifo:if_0_8,"カナグル錠100mg 500 錠（10 錠×50）"
3969022F1029,ifo:if_0_9,フィルムコーティング錠
3969022F1029,ifo:if_0_11,"1 錠中カナグリフロジン水和物102mg（カナグリフロジンとして100mg）含有"
3969022F1029,ifo:if_0_13,2014-07-04
3969022F1029,ifo:if_0_14,2014-09-02
3969022F1029,ifo:if_0_15,2014-09-03
3969022F1029,ifo:if_10_8,22600AMX00744000
3969022F1029,ifo:yakka_code,3969022F1029
3969022F1029,ifo:yj_code,3969022F1029
3969022F1029,ifo:hot_code,1236064010102
3969022F1029,ifo:resept_code,622360601
,,
3969022F1029,ifo:if_0_8,"カナグル錠100mg 140 錠（14 錠×10）"
3969022F1029,ifo:if_0_9,フィルムコーティング錠
3969022F1029,ifo:if_0_11,"1 錠中カナグリフロジン水和物102mg（カナグリフロジンとして100mg）含有"
3969022F1029,ifo:if_0_13,2014-07-04
3969022F1029,ifo:if_0_14,2014-09-02
3969022F1029,ifo:if_0_15,2014-09-03
3969022F1029,ifo:if_10_8,22600AMX00744000
3969022F1029,ifo:yakka_code,3969022F1029
3969022F1029,ifo:yj_code,3969022F1029
3969022F1029,ifo:hot_code,1236064010201
3969022F1029,ifo:resept_code,622360601
,,
3969022F1029,ifo:if_0_8,"カナグル錠100mg 500 錠（バラ）"
3969022F1029,ifo:if_0_9,フィルムコーティング錠
3969022F1029,ifo:if_0_11,"1 錠中カナグリフロジン水和物102mg（カナグリフロジンとして100mg）含有"
3969022F1029,ifo:if_0_13,2014-07-04
3969022F1029,ifo:if_0_14,2014-09-02
3969022F1029,ifo:if_0_15,2014-09-03
3969022F1029,ifo:if_10_8,22600AMX00744000
3969022F1029,ifo:yakka_code,3969022F1029
3969022F1029,ifo:yj_code,3969022F1029
3969022F1029,ifo:hot_code,1236064010301
3969022F1029,ifo:resept_code,622360601
