subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,10480610
1,ifo:internal_reference_id,
2,rdf:type,bibo:Article
2,dct:references,20690635
2,ifo:internal_reference_id,
3,rdf:type,bibo:Article
3,dct:references,24026211
3,ifo:internal_reference_id,
4,rdf:type,bibo:Article
4,dct:references,23850055
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,田辺三菱製薬（株）：健康成人を対象とした単回投与試験（社内資料）
5,dct:dateAccepted,2014-07-04
5,ifo:internal_reference_id,
5,ifo:ctd_number,CTD2.7.6.7
6,rdf:type,bibo:Document
6,rdfs:label,"田辺三菱製薬（株）：2 型糖尿病患者を対象とした臨床薬理試験（社内資料）"
6,dct:dateAccepted,2014-07-04
6,ifo:internal_reference_id,
6,ifo:ctd_number,CTD2.7.6.12
7,rdf:type,bibo:Document
7,rdfs:label,"田辺三菱製薬（株）：中等度腎機能障害を伴う2 型糖尿病患者を対象とした臨床薬理試験（社内資料）"
7,dct:dateAccepted,2014-07-04
7,ifo:internal_reference_id,
7,ifo:ctd_number,CTD2.7.6.35
8,rdf:type,bibo:Document
8,rdfs:label,"田辺三菱製薬（株）：Thorough QT/QTc 試験（社内資料）"
8,dct:dateAccepted,2014-07-04
8,ifo:internal_reference_id,
8,ifo:ctd_number,CTD2.7.6.28
9,rdf:type,bibo:Document
9,rdfs:label,田辺三菱製薬（株）：消化管でのグルコース吸収試験
9,dct:dateAccepted,2014-07-04
9,ifo:internal_reference_id,
9,ifo:ctd_number,
10,rdf:type,bibo:Document
10,rdfs:label,田辺三菱製薬（株）：第Ⅱ相用量設定試験（社内資料）
10,dct:dateAccepted,2014-07-04
10,ifo:internal_reference_id,
10,ifo:ctd_number,CTD2.7.6.41
11,rdf:type,bibo:Article
11,dct:references,25010793
11,ifo:internal_reference_id,
12,rdf:type,bibo:Document
12,rdfs:label,"田辺三菱製薬（株）：2 型糖尿病患者を対象とした検証的試験（社内資料）"
12,dct:dateAccepted,2014-07-04
12,ifo:internal_reference_id,
12,ifo:ctd_number,CTD2.7.6.42
13,rdf:type,bibo:Document
13,rdfs:label,"田辺三菱製薬（株）：第Ⅲ相メトホルミン及びスルホニルウレア剤併用プラセボ対照試験
（社内資料）（2014 年7 月4 日承認、"
13,dct:dateAccepted,2014-07-04
13,ifo:internal_reference_id,
13,ifo:ctd_number,CTD2.7.6.48
14,rdf:type,bibo:Document
14,rdfs:label,"田辺三菱製薬（株）：第Ⅲ相メトホルミン及びピオグリタゾン併用プラセボ対照試験（社内
資料）"
14,dct:dateAccepted,2014-07-04
14,ifo:internal_reference_id,
14,ifo:ctd_number,CTD2.7.6.51
15,rdf:type,bibo:Article
15,dct:references,25802729
15,ifo:internal_reference_id,
16,rdf:type,bibo:Document
16,rdfs:label,"田辺三菱製薬（株）：2 型糖尿病患者を対象とした長期投与試験（社内資料）"
16,dct:dateAccepted,2014-07-04
16,ifo:internal_reference_id,
16,ifo:ctd_number,CTD2.7.6.53
17,rdf:type,bibo:Article
17,dct:references,23464594
17,ifo:internal_reference_id,
18,rdf:type,bibo:Document
18,rdfs:label,"田辺三菱製薬（株）：第Ⅲ相中等度腎機能障害を伴う2 型糖尿病患者を対象とした試験（海
外試験）（社内資料）"
18,dct:dateAccepted,2014-07-04
18,ifo:internal_reference_id,
18,ifo:ctd_number,CTD2.7.6.43
19,rdf:type,bibo:Document
19,rdfs:label,"田辺三菱製薬（株）：第Ⅲ相高齢2 型糖尿病患者を対象とした試験（海外試験）（社内資料）"
19,dct:dateAccepted,2014-07-04
19,ifo:internal_reference_id,
19,ifo:ctd_number,CTD2.7.6.44
20,rdf:type,bibo:Article
20,dct:references,28605608
20,ifo:internal_reference_id,
21,rdf:type,bibo:Article
21,dct:references,29025285
21,ifo:internal_reference_id,
22,rdf:type,bibo:Document
22,rdfs:label,田辺三菱製薬（株）：インスリン製剤併用試験：二重盲検比較試験（社内資料）
22,dct:dateAccepted,2014-07-04
22,ifo:internal_reference_id,
22,ifo:ctd_number,
23,rdf:type,bibo:Article
23,dct:references,27316668
23,ifo:internal_reference_id,
24,rdf:type,bibo:Document
24,rdfs:label,田辺三菱製薬（株）：インスリン製剤併用試験：長期投与試験（社内資料）
24,dct:dateAccepted,2014-07-04
24,ifo:internal_reference_id,
24,ifo:ctd_number,
25,rdf:type,bibo:Document
25,rdfs:label,"田辺三菱製薬（株）：GLP-1 受容体作動薬併用試験：長期投与試験（社内資料）"
25,dct:dateAccepted,2014-07-04
25,ifo:internal_reference_id,
25,ifo:ctd_number,
26,rdf:type,bibo:Article
26,dct:references,25216746
26,ifo:internal_reference_id,
27,rdf:type,bibo:Document
27,rdfs:label,"田辺三菱製薬（株）：in vitro 及びin vivo 薬理作用（社内資料）
"
27,dct:dateAccepted,2014-07-04
27,ifo:internal_reference_id,
27,ifo:ctd_number,"CTD2.6.2.2.1, 2.6.2.2.2"
28,rdf:type,bibo:Document
28,rdfs:label,田辺三菱製薬（株）：健康成人を対象とした食事の影響試験（社内資料）
28,dct:dateAccepted,2014-07-04
28,ifo:internal_reference_id,
28,ifo:ctd_number,CTD2.7.6.1
29,rdf:type,bibo:Document
29,rdfs:label,田辺三菱製薬（株）：薬物相互作用試験（社内資料）
29,dct:dateAccepted,2014-07-04
29,ifo:internal_reference_id,
29,ifo:ctd_number,CTD2.7.2.2.5.1
30,rdf:type,bibo:Document
30,rdfs:label,田辺三菱製薬（株）：絶対バイオアベイラビリティ検討試験（社内資料）
30,dct:dateAccepted,2014-07-04
30,ifo:internal_reference_id,
30,ifo:ctd_number,CTD2.7.6.2
31,rdf:type,bibo:Document
31,rdfs:label,田辺三菱製薬（株）：ラットでの分布（社内資料）
31,dct:dateAccepted,2014-07-04
31,ifo:internal_reference_id,
31,ifo:ctd_number,CTD2.6.4.1.2
32,rdf:type,bibo:Document
32,rdfs:label,田辺三菱製薬（株）：妊娠ラットでの分布（社内資料）
