subject,predicate,object
IF_0_3,dct:modified,2020-7
IF_0_3,pav:version,10
IF_0_4,rdf:value,872399
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,消化管運動調律剤
IF_0_8,rdf:value,セレキノン錠100mg
IF_0_9,,
IF_0_10,rdf:value,該当しない
IF_0_11,,
IF_0_12,rdf:value,トリメブチンマレイン酸塩
IF_0_12,rdf:value,Trimebutine Maleate
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：田辺三菱製薬株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"田辺三菱製薬株式会社　くすり相談センター
TEL：0120-753-280
受付時間：9 時～17 時30 分（土、日、祝日、会社休業日を除く）
医療関係者向けホームページ　
　https://medical.mt-pharma.co.jp"
IF_0_19,rdf:value,2020-4
IF_1,,
IF_1_1,rdf:value,"トリメブチンマレイン酸塩は1970 年にフランスのJouveinal 社において一連のアミノエステル誘導体の研究により開発された消化管運動機能調律剤でフランスのほか10 数カ国で発売されている。弊社は独自の合成法を確立し、1972 年より各種の検討評価を行った結果、消化管平滑筋に直接作用して、消化管運動が低下している場合に促進させ、一方、亢進している場合には抑制するという二面的作用を有する新しいタイプの消化管運動調律剤セレキノン錠を発売するに至った。
また、セレキノン錠100mg は2007 年3 月に販売名変更に伴う再承認を受け、2007 年6 月に変更銘柄名で薬価収載された。
なお、本品は1991 年3 月6 日付で、薬事法第14 条第2 項各号（承認拒否事由）のいずれにも該当しない旨の再審査結果が得られた。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"セレキノンは消化管平滑筋への直接作用により、消化管運動を正常化し、慢性胃炎に伴う腹部疼痛、悪心、噯気、腹部膨満感、過敏性腸症候群における消化器症状及び便通異常を改善する。
（1）消化管運動の正常化作用
胃運動を正常化し、胃排出能を改善する。
生理的な消化管運動を誘発する。
大腸運動を正常化する。
（2）消化器症状改善効果
慢性胃炎における腹部疼痛、悪心、噯気、腹部膨満感の消化器症状及び過敏性腸症候群における下痢、便秘、残便感等の便通異常及び食欲不振などの消化器症状を改善する。
（3）副作用発現率
臨床試験（治験）：総症例1,515 例中、副作用が報告されたのは74 例（4.88％）で、主な副作用は便秘20 件（1.32％）、口渇10 件（0.66％）、下痢8 件（0.53％）等であった。
（4）投与量の調節
過敏性腸症候群では、1 日投与量（300～600mg）の調節が可能。
注）慢性胃炎の1 日投与量は300mg である。"
IF_1_2,rdfs:seeAlso,
IF_1_2,dct:references,
IF_1_3,rdf:value,該当資料なし
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,無
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,無
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
