subject,predicate,object
https://www.info.pmda.go.jp/go/interview/1/400315_2399006F1331_1_100_1F.pdf,ifo:if_id,400315_2399006F1331_1_100_1F
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/400315_2399006F1331_1_06,ifo:pi_id,400315_2399006F1331_1_06
400315_2399006F1331_1_100_1F,ifo:yjcode,2399006F1331
,,
2399006F1331,ifo:if_0_8,セレキノン錠100mg
2399006F1331,ifo:if_0_9,フィルムコーティング錠
2399006F1331,ifo:if_0_11,１錠中　日局トリメブチンマレイン酸塩100mg 含有
2399006F1331,ifo:if_0_13,2007 年3 月22 日
2399006F1331,ifo:if_0_14,2007 年6 月15 日
2399006F1331,ifo:if_0_15,1984 年5 月28 日
2399006F1331,ifo:if_10_8,21900AMX0068100
2399006F1331,ifo:yakka_code,2399006F1331
2399006F1331,ifo:yj_code,2399006F1331
2399006F1331,ifo:hot_code,105058501
2399006F1331,ifo:resept_code,620005027
