subject,predicate,object
IF_0_3,dct:modified,2020-02
IF_0_3,pav:version,14
IF_0_4,rdf:value,"871179, 87119"
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,セロトニン・ノルアドレナリン再取り込み阻害剤
IF_0_8,rdf:value,デュロキセチン塩酸塩カプセル
IF_0_9,,
IF_0_10,rdf:value,"劇薬、処方箋医薬品注)
注) 注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,デュロキセチン塩酸塩（JAN）
IF_0_12,rdf:value,"Duloxetine Hydrochloride（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"販 売：日本イーライリリー株式会社
製造販売元：塩野義製薬株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"日本イーライリリー株式会社 Lilly Answers リリーアンサーズ
TEL 0120-360-605
医療関係者向けホームページ www.lillymedical.jp
塩野義製薬株式会社 医薬情報センター
TEL 0120-956-734 FAX 06-6202-1541
医療関係者向けホームページ http://www.shionogi.co.jp/med/"
IF_0_19,rdf:value,2020-02
IF_1,,
IF_1_1,rdf:value,"サインバルタ®カプセル（一般名：デュロキセチン塩酸塩）は、米国イーライリリー社で合成されたセロトニン･ノルアドレナリン再取り込み阻害剤（SNRI）である。大うつ病性障害（MDD）を適応症とした米国及び欧州における承認（2004年）以降、日本を含めた世界100の国と地域で承認されている（2016年7月現在）。わが国においては1992年に塩野義製薬株式会社と日本イーライリリー株式会社により共同開発が開始され、1998年の第Ⅲ相臨床試験以降は塩野義製薬株式会社単独の開発が進められた。
うつ病は、抑うつ気分等の精神症状に加え、倦怠感、頭痛、腰痛等の身体症状を伴う精神疾患である。その薬物治療にはSNRIのほか、選択的セロトニン再取り込み阻害剤（SSRI）、三環系抗うつ剤等が用いられる。 本剤の国内開発過程では、1993年から2002年に実施された第Ⅱ相及び第Ⅲ相の国内臨床試験12試験の結果を踏まえ、安全性を保ちながら高い有効性を求めて用法・用量について種々検討を重ね、新たに比較対照試験2試験、長期投与試験2試験を実施した。これらの試験では、うつ病・うつ状態の患者（DSM-Ⅳ-TR＊のMDD・単一又は反復性エピソード）への1日1回投与により、本剤のプラセボ群に対する優越性、40 ～ 60 mg/日投与における有効性・安全性が示された。これらの結果に基づき、「うつ病・うつ状態」を効能・効果として2010年1月に製造販売承認を取得した。 また、塩野義製薬株式会社が本剤の糖尿病性神経障害に伴う疼痛に対する臨床試験を2005年から開始し、2007年には日本イーライリリー株式会社と共同開発契約が締結され、2012年2月に「糖尿病性神経障害に伴う疼痛」が効能・効果として追加承認された。
線維筋痛症に対しては、2010年11月に開催された「第6回 医療上の必要性の高い未承認薬・適応外薬検討会議」での検討の結果、医療上の必要性が高いと判断され、厚生労働省から開発が要請された。本要請に従い、塩野義製薬株式会社は2012年に線維筋痛症患者を対象とした国内臨床試験を実施し、2015年5月に「線維筋痛症に伴う疼痛」が効能・効果として追加承認された。
慢性腰痛症に対しては、塩野義製薬株式会社が本剤の慢性腰痛症患者を対象とした国内臨床試験を2013年から実施し、2016年3月に「慢性腰痛症に伴う疼痛」が効能・効果として追加承認された。
変形性関節症に対しては、塩野義製薬株式会社が本剤の変形性関節症患者を対象とした国内臨床試験を2014年から実施し、2016年12月に「変形性関節症に伴う疼痛」が効能・効果として追加承認された。
＊：DSM-IV-TR；American Psychiatric Association（米国精神医学会）のDiagnostic and Statistical Manual of Mental Disorders. 4th edition, Text Revision（DSM-IV-TR精神疾患の診断・統計マニュアル）"
IF_1_1,dct:references,
