subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,340018_1179052M1022_2_22
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,340018_1179052M1022_2_014_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"1179052M1022, 1179052M2029"
,,
1179052M1022,ifo:if_0_8,サインバルタカプセル20mg
1179052M1022,ifo:if_0_9,硬カプセル剤
1179052M1022,ifo:if_0_11,"1カプセル中 デュロキセチン塩酸塩 22.4 mg（デュロキセチンとして20 mg）"
1179052M1022,ifo:if_0_13,2010-01-20
1179052M1022,ifo:if_0_14,2010-04-16
1179052M1022,ifo:if_0_15,2010-04-19
1179052M1022,ifo:if_10_8,22200AMX00230000
1179052M1022,ifo:yakka_code,1179052M1022
1179052M1022,ifo:yj_code,1179052M1022
1179052M1022,ifo:hot_code,119782201
1179052M1022,ifo:resept_code,621978201
,,
1179052M2029,ifo:if_0_8,サインバルタカプセル30mg
1179052M2029,ifo:if_0_9,硬カプセル剤
1179052M2029,ifo:if_0_11,"1カプセル中 デュロキセチン塩酸塩 33.7 mg（デュロキセチンとして30 mg）"
1179052M2029,ifo:if_0_13,2010-01-20
1179052M2029,ifo:if_0_14,2010-04-16
1179052M2029,ifo:if_0_15,2010-04-19
1179052M2029,ifo:if_10_8,22200AMX00231000
1179052M2029,ifo:yakka_code,1179052M2029
1179052M2029,ifo:yj_code,1179052M2029
1179052M2029,ifo:hot_code,119783901
1179052M2029,ifo:resept_code,621978301
