subject,predicate,object
1,rdf:type,bibo:Article
1,dct:creator,高橋明比古ほか
1,prism:publicationName,臨床精神薬理
1,prism:volume,12
1,prism:number,
1,prism:startingPage,1411
1,prism:endingPage,1426
1,dct:issued,2009
1,ifo:internal_reference_id,
2,rdf:type,bibo:Article
2,dct:creator,高橋明比古ほか
2,prism:publicationName,臨床精神薬理
2,prism:volume,12
2,prism:number,
2,prism:startingPage,1439
2,prism:endingPage,1454
2,dct:issued,2009
2,ifo:internal_reference_id,
3,rdf:type,bibo:Article
3,dct:creator,高橋明比古ほか
3,prism:publicationName,臨床精神薬理
3,prism:volume,12
3,prism:number,
3,prism:startingPage,1455
3,prism:endingPage,1481
3,dct:issued,2009
3,ifo:internal_reference_id,
4,rdf:type,bibo:Article
4,dct:creator,熊谷雄治
4,prism:publicationName,臨床精神薬理
4,prism:volume,12
4,prism:number,
4,prism:startingPage,1483
4,prism:endingPage,1497
4,dct:issued,2009
4,ifo:internal_reference_id,
5,rdf:type,bibo:Article
5,dct:references,16506079
5,ifo:internal_reference_id,
6,rdf:type,bibo:Article
6,dct:references,11691690
6,ifo:internal_reference_id,
7,rdf:type,bibo:Article
7,dct:references,15121647
7,ifo:internal_reference_id,
8,rdf:type,bibo:Article
8,dct:references,16633150
8,ifo:internal_reference_id,
9,rdf:type,bibo:Document
9,rdfs:label,社内資料：糖尿病性神経障害に伴う疼痛を対象とした国内第Ⅱ相用量反応性試験
9,dct:dateAccepted,2012-02-22
9,ifo:internal_reference_id,申請資料概要2.7.6.1
9,ifo:ctd_number,
10,rdf:type,bibo:Article
10,dct:creator,樋口輝彦ほか
10,prism:publicationName,臨床精神薬理
10,prism:volume,12
10,prism:number,
10,prism:startingPage,1595
10,prism:endingPage,1612
10,dct:issued,2009
10,ifo:internal_reference_id,
11,rdf:type,bibo:Article
11,dct:creator,樋口輝彦ほか
11,prism:publicationName,臨床精神薬理
11,prism:volume,12
11,prism:number,
11,prism:startingPage,1613
11,prism:endingPage,1634
11,dct:issued,2009
11,ifo:internal_reference_id,
12,rdf:type,bibo:Article
12,dct:references,16582061
12,ifo:internal_reference_id,
13,rdf:type,bibo:Article
13,dct:references,24843472
13,ifo:internal_reference_id,
14,rdf:type,bibo:Article
14,dct:references,26296539
14,ifo:internal_reference_id,
15,rdf:type,bibo:Document
15,rdfs:label,社内資料：線維筋痛症を対象とした国内第Ⅲ相プラセボ対照試験
15,dct:dateAccepted,2015-05-26
15,ifo:internal_reference_id,申請資料概要2.7.6.1
15,ifo:ctd_number,
16,rdf:type,bibo:Article
16,dct:references,27831985
16,ifo:internal_reference_id,
17,rdf:type,bibo:Document
17,rdfs:label,社内資料：慢性腰痛症を対象とした国内第Ⅲ相プラセボ対照試験
17,dct:dateAccepted,2016-03-18
17,ifo:internal_reference_id,申請資料概要2.7.6.1
17,ifo:ctd_number,
18,rdf:type,bibo:Article
18,dct:references,29713194
18,ifo:internal_reference_id,
19,rdf:type,bibo:Document
19,rdfs:label,社内資料：変形性関節症を対象とした国内第Ⅲ相プラセボ対照試験
19,dct:dateAccepted,2016-12-19
19,ifo:internal_reference_id,申請資料概要2.7.6.1
19,ifo:ctd_number,
20,rdf:type,bibo:Article
20,dct:creator,筒井末春ほか
