subject,predicate,object
IF_0_3,dct:modified,2020-03
IF_0_3,pav:version,11
IF_0_4,rdf:value,872499
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,子宮内膜症治療剤・子宮腺筋症に伴う疼痛改善治療剤
IF_0_8,rdf:value,ジエノゲスト
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,ジエノゲスト（JAN）
IF_0_12,rdf:value,Dienogest（JAN）、dienogest（INN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：持田製薬株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"持田製薬株式会社 くすり相談窓口
TEL 0120-189-522 03-5229-3906
FAX 03-5229-3955
受付時間
9:00～17:40（土・日、祝日、会社休日を除く）
医療関係者向けホームページ
http://www.mochida.co.jp/dis/index.html"
IF_0_19,rdf:value,2020-01
IF_1,,
