subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,790005_2499010F2020_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,790005_2499010F2020_1_M08_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"2499010F1023, 2499010F2020"
,,
2499010F1023,ifo:if_0_8,ディナゲスト錠1mg
2499010F1023,ifo:if_0_9,フィルムコーティング錠
2499010F1023,ifo:if_0_11,"1錠中 ジエノゲスト 1mg 含有"
2499010F1023,ifo:if_0_13,2007-10-19
2499010F1023,ifo:if_0_14,2007-12-14
2499010F1023,ifo:if_0_15,2008-01-21
2499010F1023,ifo:if_10_8,21900AMX01752000
2499010F1023,ifo:yakka_code,2499010F1023
2499010F1023,ifo:yj_code,2499010F1023
2499010F1023,ifo:hot_code,118225501
2499010F1023,ifo:resept_code,620005893
,,
2499010F2020,ifo:if_0_8,ディナゲストOD錠1mg
2499010F2020,ifo:if_0_9,コーティング錠（口腔内崩壊錠）
2499010F2020,ifo:if_0_11,"1錠中 ジエノゲスト 1mg 含有"
2499010F2020,ifo:if_0_13,2014-08-18
2499010F2020,ifo:if_0_14,2014-11-28
2499010F2020,ifo:if_0_15,2015-01-26
2499010F2020,ifo:if_10_8,22600AMX01283000
2499010F2020,ifo:yakka_code,2499010F2020
2499010F2020,ifo:yj_code,2499010F2020
2499010F2020,ifo:hot_code,123681101
2499010F2020,ifo:resept_code,622368101
