subject,predicate,object
1,rdf:type,bibo:Article
1,dct:creator,百枝幹雄
1,prism:publicationName,"Hormone Frontier in Gynecology."
1,prism:volume,19
1,prism:number,4
1,prism:startingPage,317
1,prism:endingPage,321
1,dct:issued,2012
1,ifo:internal_reference_id,
2,rdf:type,bibo:Book
2,dct:creator,
2,bibo:editor,
2,dct:publisher,
2,prism:publicationName,"メルクマニュアル医学情報[家庭版] 1版"
2,prism:startingPage,
2,prism:endingPage,
2,dct:issued,
2,ifo:internal_reference_id,
3,rdf:type,bibo:Book
3,dct:creator,
3,bibo:editor,
3,dct:publisher,
3,prism:publicationName,"平成23年5月20日 厚生労働省 Press Release 「平成22年版 働く女性の実情」"
3,prism:startingPage,
3,prism:endingPage,
3,dct:issued,
3,ifo:internal_reference_id,
4,rdf:type,bibo:Book
4,dct:creator,
4,bibo:editor,
4,dct:publisher,
4,prism:publicationName,"産婦人科診療ガイドライン－婦人科外来編2014
http://www.jsog.or.jp/activity/guideline.html（2016年11月15日 アクセス：2014年版）"
4,prism:startingPage,
4,prism:endingPage,
4,dct:issued,2016-11-15
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,持田製薬社内資料：海外臨床薬物動態試験－健康成人男性における生物学的利用率の検討－
5,dct:dateAccepted,2007-10-19
5,ifo:internal_reference_id,
5,ifo:ctd_number,CTD2.7.6.1
6,rdf:type,bibo:Document
6,rdfs:label,持田製薬社内資料：第Ⅰ相試験－単回投与試験－
6,dct:dateAccepted,2007-10-19
6,ifo:internal_reference_id,
6,ifo:ctd_number,"CTD 2.7.6.3"
7,rdf:type,bibo:Document
7,rdfs:label,持田製薬社内資料：第Ⅰ相試験－反復投与試験－
7,dct:dateAccepted,2007-10-19
7,ifo:internal_reference_id,
7,ifo:ctd_number,"CTD 2.7.6.3"
8,rdf:type,bibo:Document
8,rdfs:label,持田製薬社内資料：第Ⅰ相試験－反復投与追加試験－
8,dct:dateAccepted,2007-10-19
8,ifo:internal_reference_id,
8,ifo:ctd_number,"CTD 2.7.6.3"
9,rdf:type,bibo:Document
9,rdfs:label,持田製薬社内資料：前期第Ⅱ相試験－子宮内膜症患者における有効性および安全性の検討－
9,dct:dateAccepted,2007-10-19
9,ifo:internal_reference_id,
9,ifo:ctd_number,"CTD 5.3.5.1-1"
10,rdf:type,bibo:Document
10,rdfs:label,持田製薬社内資料：海外第Ⅱ相試験－子宮内膜症患者における有効性の用量反応関係の検証および安全性の検討－
10,dct:dateAccepted,2007-10-19
10,ifo:internal_reference_id,
10,ifo:ctd_number,"CTD 5.3.5.1-4"
11,rdf:type,bibo:Document
11,rdfs:label,持田製薬社内資料：後期第Ⅱ相試験－無作為化並行用量反応試験－
11,dct:dateAccepted,2007-10-19
11,ifo:internal_reference_id,
11,ifo:ctd_number,"CTD CTD 5.3.5.1-2"
12,rdf:type,bibo:Article
12,dct:creator,"百枝幹雄 他"
12,prism:publicationName,薬理と治療.
12,prism:volume,35
12,prism:number,7
12,prism:startingPage,769
12,prism:endingPage,783
12,dct:issued,2007
12,ifo:internal_reference_id,
13,rdf:type,bibo:Article
13,dct:creator,"原田 省 他"
13,prism:publicationName,薬理と治療.
13,prism:volume,36
13,prism:number,2
13,prism:startingPage,129
13,prism:endingPage,140
13,dct:issued,2008
13,ifo:internal_reference_id,
14,rdf:type,bibo:Document
14,rdfs:label,持田製薬社内資料：第Ⅲ相試験－非劣性試験－
14,dct:dateAccepted,2007-10-19
14,ifo:internal_reference_id,
14,ifo:ctd_number,"CTD 5.3.5.1-3"
15,rdf:type,bibo:Document
15,rdfs:label,持田製薬社内資料：長期投与試験－子宮内膜症患者における長期投与の有効性および安全性の検討－
15,dct:dateAccepted,2007-10-19
15,ifo:internal_reference_id,
15,ifo:ctd_number,"CTD 2.7.6.8"
16,rdf:type,bibo:Document
16,rdfs:label,持田製薬社内資料：子宮腺筋症患者を対象とした前期第Ⅱ相試験
16,dct:dateAccepted,2016-12-02
16,ifo:internal_reference_id,
16,ifo:ctd_number,"CTD 5.3.5.1.1"
17,rdf:type,bibo:Document
17,rdfs:label,持田製薬社内資料：子宮腺筋症患者を対象とした後期第Ⅱ相試験
17,dct:dateAccepted,2016-12-02
17,ifo:internal_reference_id,
17,ifo:ctd_number,"CTD 5.3.5.1.2"
18,rdf:type,bibo:Article
18,dct:creator,"大須賀 穣 他"
18,prism:publicationName,薬理と治療.
18,prism:volume,45
18,prism:number,6
18,prism:startingPage,907
18,prism:endingPage,920
18,dct:issued,2017
18,ifo:internal_reference_id,
19,rdf:type,bibo:Document
19,rdfs:label,持田製薬社内資料：子宮腺筋症患者を対象とした第Ⅲ相試験
19,dct:dateAccepted,2016-12-02
19,ifo:internal_reference_id,
19,ifo:ctd_number,"CTD 5.3.5.1.3"
20,rdf:type,bibo:Article
20,dct:references,28911934）
20,ifo:internal_reference_id,
21,rdf:type,bibo:Document
21,rdfs:label,持田製薬社内資料：子宮腺筋症患者を対象とした長期投与試験
21,dct:dateAccepted,2016-12-02
21,ifo:internal_reference_id,
21,ifo:ctd_number,"CTD 5.3.5.2.2"
22,rdf:type,bibo:Article
22,dct:references,28737239）
22,ifo:internal_reference_id,
23,rdf:type,bibo:Document
23,rdfs:label,持田製薬社内資料：薬理試験－ヒトプロゲステロン受容体に対する結合能の検討－
23,dct:dateAccepted,2007-10-19
23,ifo:internal_reference_id,
23,ifo:ctd_number,"CTD 2.6.2.2"
24,rdf:type,bibo:Document
24,rdfs:label,持田製薬社内資料：薬理試験－ヒトエストロゲン受容体に対する結合能の検討－
24,dct:dateAccepted,2007-10-19
24,ifo:internal_reference_id,
24,ifo:ctd_number,"CTD 2.6.2.2"
25,rdf:type,bibo:Document
