subject,predicate,object
IF_0_3,dct:modified,2020-01
IF_0_3,pav:version,10
IF_0_4,rdf:value,873339
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,経口FXa阻害剤
IF_0_8,rdf:value,エリキュース錠
IF_0_9,,
IF_0_10,rdf:value,"処方箋医薬品
注意―医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,アピキサバン（JAN）
IF_0_12,rdf:value,Apixaban（JAN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：ブリストル・マイヤーズ スクイブ株式会社
販売元：ファイザー株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"ブリストル・マイヤーズ スクイブ株式会社 メディカル情報部
TEL：0120-093-507（9：00～17：30／土日祝日及び当社休業日を除く）
医療関係者向けホームページ：http://www.bmshealthcare.jp
ファイザー株式会社 製品情報センター
学術情報ダイヤル 0120-664-467 FAX 03-3379-3053
医療用製品情報
http://pfizerpro.jp/cs/sv/druginfo"
IF_0_19,rdf:value,2020-01
IF_1,,
IF_1_1,rdf:value,"エリキュース錠（アピキサバン）は、米国ブリストル･マイヤーズ スクイブ（BMS）社と米国ファイザー社によって共同開発された血液凝固活性化第X因子（FXa）を可逆的に阻害する経口FXa阻害剤である。
FXaは第X因子が活性化されて生成されるセリンプロテアーゼの一種で、フィブリノーゲンをフィブリンに変換する役割を担うトロンビン（FⅡa）を生成する酵素であり、血液凝固の中心的役割を果たしている。アピキサバンは、このFXaに対して高い親和性と選択性を有し、FXaの阻害を介してトロンビン産生を抑制することにより、直接的な抗血液凝固作用及び間接的な抗血小板作用を示し、抗血栓作用を発揮する。
海外では、2002年に第Ⅰ相試験が開始され、米国及び欧州連合（EU）においては、2011年9月に「非弁膜症性心房細動（NVAF）に伴う脳卒中及び全身性塞栓症の発症抑制」を適応として承認申請を行い、米国においては2012年12月、EUにおいては2012年11月に承認を取得した。
日本では、国際共同治験への直接参加の可能性を考慮し、2004年に日本人及び白人の健康成人被験者を直接比較した第Ⅰ相試験（単回投与試験）をまず米国で実施した。さらにNVAFを対象とした国内第Ⅱ相試験に加え、国際共同第Ⅲ相試験（ARISTOTLE試験、AVERROES試験）ならびに臨床薬理試験（生物学的同等性、食事の影響、特別な集団における薬物動態、QT/QTc評価試験、薬物相互作用等）の外国試験データ等を臨床データパッケージとして、2011年12月21日に製造販売承認申請を行い、2012年12月25日に「非弁膜症性心房細動患者における虚血性脳卒中及び全身性塞栓症の発症抑制」を効能又は効果として、承認を取得した。
また、アピキサバンは欧米では静脈血栓塞栓症治療薬としての臨床開発が日本より先行して行われ、欧州では2014年7月、米国では2014年8月に静脈血栓塞栓症の治療及び再発抑制の適応で承認されている。日本では海外第Ⅱ相試験及び海外第Ⅲ相試験（AMPLIFY試験、AMPLIFY-EXT試験）を基に実施した国内第Ⅲ相試験（AMPLIFY-J試験）において、日本人患者における本剤の安全性と有効性を確認した。これらの試験に基づき、2015年12月21日に「静脈血栓塞栓症（深部静脈血栓症及び肺血栓塞栓症）の治療及び再発抑制」の効能又は効果の追加が承認された。"
IF_1_1,dct:references,
