subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,670605_3339004F1029_1_14
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,670605_3339004F1029_1_013_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,3339004F1029
,,
3339004F1029,ifo:if_0_8,"エリキュース錠2.5mg 100錠（10錠×10）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン2.5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01496000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222494010101
3339004F1029,ifo:resept_code,622224901
,,
3339004F1029,ifo:if_0_8,"エリキュース錠2.5mg 140錠（14錠×10）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン2.5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01496000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222494010201
3339004F1029,ifo:resept_code,622224901
,,
3339004F1029,ifo:if_0_8,"エリキュース錠2.5mg 500錠（10錠×50）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン2.5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01496000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222494020102
3339004F1029,ifo:resept_code,622224901
,,
3339004F1029,ifo:if_0_8,"エリキュース錠2.5mg 500錠（瓶）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン2.5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01496000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222494010301
3339004F1029,ifo:resept_code,622224901
,,
,,
3339004F1029,ifo:if_0_8,"エリキュース錠5mg 100錠（10錠×10）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01497000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222500010101
3339004F1029,ifo:resept_code,622224901
,,
3339004F1029,ifo:if_0_8,"エリキュース錠5mg 140錠（14錠×10）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01497000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222500010201
3339004F1029,ifo:resept_code,622224901
,,
3339004F1029,ifo:if_0_8,"エリキュース錠5mg 500錠（10錠×50）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01497000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222500020102
3339004F1029,ifo:resept_code,622224901
,,
3339004F1029,ifo:if_0_8,"エリキュース錠5mg 500錠（瓶）"
3339004F1029,ifo:if_0_9,錠剤（フィルムコーティング錠）
3339004F1029,ifo:if_0_11,1錠中アピキサバン5mgを含有
3339004F1029,ifo:if_0_13,2012-12-25
3339004F1029,ifo:if_0_14,2013-02-22
3339004F1029,ifo:if_0_15,2013-02-26
3339004F1029,ifo:if_10_8,22400AMX01497000
3339004F1029,ifo:yakka_code,3339004F1029
3339004F1029,ifo:yj_code,3339004F1029
3339004F1029,ifo:hot_code,1222500010301
3339004F1029,ifo:resept_code,622224901
