subject,predicate,object
1,rdf:type,bibo:Article
1,dct:creator,"本間 之夫 他"
1,prism:publicationName,日本排尿機能学会誌
1,prism:volume,14
1,prism:number,2
1,prism:startingPage,266
1,prism:endingPage,277
1,dct:issued,2003
1,ifo:internal_reference_id,R-04271
2,rdf:type,bibo:Article
2,dct:references,15971719
3,rdf:type,bibo:Article
3,dct:references,11412210
3,ifo:internal_reference_id,R-04276
4,rdf:type,bibo:BookSection
4,dct:creator,
4,bibo:editor,日本排尿機能学会過活動膀胱ガイドライン作成委員会
4,dct:publisher,ブラックウェルパブリッシング
4,prism:publicationName,過活動膀胱診療ガイドライン
4,prism:startingPage,30
4,prism:endingPage,51
4,dct:issued,2005
4,ifo:internal_reference_id,VC-00077
5,rdf:type,bibo:Article
5,dct:creator,"山口 脩"
5,prism:publicationName,泌尿器外
5,prism:volume,11
5,prism:number,19
5,prism:startingPage,266
5,prism:endingPage,277
5,dct:issued,2009
5,ifo:internal_reference_id,R-05842
6,rdf:type,bibo:Article
6,dct:references,17293563
6,ifo:internal_reference_id,BE-00010
7,rdf:type,bibo:Article
7,dct:references,23224420
7,ifo:internal_reference_id,BE-00100
8,rdf:type,bibo:BookSection
8,dct:creator,
8,bibo:editor,日本排尿機能学会過活動膀胱ガイドライン作成委員会
8,dct:publisher,ブラックウェルパブリッシング
8,prism:publicationName,過活動膀胱診療ガイドライン
8,prism:startingPage,2
8,prism:endingPage,5
8,dct:issued,2005
8,ifo:internal_reference_id,R-04252
9,rdf:type,bibo:BookSection
9,dct:creator,
9,bibo:editor,日本排尿機能学会過活動膀胱ガイドライン作成委員会
9,dct:publisher,ブラックウェルパブリッシング
9,prism:publicationName,過活動膀胱診療ガイドライン
9,prism:startingPage,24
9,prism:endingPage,29
9,dct:issued,2005
9,ifo:internal_reference_id,R-04253
10,rdf:type,bibo:BookSection
10,dct:creator,
10,bibo:editor,日本排尿機能学会過活動膀胱ガイドライン作成委員会
10,dct:publisher,ブラックウェルパブリッシング
10,prism:publicationName,過活動膀胱診療ガイドライン
10,prism:startingPage,52
10,prism:endingPage,54
10,dct:issued,2005
10,ifo:internal_reference_id,R-04254
11,rdf:type,bibo:Document
11,rdfs:label,社内報告書
11,dct:dateAccepted,2011-07-01
11,ifo:internal_reference_id,DIR110060
11,ifo:ctd_number,CTD2.7.6.7
12,rdf:type,bibo:Document
12,rdfs:label,社内報告書
12,dct:dateAccepted,2011-07-01
12,ifo:internal_reference_id,DIR110073
12,ifo:ctd_number,CTD2.7.6.24
13,rdf:type,bibo:Article
13,dct:references,23149929
13,ifo:internal_reference_id,BE-00099
14,rdf:type,bibo:Document
14,rdfs:label,社内報告書
14,dct:dateAccepted,2011-07-01
14,ifo:internal_reference_id,DIR190220
14,ifo:ctd_number,CTD2.7.2.2.2.5.2
