subject,predicate,object
IF_0_3,dct:modified,2020-05
IF_0_3,pav:version,4
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,HIF-PH阻害薬 腎性貧血治療薬
IF_0_8,rdf:value,エベレンゾ錠
IF_0_9,,
IF_0_10,rdf:value,劇薬、処方箋医薬品（注意−医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,ロキサデュスタット（JAN）
IF_0_12,rdf:value,Roxadustat（JAN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売：アステラス製薬株式会社
提携：FibroGen社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"アステラス製薬株式会社
メディカルインフォメーションセンター TEL 0120-189-371
医療従事者向け情報サイト(Astellas Medical Net)
https://amn.astellas.jp/"
IF_0_19,rdf:value,2019-11
IF_1,,
IF_1_1,rdf:value,"腎性貧血は、酸素を感知する機能に障害が生じることで赤血球産生が調節できず、また、腎機能低下に伴い腎臓でのエリスロポエチン(EPO)産生の調節ができなくなることで生じる貧血で、貧血の原因疾患が慢性腎臓病(CKD)以外に認められないものをいう。また、CKDに伴う貧血の他の要因として、赤血球寿命の短縮、炎症による造血細胞のEPO反応性の低下、栄養障害、血液透析(HD)患者における回路内残血なども含まれる1)。腎性貧血患者では、ヘモグロビン(Hb)減少により酸素運搬能が低下し、息切れ、動悸、易疲労感、食欲不振等の症状の悪化、心拍出量増加に伴う心負荷亢進による心イベントの増加、低酸素と脳血流量増加による中枢神経機能の悪化、重度の貧血による輸血関連副作用がみられる2)。また、Hbが低値であることが、死亡リスクの増加と関連するという報告があり3), 4), 5)、日米欧の腎性貧血治療ガイドラインで、生命予後の観点からみたHbの治療目標値が設定されている1), 6), 7)。このように、腎性貧血患者におけるHb値の管理は腎機能障害の治療上重要な課題である。
現在、腎性貧血に対する治療として、赤血球造血刺激因子製剤(ESA)によるEPOの補充療法が行われており、生活の質(QOL)、心機能の改善8)及び輸血量の減少9)が観察されている。国内におけるESAの投与方法は、HD患者では静脈内投与が、また、腹膜透析(PD)患者及び保存期慢性腎臓病(NDD-CKD)患者では一般に皮下投与が選択されている。HD患者への静脈内投与は、HD回路の静脈側より投与できるメリットがあるが、医療スタッフの投与時の針刺し事故等による感染リスクが問題となっている10)。さらに、PD患者、NDD-CKD患者への皮下投与は、投与時の疼痛や頻回投与による通院負担も無視できない11), 12)。また、いずれの投与方法もESA投与による抗EPO抗体陽性赤芽球癆発現といった有害事象が報告されている13)。
ロキサデュスタット(以下、本剤)は米国FibroGen社により見出された新規低分子化合物であり、日本及び欧州においてはアステラス製薬株式会社が共同開発を行っている。本剤は低酸素誘導因子(HIF)の調節酵素であるHIF-プロリン水酸化酵素(HIF-PH)を阻害することにより、転写因子であるHIF-αの分解が抑制されてHIF-αが蓄積し、HIF経路を活性化させる。その結果、生体が低酸素状態に曝露された際に生じる赤血球造血反応14)と同様に、正常酸素状態でも赤血球造血が刺激される。
ESAと異なる作用機序、投与経路を有する本剤が腎性貧血治療の有用な選択肢になることが期待されたことから、今般、透析施行中の腎性貧血患者を対象に、本剤による臨床試験を実施した。その結果、有効性及び安全性が確認されたことから、「透析施行中の腎性貧血」を効能・効果とし、2019年9月、製造販売承認された。"
IF_1_1,dct:references,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
IF_1_2,rdf:value,"(1)ロキサデュスタットは可逆的なHIF-PH阻害薬である。HIF-αの分解を妨げることによってHIF経路が活性化され、エリスロポエチンが増加することにより、赤血球形成が促進される。
(「Ⅵ.2.(1)作用部位・作用機序」の項参照)
(2)ロキサデュスタットは、HIF-PHであるプロリン水酸化酵素ドメイン(PHD)1、PHD2、PHD3を競合的に阻害する。
(「Ⅵ.2.(2)薬効を裏付ける試験成績1)①」の項参照)
(3)炎症性貧血モデルラットにロキサデュスタットを反復経口投与すると、Hb、平均赤血球容積(MCV)、平均赤血球ヘモグロビン濃度(MCHC)及び血清鉄値が上昇した。腎性貧血モデルラットにおいても、ロキサデュスタットはHb、ヘマトクリット(Hct)及び赤血球数(RBC)の用量依存的増加作用を示した。
(「Ⅵ.2.(2)薬効を裏付ける試験成績3)及び4)」の項参照)
(4)ロキサデュスタットは、ESA未治療あるいはESA治療中の日本人血液透析患者及び日本人腹膜透析患者において貧血改善維持効果を示した。
(「Ⅴ.5.(4)1)有効性検証試験」、「Ⅴ.5.(4)2)安全性試験」及び「Ⅴ.5.(5)患者・病態別試験」の項参照)
(5)重大な副作用として、血栓塞栓症が報告されている。
透析期の腎性貧血患者を対象とした国内第Ⅲ相比較試験(HD)［CL-0307］、国内ESA未治療患者対象試験(HD)［CL-0308］、国内長期投与試験(HD)［CL-0312］、国内一般臨床試験(PD)［CL-0302］において、副作用として「シャント閉塞」7例/444例(1.6％)、「脳梗塞」3例/444例(0.7％)、「医療機器内血栓」2例/444例(0.5％)、「ラクナ梗塞」1例/444例(0.2％)、「深部静脈血栓症」1例/444例(0.2％)、「頚静脈血栓症」1例/444例(0.2％)、「網膜静脈閉塞症」1例/444例(0.2％)、「急性心筋梗塞」1例/444例(0.2％)が認められた。
(「Ⅷ.8.(1)重大な副作用と初期症状」の項参照)"
IF_1_2,rdfs:seeAlso,"IF_6_2_1, IF_6_2_2_1, IF_6_2_2_3, IF_6_2_2_4, IF_5_5_4_1, IF_5_5_4_2, IF_5_5_5, IF_8_8_1"
,,
IF_1_3,rdf:value,"(1)ロキサデュスタットは週3回の経口投与によりHb値管理が可能であり、週3回投与の服薬コンプライアンスを保つために、包装(患者さん用パッケージ付きPTP)に日付及び曜日の記載欄を設けている。
(「Ⅳ．10．(1）注意が必要な容器・包装、外観が特殊な容器・包装に関する情報」の項参照)"
IF_1_3,rdfs:seeAlso,IF_4_10_1
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,(「6.RMPの概要」の項参照)
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,"・医療従事者向け資材(適正使用ガイド)
・患者向け資材(エベレンゾ錠を服用される患者さんへ)"
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,医薬品リスク管理計画を策定の上、適切に実施すること。
IF_1_5_1,rdfs:seeAlso,
