subject,predicate,object
https://www.info.pmda.go.jp/go/interview/1/800126_3999047F1028_1_004_2F,ifo:if_id,800126_3999047F1028_1_004_2F
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_3999047F1028_1_01,ifo:pi_id,800126_3999047F1028_1_01
800126_3999047F1028_1_004_2F,ifo:yjcode,"3999047F1028, 3999047F2024, 3999047F3020"
,,
3999047F1028,ifo:if_0_8,エベレンゾ錠20mg
3999047F1028,ifo:if_0_9,フィルムコーティング錠
3999047F1028,ifo:if_0_11,1錠中にロキサデュスタット20 mgを含有する。
3999047F1028,ifo:if_0_13,2019-09-20
3999047F1028,ifo:if_0_14,2019-11-19
3999047F1028,ifo:if_0_15,2019-11-20
3999047F1028,ifo:if_10_8,30100AMX00239
3999047F1028,ifo:yakka_code,3999047F1028
3999047F1028,ifo:yj_code,3999047F1028
3999047F1028,ifo:hot_code,126965901
3999047F1028,ifo:resept_code,622696501
,,
3999047F2024,ifo:if_0_8,エベレンゾ錠50mg
3999047F2024,ifo:if_0_9,フィルムコーティング錠
3999047F2024,ifo:if_0_11,1錠中にロキサデュスタット50 mgを含有する。
3999047F2024,ifo:if_0_13,2019-09-20
3999047F2024,ifo:if_0_14,2019-11-19
3999047F2024,ifo:if_0_15,2019-11-20
3999047F2024,ifo:if_10_8,30100AMX00240
3999047F2024,ifo:yakka_code,3999047F2024
3999047F2024,ifo:yj_code,3999047F2024
3999047F2024,ifo:hot_code,126966601
3999047F2024,ifo:resept_code,622696601
,,
3999047F3020,ifo:if_0_8,エベレンゾ錠100mg
3999047F3020,ifo:if_0_9,フィルムコーティング錠
3999047F3020,ifo:if_0_11,1錠中にロキサデュスタット100 mgを含有する。
3999047F3020,ifo:if_0_13,2019-09-20
3999047F3020,ifo:if_0_14,2019-11-19
3999047F3020,ifo:if_0_15,2019-11-20
3999047F3020,ifo:if_10_8,30100AMX00241
3999047F3020,ifo:yakka_code,3999047F3020
3999047F3020,ifo:yj_code,3999047F3020
3999047F3020,ifo:hot_code,126967301
3999047F3020,ifo:resept_code,622696701
