subject,predicate,object
1,rdf:type,bibo:Article
1,dct:creator,日本透析医学会．2015 年版日本透析医学会慢性腎臓病患者における腎性貧血治療のガイドライン．
1,prism:publicationName,日本透析医学会雑誌
1,prism:volume,49
1,prism:number,2
1,prism:startingPage,89
1,prism:endingPage,158
1,dct:issued,2016
1,ifo:internal_reference_id,R-08175
2,rdf:type,bibo:Article
2,dct:creator,東海林隆男
2,prism:publicationName,腎と透析
2,prism:volume,51
2,prism:number,
2,prism:startingPage,153
2,prism:endingPage,158
2,dct:issued,2001
2,ifo:internal_reference_id,R-08171
3,rdf:type,bibo:Article
3,dct:creator,平澤由平 他
3,prism:publicationName,日本透析医学会雑誌
3,prism:volume,36
3,prism:number,
3,prism:startingPage,1265
3,prism:endingPage,1272
3,dct:issued,2003
3,ifo:internal_reference_id,R-08174
4,rdf:type,bibo:Article
4,dct:references,11675424
4,ifo:internal_reference_id,R-08159
5,rdf:type,bibo:Article
5,dct:references,10922306
5,ifo:internal_reference_id,R-08161
6,rdf:type,bibo:Article
6,dct:references,17720528
6,ifo:internal_reference_id,R-08163
7,rdf:type,bibo:Article
7,dct:references,15206425
7,ifo:internal_reference_id,R-08164
8,rdf:type,bibo:Article
8,dct:references,21974695
8,ifo:internal_reference_id,R-08165
9,rdf:type,bibo:Article
9,dct:references,18922988
9,ifo:internal_reference_id,R-08166
10,rdf:type,bibo:Article
10,dct:creator,樋口正人他
10,prism:publicationName,腎と透析
10,prism:volume,51
10,prism:number,
10,prism:startingPage,223
10,prism:endingPage,227
10,dct:issued,2001
10,ifo:internal_reference_id,R-08172
11,rdf:type,bibo:Article
11,dct:creator,土田健司他
11,prism:publicationName,Therapeutic Research
11,prism:volume,33
11,prism:number,
11,prism:startingPage,735
11,prism:endingPage,740
11,dct:issued,2012
11,ifo:internal_reference_id,R-08176
12,rdf:type,bibo:Article
12,dct:creator,古田英美子他
12,prism:publicationName,腎と透析
12,prism:volume,68
12,prism:number,
12,prism:startingPage,1047
12,prism:endingPage,1053
12,dct:issued,2010
12,ifo:internal_reference_id,R-08173
13,rdf:type,厚生労働科学研究費補助金難治性疾患等政策研究事業特発性造血障害に関する調査研究班：赤芽球癆診療の参照ガイド改訂第4版.2015. （http://zoketsushogaihan.com/file/guideline_H26/PRCA_H26.pdf）
13,dct:creator,
13,prism:publicationName,
13,prism:volume,
13,prism:number,
13,prism:startingPage,
13,prism:endingPage,
13,dct:issued,2015
13,ifo:internal_reference_id,
14,rdf:type,bibo:Article
14,dct:references,26656456
14,ifo:internal_reference_id,R-08160
15,rdf:type,bibo:Document
15,rdfs:label,社内報告書：血液透析患者・用量反応探索試験
15,dct:dateAccepted,2019/9/20
15,ifo:internal_reference_id,DIR190005
15,ifo:ctd_number,CTD2.7.6.27
16,rdf:type,bibo:Document
16,rdfs:label,社内報告書：血液透析患者・ESA未治療患者対象試験
16,dct:dateAccepted,2019/9/20
16,ifo:internal_reference_id,DIR190006
16,ifo:ctd_number,CTD2.7.6.33
17,rdf:type,bibo:Document
17,rdfs:label,社内報告書：腹膜透析患者・第Ⅲ相試験
17,dct:dateAccepted,2019/9/20
17,ifo:internal_reference_id,DIR190009
17,ifo:ctd_number,CTD2.7.6.32
18,rdf:type,bibo:Document
18,rdfs:label,社内報告書：血液透析患者・二重盲検比較試験
18,dct:dateAccepted,2019/9/20
18,ifo:internal_reference_id,DIR190007
18,ifo:ctd_number,CTD2.7.6.28
19,rdf:type,bibo:Document
19,rdfs:label,社内報告書：血液透析患者・長期投与試験
19,dct:dateAccepted,2019/9/20
19,ifo:internal_reference_id,DIR190008
19,ifo:ctd_number,CTD2.7.6.34
20,rdf:type,bibo:Document
20,rdfs:label,社内報告書：健康成人・薬物動態試験
20,dct:dateAccepted,2019/9/20
20,ifo:internal_reference_id,DIR190010
20,ifo:ctd_number,CTD2.7.6.4
21,rdf:type,bibo:Document
21,rdfs:label,社内報告書：QT/QTc 評価試験
21,dct:dateAccepted,2019/9/20
