subject,predicate,object
IF_0_3,dct:modified,2020-06
IF_0_3,pav:version,14
IF_0_4,rdf:value,871319
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,"眼科用VEGF※）阻害剤
※）VEGF：vascular endothelial growth factor （血管内皮増殖因子）"
IF_0_8,rdf:value,アフリベルセプト
IF_0_9,,
IF_0_10,rdf:value,生物由来製品 劇薬 処方箋医薬品 注意－医師等の処方箋により使用すること
IF_0_11,,
IF_0_12,rdf:value,アフリベルセプト（遺伝子組換え）(JAN)
IF_0_12,rdf:value,Aflibercept（Genetical Recombination）（JAN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,バイエル薬品株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"バイエル薬品株式会社・コンタクトセンター TEL：0120-106-398
受付時間：9：00～17：30（土・日・祝日・当社休日を除く）
医療関係者向けホームページ ：https://pharma-navi.bayer.jp/
参天製薬株式会社 製品情報センター
TEL 0120-921-839 06-6321-7056
受付時間 9:00～17:00（土・日・祝日を除く）
医療関係者向けホームページ：https://www.santen.co.jp/medical-channel/"
IF_0_19,rdf:value,2020-03
IF_1,,
