subject,predicate,object
https://www.info.pmda.go.jp/go/interview/1/630004_1319405A1027_1_001_IF,ifo:if_id,630004_1319405A1027_1_001_IF
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/630004_1319405A1027_1_12,ifo:pi_id,630004_1319405A1027_1_12
630004_1319405A1027_1_001_IF,ifo:yjcode,"1319405A1027, 1319405G1020"
,,
1319405A1027,ifo:if_0_8,アイリーア®硝子体内注射液 40mg/mL
1319405A1027,ifo:if_0_9,注射剤
1319405A1027,ifo:if_0_11,"1回の投与量（0.05mL）中、アフリベルセプト（遺伝子組換え）※を2mg含有
 1バイアル（0.278mL）中、アフリベルセプト（遺伝子組換え）※を11.12mg含有
 ※：チャイニーズハムスター卵巣細胞を用いて製造される。"
1319405A1027,ifo:if_0_13,2012-09-28
1319405A1027,ifo:if_0_14,2012-11-22
1319405A1027,ifo:if_0_15,2012-11-27
1319405A1027,ifo:if_10_8,22400AMX01389000
1319405A1027,ifo:yakka_code,1319405A1027
1319405A1027,ifo:yj_code,1319405A1027
1319405A1027,ifo:hot_code,121994401
1319405A1027,ifo:resept_code,622199401
,,
1319405G1020,ifo:if_0_8,アイリーア®硝子体内注射用キット40mg/mL
1319405G1020,ifo:if_0_9,注射剤
1319405G1020,ifo:if_0_11,"1回の投与量（0.05mL）中、アフリベルセプト（遺伝子組換え）※を2mg含有
 1シリンジ（0.165mL）中、アフリベルセプト（遺伝子組換え）※を6.6mg含有
 ※：チャイニーズハムスター卵巣細胞を用いて製造される。"
1319405G1020,ifo:if_0_13,2012-09-28
1319405G1020,ifo:if_0_14,2020-05-27
1319405G1020,ifo:if_0_15,2020-06-05
1319405G1020,ifo:if_10_8,22400AMX01390000
1319405G1020,ifo:yakka_code,1319405G1020
1319405G1020,ifo:yj_code,1319405G1020
1319405G1020,ifo:hot_code,199064501
1319405G1020,ifo:resept_code,629906401
