subject,predicate,object
1,rdf:type,bibo:Document
1,dct:references,社内報告書
1,dct:dateAccepted,2012-09-28
1,ifo:internal_reference_id,EYL0525
1,ifo:ctd_number,CTD 2.7.6.10
2,rdf:type,bibo:Document
2,dct:references,社内報告書
2,dct:dateAccepted,2012-09-28
2,ifo:internal_reference_id,EYL0564
2,ifo:ctd_number,CTD 2.7.6.11
3,rdf:type,bibo:Document
3,dct:references,社内報告書
3,dct:dateAccepted,2012-09-28
3,ifo:internal_reference_id,EYL0563
3,ifo:ctd_number,CTD 2.7.6.12
4,rdf:type,bibo:Document
4,dct:references,社内報告書
4,dct:dateAccepted,2013-11-22
4,ifo:internal_reference_id,EYL1207
4,ifo:ctd_number,CTD 2.7.6.2
5,rdf:type,bibo:Document
5,dct:references,社内報告書
5,dct:dateAccepted,2013-11-22
5,ifo:internal_reference_id,EYL1210
5,ifo:ctd_number,CTD 2.7.6.2、CTD 2.7.3.2.5
6,rdf:type,bibo:Document
6,dct:references,社内報告書
6,dct:dateAccepted,2013-11-22
6,ifo:internal_reference_id,EYL1208
6,ifo:ctd_number,CTD 2.7.6.1
7,rdf:type,bibo:Document
7,dct:references,社内報告書
7,dct:dateAccepted,2015-06-26
7,ifo:internal_reference_id,EYL2664
7,ifo:ctd_number,CTD 2.7.6.1
8,rdf:type,bibo:Document
8,dct:references,社内報告書
8,dct:dateAccepted,2014-09-19
8,ifo:internal_reference_id,EYL1935
8,ifo:ctd_number,CTD 2.7.6.1
9,rdf:type,bibo:Document
9,dct:references,社内報告書
9,dct:dateAccepted,2014-11-18
9,ifo:internal_reference_id,EYL2275
9,ifo:ctd_number,CTD 2.7.6.3
10,rdf:type,bibo:Document
10,dct:references,社内報告書
10,dct:dateAccepted,2014-11-18
10,ifo:internal_reference_id,EYL2276
10,ifo:ctd_number,CTD 2.7.6.5
11,rdf:type,bibo:Document
11,dct:references,社内報告書
11,dct:dateAccepted,2014-11-18
11,ifo:internal_reference_id,EYL2279
11,ifo:ctd_number,CTD 2.7.6.5
12,rdf:type,bibo:Document
12,dct:references,社内報告書
12,dct:dateAccepted,2014-11-18
12,ifo:internal_reference_id,EYL2277
12,ifo:ctd_number,CTD 2.7.6.4
13,rdf:type,bibo:Document
13,dct:references,社内報告書
13,dct:dateAccepted,2020-03-25
13,ifo:internal_reference_id,EYL7778
13,ifo:ctd_number,CTD 2.7.6.1
14,rdf:type,bibo:Document
14,dct:references,社内報告書
14,dct:dateAccepted,2020-03-25
14,ifo:internal_reference_id,EYL7777
14,ifo:ctd_number,CTD 2.7.6.2
15,rdf:type,bibo:Document
15,dct:references,社内報告書
15,dct:dateAccepted,2012-09-28
15,ifo:internal_reference_id,EYL0523
15,ifo:ctd_number,CTD 2.7.6.2
16,rdf:type,bibo:Document
16,dct:references,社内報告書
16,dct:dateAccepted,2012-09-28
16,ifo:internal_reference_id,EYL0523
16,ifo:ctd_number,CTD 2.7.6.2
17,rdf:type,bibo:Document
17,dct:references,社内報告書
17,dct:dateAccepted,2012-09-28
17,ifo:internal_reference_id,EYL0523
17,ifo:ctd_number,CTD 2.7.6.2
18,rdf:type,bibo:Document
18,dct:references,社内報告書
18,dct:dateAccepted,2012-09-28
18,ifo:internal_reference_id,EYL0565
18,ifo:ctd_number,CTD 2.7.4.2
19,rdf:type,bibo:Document
19,dct:references,社内報告書
19,dct:dateAccepted,2014-11-18
19,ifo:internal_reference_id,EYL2278
19,ifo:ctd_number,CTD 2.7.4.2
20,rdf:type,bibo:Document
20,dct:references,社内報告書
20,dct:dateAccepted,2014-11-18
20,ifo:internal_reference_id,EYL2280
20,ifo:ctd_number,CTD 2.7.6.6
21,rdf:type,bibo:Article
21,dct:references,18766380
21,ifo:internal_reference_id,EYL0088
22,rdf:type,bibo:Article
22,dct:references,9893348
22,ifo:internal_reference_id,EYL0089
23,rdf:type,bibo:Article
23,dct:references,12150967
23,ifo:internal_reference_id,EYL0090
24,rdf:type,bibo:Article
24,dct:references,19244214
24,ifo:internal_reference_id,EYL0091
25,rdf:type,bibo:Article
25,dct:references,22302382
25,ifo:internal_reference_id,EYL0249
26,rdf:type,bibo:Article
26,dct:references,19694600
26,ifo:internal_reference_id,EYL0016
27,rdf:type,bibo:Document
