subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,dct:identifier,180188_3969010F1026_1_31
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,dct:identifier,180188_3969010F1026_1_027_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3969010F4025, 3969010F1026, 3969010F2022, 3969010F3029"
,,
3969010F4025,ifo:if_0_8,グラクティブ錠12.5mg
3969010F4025,ifo:if_0_9,フィルムコーティング錠
3969010F4025,ifo:if_0_11,"1錠中 シタグリプチンとして12.5mg含有"
3969010F4025,ifo:if_0_13,2009-09-02
3969010F4025,ifo:if_0_14,2013-11-29
3969010F4025,ifo:if_0_15,2013-11-29
3969010F4025,ifo:if_10_8,22500AMX01784000
3969010F4025,ifo:yakka_code,3969010F4025
3969010F4025,ifo:yj_code,3969010F4025
3969010F4025,ifo:hot_code,122884701
3969010F4025,ifo:resept_code,622288401
,,
3969010F1026,ifo:if_0_8,グラクティブ錠25mg
3969010F1026,ifo:if_0_9,フィルムコーティング錠
3969010F1026,ifo:if_0_11,"1 錠中 シタグリプチンとして25mg含有"
3969010F1026,ifo:if_0_13,2009-10-16
3969010F1026,ifo:if_0_14,2009-12-11
3969010F1026,ifo:if_0_15,2009-12-11
3969010F1026,ifo:if_10_8,22100AMX02261000
3969010F1026,ifo:yakka_code,3969010F1026
3969010F1026,ifo:yj_code,3969010F1026
3969010F1026,ifo:hot_code,119706801
3969010F1026,ifo:resept_code,621970601
,,
3969010F2022,ifo:if_0_8,"グラクティブ錠 50mg"
3969010F2022,ifo:if_0_9,フィルムコーティング錠
3969010F2022,ifo:if_0_11,"1 錠中 シタグリプチンとして50mg含有"
3969010F2022,ifo:if_0_13,2009-10-16
3969010F2022,ifo:if_0_14,2009-12-11
3969010F2022,ifo:if_0_15,2009-12-11
3969010F2022,ifo:if_10_8,22100AMX02260000
3969010F2022,ifo:yakka_code,3969010F2022
3969010F2022,ifo:yj_code,3969010F2022
3969010F2022,ifo:hot_code,119707501
3969010F2022,ifo:resept_code,621970701
,,
3969010F3029,ifo:if_0_8,グラクティブ錠100mg
3969010F3029,ifo:if_0_9,フィルムコーティング錠
3969010F3029,ifo:if_0_11,"1 錠中 シタグリプチンとして100mg含有"
3969010F3029,ifo:if_0_13,2009-10-16
3969010F3029,ifo:if_0_14,2009-12-11
3969010F3029,ifo:if_0_15,2009-12-11
3969010F3029,ifo:if_10_8,22100AMX02262000
3969010F3029,ifo:yakka_code,3969010F3029
3969010F3029,ifo:yj_code,3969010F3029
3969010F3029,ifo:hot_code,119708201
3969010F3029,ifo:resept_code,621970801
