subject,predicate,object
1,rdf:type,bibo:Book
1,dct:creator,
1,bibo:editor,
1,dct:publisher,"International Diabetes Federation"
1,prism:publicationName,"Diabetes Atlas Third Edition"
1,prism:startingPage,
1,prism:endingPage,
1,dct:issued,2006
1,ifo:internal_reference_id,
2,rdf:type,bibo:Book
2,dct:creator,
2,bibo:editor,
2,dct:publisher,厚生労働省
2,prism:publicationName,"平成19 年国民健康・栄養調査結果の概要"
2,prism:startingPage,
2,prism:endingPage,
2,dct:issued,
2,ifo:internal_reference_id,
3,rdf:type,bibo:Article
3,dct:references,11889194
3,ifo:internal_reference_id,
4,rdf:type,bibo:Article
4,dct:references,15759282
4,ifo:internal_reference_id,
5,rdf:type,bibo:Article
5,dct:references,9792533
5,ifo:internal_reference_id,
6,rdf:type,bibo:Article
6,dct:references,14968296
6,ifo:internal_reference_id,
7,rdf:type,bibo:Article
7,dct:references,14514604
7,ifo:internal_reference_id,
8,rdf:type,bibo:Document
8,rdfs:label,小野薬品工業：原薬
8,dct:dateAccepted,
8,ifo:internal_reference_id,
8,ifo:ctd_number,
9,rdf:type,bibo:Document
9,rdfs:label,小野薬品工業：製剤
9,dct:dateAccepted,
9,ifo:internal_reference_id,
9,ifo:ctd_number,
10,rdf:type,bibo:Article
10,dct:references,21284702
10,ifo:internal_reference_id,
11,rdf:type,bibo:Article
11,dct:creator,片山泰之ほか
11,prism:publicationName,新薬と臨床
11,prism:volume,60
11,prism:number,6
11,prism:startingPage,1139
11,prism:endingPage,1152
11,dct:issued,2011
11,ifo:internal_reference_id,
12,rdf:type,bibo:Document
12,rdfs:label,小野薬品工業：第Ⅰ相反復経口投与試験
12,dct:dateAccepted,2009-10-16
12,ifo:internal_reference_id,
12,ifo:ctd_number,"CTD 2.7.6.6, 2.7.6.7"
13,rdf:type,bibo:Article
13,dct:references,17933414
13,ifo:internal_reference_id,
14,rdf:type,bibo:Document
14,rdfs:label,小野薬品工業：前期第Ⅱ相試験
14,dct:dateAccepted,2009-10-16
14,ifo:internal_reference_id,
14,ifo:ctd_number,"CTD 2.7.6.29"
15,rdf:type,bibo:Article
15,dct:references,19253204
15,ifo:internal_reference_id,
16,rdf:type,bibo:Document
16,rdfs:label,小野薬品工業：第Ⅱ相臨床試験―血糖降下作用の検討―
16,dct:dateAccepted,2009-10-16
16,ifo:internal_reference_id,
16,ifo:ctd_number,CTD2.7.6.31
17,rdf:type,bibo:Article
17,dct:references,20332588
17,ifo:internal_reference_id,
18,rdf:type,bibo:Document
18,rdfs:label,小野薬品工業：後期第Ⅱ相臨床試験―用量反応試験―
18,dct:dateAccepted,2009-10-16
18,ifo:internal_reference_id,
18,ifo:ctd_number,"CTD 2.7.6.30"
19,rdf:type,bibo:Article
19,dct:references,20590736
19,ifo:internal_reference_id,
20,rdf:type,bibo:Document
20,rdfs:label,小野薬品工業：第Ⅲ相臨床試験―ボグリボースとの比較試験―
