subject,predicate,object
IF_0_3,dct:modified,2019-10
IF_0_3,pav:version,5
IF_0_4,rdf:value,876349
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗血液凝固第IXa/X因子ヒト化二重特異性モノクローナル抗体血液凝固第VIII因子機能代替製剤
IF_0_8,rdf:value,エミシズマブ（遺伝子組換え）注
IF_0_9,,
IF_0_10,rdf:value,生物由来製品、処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,エミシズマブ（遺伝子組換え）（JAN）
IF_0_12,rdf:value,Emicizumab（Genetical Recombination）（JAN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,中外製薬株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"中外製薬株式会社 メディカルインフォメーション部
TEL：0120-189706 FAX：0120-189705
医療関係者向けホームページ
https://www.chugai-pharm.co.jp/"
IF_0_19,rdf:value,2019-10
IF_1,,
IF_1_1,rdf:value,"ヘムライブラ皮下注［一般名：エミシズマブ（遺伝子組換え）］は、中外製薬株式会社の抗体改変技術を用いて創製された、活性型血液凝固第IX因子（FIXa）と血液凝固第X因子（FX）に対する遺伝子組換えヒト化二重特異性モノクローナル抗体（バイスペシフィック抗体）である。
通常の免疫グロブリンG（IgG）型抗体医薬品は、2つの可変領域が同一であるため、1種類の抗原を認識する。一方、IgG型のバイスペシフィック抗体医薬品は、異なる2つの可変領域を有し、2種類の抗原に結合する特性を有する。通常のIgG型の抗体医薬品に比し、分子の構造が複雑なことから製造上の課題があったが、中外製薬は、独自の技術を用い、遺伝子組換え型としては世界で初めてIgG型のバイスペシフィック抗体医薬品の製品化に至った。
中外製薬では、抗体医薬品を創製して血友病A治療へ応用することを検討してきた。一般に、抗体医薬品は血中滞留性が高く、長時間作用が持続することが期待でき、また高い皮下吸収性から皮下注射が可能となる。さらに血液凝固第VIII因子（FVIII）とは異なる構造をもつことから、FVIIIのインヒビターを誘導せず、FVIIIのインヒビターを保有する場合にも作用すると考えられた。
FVIIIの補因子機能をIgG型のバイスペシフィック抗体で代替できないかと考え、創製されたのがヘムライブラである。ヘムライブラは、2種類の異なる抗原と結合できる特性を生かして、FIXaとFXを精緻に近づけることで、FXを活性化し、FVIIIの補因子機能を代替する。
2012年より国内第Ⅰ相臨床試験を開始し、その継続試験として2013年より国内第Ⅰ/Ⅱ相臨床試験を実施した。また、2014年よりF.ホフマン・ラ・ロシュ社との共同開発を進め、2015年より12歳以上のインヒビター保有血友病A患者を対象とした国際共同第Ⅲ相臨床試験［HAVEN1（BH29884）試験］、次いで2016年より12歳未満のインヒビター保有血友病Aの小児患者を対象とした国際共同第Ⅲ相臨床試験［HAVEN2（BH29992）試験］を実施した。これらの試験成績から、厚生労働省より希少疾病用医薬品に指定され、2018年3月に「血液凝固第VIII因子に対するインヒビターを保有する先天性血液凝固第VIII因子欠乏患者における出血傾向の抑制」の効能又は効果で承認された。
また、2016年より12歳以上のインヒビター非保有血友病A患者を対象とした国際共同第Ⅲ相臨床試験［HAVEN3（BH30071）試験］、2017年より12歳以上のインヒビター保有/非保有血友病A患者を対象とした国際共同第Ⅲ相臨床試験［HAVEN4（BO39182）試験］を実施し、2018年12月に血液凝固第VIII因子に対するインヒビターを保有しない血友病Aの追加承認に伴う効能又は効果の変更並びに2週または4週に1回投与の用法及び用量の追加承認を取得した。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"１．国内で創製されたバイスペシフィック抗体である。
FIXaとFXの双方に結合することで、FVIIIの補因子機能を代替し、その下流の血液凝固反応を促進すると考えられる。
「Ⅵ－２（１）作用部位・作用機序」参照
２．週1回を4回皮下投与後は、週1回・2週に1回・4週に1回の3種類の投与間隔から選択が可能である。
３．FVIIIとは異なる構造のため、FVIIIに対するインヒビターの発現を誘導しないと考えられる1)。
４．FVIIIに対するインヒビターの有無にかかわらず、有効性が確認され承認された。
「Ⅴ－５（７）－１）インヒビター保有血友病Aの成人/青年患者を対象とした国際共同第Ⅲ相臨床試験（BH29884試験）」及び「Ⅴ－５（４）－１）①インヒビター保有血友病Aの成人/青年患者を対象とした国際共同第Ⅲ相臨床試験（BH29884試験）」、「Ⅴ－５（７）－２）インヒビター保有血友病Aの小児患者を対象とした国際共同第Ⅲ相臨床試験（BH29992試験）」及び「Ⅴ－５（５）インヒビター保有血友病Aの小児患者を対象とした国際共同第Ⅲ相臨床試験（BH29992試験）」、「Ⅴ－５（７）－３）インヒビター非保有重症血友病Aの成人/青年患者を対象とした国際共同第Ⅲ相臨床試験（BH30071試験）」及び「Ⅴ－５（４）－１）②インヒビター非保有重症血友病Aの成人/青年患者を対象とした国際共同第Ⅲ相臨床試験（BH30071試験）」、「Ⅴ－５（７）－４）血友病Aの成人/青年患者を対象とした国際共同第Ⅲ相臨床試験（BO39182試験）」及び「Ⅴ－５（４）－２）血友病Aの成人/青年患者を対象とした国際共同第Ⅲ相臨床試験（BO39182試験）」参照
５．副作用（臨床検査値の異常を含む）は、以下の通りである。
血友病A患者を対象とした国内第Ⅰ/Ⅱ相臨床試験及び国際共同第Ⅲ相臨床試験において、安全性評価の対象となった391例中113例（28.9%）に副作用が認められた。主な副作用は注射部位反応84例（21.5%）であった。（効能又は効果、用法及び用量追加時）
重大な副作用として血栓塞栓症、血栓性微小血管症が報告されている。
※承認された効能又は効果は、先天性血液凝固第VIII因子欠乏患者における出血傾向の抑制、用法及び用量は、1回3mg/kg（体重）を1週間の間隔で4回皮下投与し、以降は1回1.5mg/kg（体重）を1週間の間隔、1回3mg/kg（体重）を2週間の間隔又は1回6mg/kg（体重）を4週間の間隔で皮下投与する、である。"
IF_1_2,rdfs:seeAlso,
,,1
IF_1_3,rdf:value,特になし
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,有
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,"医薬品リスク管理計画を策定の上、適切に実施すること。
〈血液凝固第VIII因子に対するインヒビターを保有する先天性血液凝固第VIII因子欠乏患者における出血傾向の抑制〉
日本人での投与経験が極めて限られていることから、製造販売後、一定数の症例に係るデータが集積されるまでの間は、全症例を対象に使用成績調査を実施することにより、本剤の使用患者の背景情報を把握するとともに、本剤の安全性及び有効性に関するデータを早期に収集し、本剤の適正使用に必要な措置を講じること。"
IF_1_5_1,rdfs:seeAlso,
IF_1_5_2,rdf:value,本剤の適正使用を確保するため、追加のリスク最小化活動である使用条件の設定を行い、本剤使用前に医療機関及び医師要件の確認及び本剤に関する情報提供がなされている場合のみ納品可能とする流通管理を実施している（「Ⅷ－１．警告内容とその理由」参照）。
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,"〈医薬品リスク管理計画について〉
本剤の「医薬品リスク管理計画」は下記 URL に公表されている。 医薬品医療機器総合機構ホームページ 「医薬品リスク管理計画(RMP:RiskManagementPlan)/ RMP提出品目一覧」
http://www.pmda.go.jp/safety/info-services/drugs/items-information/rmp/0001.html"
IF_1_6,rdfs:seeAlso,https://www.pmda.go.jp/RMP/www/450045/630fbbaa-221a-435e-8d77-2743a8572d82/450045_6343451A1025_004RMP.pdf
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,"ヘムライブラ®皮下注 30mg, ヘムライブラ®皮下注 60mg, ヘムライブラ®皮下注 90mg, ヘムライブラ®皮下注 105mg, ヘムライブラ®皮下注 150mg"
IF_2_1_2,rdf:value,"HEMLIBRA® for Subcutaneous Injection 30mg, HEMLIBRA® for Subcutaneous Injection 60mg HEMLIBRA® for Subcutaneous Injection 90mg  HEMLIBRA® for Subcutaneous Injection 105mg, HEMLIBRA® for Subcutaneous Injection 150mg"
IF_2_1_3,rdf:value,HEMophilia＋LIBRA（バランスを意味する）/LIBerty（解放）に由来する。
IF_2_2,,
IF_2_2_1,rdf:value,エミシズマブ（遺伝子組換え）（JAN）
IF_2_2_2,rdf:value,"Emicizumab（Genetical Recombination）（JAN）, emicizumab（r-INN）"
IF_2_2_3,rdf:value,ヒト化モノクローナル抗体：-zumab
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式：C6434H9940N1724O2047S45分子量：約148,000"
IF_2_5,rdf:value,エミシズマブは、遺伝子組換えヒト化二重特異性モノクローナル抗体であり、ラット抗ヒト活性型血液凝固第IX因子（FIXa）抗体及びマウス抗ヒト血液凝固第X因子（FX）抗体の相補性決定部、ヒトフレームワーク部及びヒトIgG4の定常部からなる。抗FIXa-H鎖の202、231、299、359、412、438と448番目のアミノ酸残基はそれぞれGln、Pro、Tyr、Lys、Lys、ArgとProに置換され、C末端のGlyとLysは除去されている。また、抗FX-H鎖の198、227、295、408、438と444番目のアミノ酸残基はそれぞれGln、Pro、Tyr、Lys、GluとProに置換されており、C末端のGlyとLysは除去されている。エミシズマブは、チャイニーズハムスター卵巣細胞により産生される。C6434H9940N1724O2047S45（タンパク質部分、4本鎖）抗 FX-H 鎖：C2164H3334N572O690S18抗 FIXa-H 鎖：C2204H3386N588O679S15L 鎖：C1033H1614N282O339S6
IF_2_6,rdf:value,"ACE910
RO5534262
CH5534262
hBS-910
RG-6013"
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,無色~微黄色の液
IF_3_1_2,rdf:value,
IF_3_1_3,rdf:value,該当しない
IF_3_1_4,rdf:value,該当しない
IF_3_1_5,rdf:value,該当しない
IF_3_1_6,rdf:value,
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,pH：5.5～6.5
IF_3_2,rdf:value,
IF_3_3,rdf:value,"確認試験法：ペプチドマップ法；液体クロマトグラフィー
定量法：タンパク質含量；紫外可視吸光度測定法
力価；クロモジェニックアッセイ（比色法）"
IF_4,,
IF_4_1,,
IF_4_1_1,rdf:value,注射剤（バイアル）
IF_4_1_2,rdf:value,
IF_4_1_3,rdf:value,該当しない
IF_4_1_4,rdf:value,
IF_4_1_5,rdf:value,注射剤の容器中の特殊な気体の有無：無し
IF_4_1_5,rdfs:seeAlso,
IF_4_2,,
IF_4_2_1,rdf:value,
IF_4_2_2,rdf:value,該当しない
IF_4_2_3,rdf:value,該当資料なし
IF_4_3,rdf:value,該当しない
IF_4_4,rdf:value,該当しない
IF_4_5,rdf:value,低分子量変化体、高分子量変化体等
IF_4_6,rdf:value,
IF_4_7,rdf:value,該当しない
IF_4_7,rdfs:seeAlso,
IF_4_8,rdf:value,該当資料なし
IF_4_9,rdf:value,該当しない
IF_4_9,dct:references,
IF_4_10,,
IF_4_10_1,rdf:value,該当しない
IF_4_10_2,rdf:value,"〈ヘムライブラ皮下注30mg〉 1.0mL×1バイアル
〈ヘムライブラ皮下注60mg〉 0.4mL×1バイアル
〈ヘムライブラ皮下注90mg〉 0.6mL×1バイアル
〈ヘムライブラ皮下注105mg〉 0.7mL×1バイアル
〈ヘムライブラ皮下注150mg〉 1.0mL×1バイアル"
IF_4_10_3,rdf:value,該当しない
IF_4_10_4,rdf:value,ガラスバイアル及びブチルゴム栓
IF_4_11,rdf:value,皮下投与セット ヘムライブラ皮下注専用
IF_4_12,rdf:value,
IF_4_12,dct:references,
IF_5,,
IF_5_1,rdf:value,先天性血液凝固第VIII因子欠乏患者における出血傾向の抑制
IF_5_2,rdf:value,
IF_5_2,ifo:item,item1
item1,rdf:value,本剤は、血液凝固第VIII因子に対するインヒビターの有無によらず有効性が確認されている。［17.1.1－17.1.4参照］
item1,dct:references,
item2,rdf:value,
,,
item3,rdf:value,
item4,rdf:value,
item5,rdf:value,
item6,rdf:value,
item7,rdf:value,
item8,rdf:value,
item9,rdf:value,
item10,rdf:value,
item11,rdf:value,
IF_5_3,,
IF_5_3_1,rdf:value,"通常、エミシズマブ（遺伝子組換え）として1回3mg/kg（体重）を1週間の間隔で4回皮下投与し、以降は以下のいずれかの用法・用量で皮下投与する。
・1回1.5 mg/kg（体重）を1週間の間隔
・1回3 mg/kg（体重）を2週間の間隔
・1回6 mg/kg（体重）を4週間の間隔"
