subject,predicate,object
https://www.info.pmda.go.jp/go/interview/1/450045_6343451A1025_1_005_1F,ifo:if_id,450045_6343451A1025_1_005_1F
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/450045_6343451A1025_1_05,ifo:pi_id,450045_6343451A1025_1_05
450045_6343451A1025_1_005_1F,ifo:yjcode,"6343451A1025, 6343451A2021, 6343451A3028, 6343451A4024, 6343451A5020"
,,
6343451A1025,ifo:if_0_8,ヘムライブラ皮下注 30mg
6343451A1025,ifo:if_0_9,注射剤（バイアル）
6343451A1025,ifo:if_0_11,エミシズマブ（遺伝子組換え） 30mg / 1.0mL
6343451A1025,ifo:if_0_13,2018-03-23
6343451A1025,ifo:if_0_14,2018-05-22
6343451A1025,ifo:if_0_15,2018-05-22
6343451A1025,ifo:if_10_8,23000AMX00451
6343451A1025,ifo:yakka_code,6343451A1025
6343451A1025,ifo:yj_code,6343451A1025
6343451A1025,ifo:hot_code,126082301
6343451A1025,ifo:resept_code,622608201
,,
6343451A2021,ifo:if_0_8,ヘムライブラ皮下注 60mg
6343451A2021,ifo:if_0_9,注射剤（バイアル）
6343451A2021,ifo:if_0_11,エミシズマブ（遺伝子組換え） 60mg / 0.4mL
6343451A2021,ifo:if_0_13,2018-03-23
6343451A2021,ifo:if_0_14,2018-05-22
6343451A2021,ifo:if_0_15,2018-05-22
6343451A2021,ifo:if_10_8,23000AMX00447
6343451A2021,ifo:yakka_code,6343451A2021
6343451A2021,ifo:yj_code,6343451A2021
6343451A2021,ifo:hot_code,126083001
6343451A2021,ifo:resept_code,622608301
,,
6343451A3028,ifo:if_0_8,ヘムライブラ皮下注 90mg
6343451A3028,ifo:if_0_9,注射剤（バイアル）
6343451A3028,ifo:if_0_11,エミシズマブ（遺伝子組換え） 90mg / 0.6mL
6343451A3028,ifo:if_0_13,2018-03-23
6343451A3028,ifo:if_0_14,2018-05-22
6343451A3028,ifo:if_0_15,2018-05-22
6343451A3028,ifo:if_10_8,23000AMX00448
6343451A3028,ifo:yakka_code,6343451A3028
6343451A3028,ifo:yj_code,6343451A3028
6343451A3028,ifo:hot_code,126084701
6343451A3028,ifo:resept_code,622608401
,,
6343451A4024,ifo:if_0_8,ヘムライブラ皮下注 105mg
6343451A4024,ifo:if_0_9,注射剤（バイアル）
6343451A4024,ifo:if_0_11,エミシズマブ（遺伝子組換え） 105mg / 0.7mL
6343451A4024,ifo:if_0_13,2018-03-23
6343451A4024,ifo:if_0_14,2018-05-22
6343451A4024,ifo:if_0_15,2018-05-22
6343451A4024,ifo:if_10_8,23000AMX00449
6343451A4024,ifo:yakka_code,6343451A4024
6343451A4024,ifo:yj_code,6343451A4024
6343451A4024,ifo:hot_code,126085401
6343451A4024,ifo:resept_code,622608501
,,
6343451A5020,ifo:if_0_8,ヘムライブラ皮下注 150mg
6343451A5020,ifo:if_0_9,注射剤（バイアル）
6343451A5020,ifo:if_0_11,エミシズマブ（遺伝子組換え） 150mg / 1.0mL
6343451A5020,ifo:if_0_13,2018-03-23
6343451A5020,ifo:if_0_14,2018-05-22
6343451A5020,ifo:if_0_15,2018-05-22
6343451A5020,ifo:if_10_8,23000AMX00450
6343451A5020,ifo:yakka_code,6343451A5020
6343451A5020,ifo:yj_code,6343451A5020
6343451A5020,ifo:hot_code,126086101
6343451A5020,ifo:resept_code,622608601
