subject,predicate,object
IF_0_3,dct:modified,2020-06
IF_0_3,pav:version,9
IF_0_4,rdf:value,873969
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,選択的DPP-4阻害薬／ビグアナイド系薬配合剤
IF_0_8,rdf:value,アログリプチン安息香酸塩
IF_0_9,,
IF_0_10,rdf:value,"劇薬
処方箋医薬品（注意―医師等の処方箋により使用すること）"
IF_0_11,,
IF_0_12,rdf:value,"アログリプチン安息香酸塩（JAN）, メトホルミン塩酸塩（JAN）"
IF_0_12,rdf:value,"Alogliptin Benzoate（JAN）, Metformin Hydrochloride（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,武田薬品工業株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"武田薬品工業株式会社　くすり相談室
フリーダイヤル　0120-566-587
受付時間　9：00 ～ 17：30（土日祝日･弊社休業日を除く）
医療関係者向けホームページ　https: //www.takedamed.com/"
IF_0_19,rdf:value,2020-02
IF_1,,
IF_1_1,rdf:value,"本剤は、ジペプチジルペプチダーゼ-4（DPP-4）阻害薬であるアログリプチン安息香酸塩とビグア
ナイド系薬であるメトホルミン塩酸塩との配合剤である。
アログリプチン安息香酸塩はTakeda San Diego, Inc（現 武田カリフォルニア株式会社）が創薬した
DPP-4阻害薬であり、グルカゴン様ペプチド-1（GLP-1）の分解を抑制して、糖濃度依存的にイン
スリン分泌を促進することにより血糖降下作用を示す。一方、メトホルミン塩酸塩は、肝臓からの
グルコース放出を抑制し、また筋肉を中心とした末梢組織でのグルコースの利用を促進するととも
に脂肪組織へのグルコースの取込みを増加させ、インスリン感受性を高める。さらに腸管における
糖質吸収抑制作用も有し、これらの作用によって血糖降下作用を示す。
アログリプチン安息香酸塩錠（ネシーナⓇ錠）は2010年4月に、食事療法・運動療法のみ、あるいは
食事療法・運動療法に加えてα-グルコシダーゼ阻害薬を使用し効果不十分な2型糖尿病に対する有
効性が確認され、製造販売承認を取得している。その後、食事療法・運動療法に加えてチアゾリジ
ン薬（2010年8月承認）、スルホニルウレア薬（2011年2月承認）又はビグアナイド薬（2011年2月承
認）を使用し効果不十分な2型糖尿病に対して効能又は効果が追加され、さらに、食事療法・運動療
法に加えて速効型インスリン分泌促進薬、インスリン製剤を使用し効果不十分な2型糖尿病に対す
る有効性及び安全性が確認されたことから、2014年5月に「2型糖尿病」の効能又は効果を取得した。
アログリプチン安息香酸塩及びメトホルミン塩酸塩は、2型糖尿病患者のインスリン分泌不全及び
インスリン抵抗性を改善する治療薬として幅広く使用されている。
本剤は、アログリプチン安息香酸塩とメトホルミン塩酸塩を配合錠にすることによって、各単剤によ
る併用療法から服用回数及び薬剤の錠数を減少させ、アドヒアランスを向上させること、並びに長
期にわたる血糖コントロールの達成を目的として開発され、2016年9月に製造販売承認を取得した。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"（1） イニシンク配合錠は、1 日1 回1 錠のDPP-4 阻害薬とビグアナイド薬の配合剤である。
―アログリプチンとして25mg（アログリプチン安息香酸塩として34mg）とメトホルミン塩酸塩500mgの
配合剤である―
（2） イニシンク配合錠は、各単剤による併用療法と比べ、服薬回数及び服薬錠数を軽減できる。
（3） アログリプチン又はメトホルミン塩酸塩を単独投与しても効果不十分な症例※に対し、両薬剤を
併用することで、良好な血糖コントロールを示した。
（アログリプチン25mg効果不十分例へのメトホルミン塩酸塩500mg併用投与試験）
（メトホルミン効果不十分例へのアログリプチン25mg 併用投与試験）
（「Ⅵ.5（. 4）検証的試験」の項参照）
（4） 副作用
承認時までに行われた国内臨床試験でアログリプチン25mg及びメトホルミン塩酸塩500mgを1
日1回併用投与された例において152例中4例（2.6%）に副作用が認められた。ただし、2型糖尿
病患者に本配合剤を投与した試験は実施していない。
なお、上記の試験あるいはアログリプチン、メトホルミンの各薬剤で認められている重大な副
作用として、乳酸アシドーシス、低血糖、急性膵炎、肝機能障害、黄疸、皮膚粘膜眼症候群
（Stevens-Johnson 症候群）、多形紅斑、横紋筋融解症、腸閉塞、間質性肺炎、類天疱瘡がある。
（「Ⅷ .8.副作用」の項参照）
※ただし、アログリプチン安息香酸塩及びメトホルミン塩酸塩の併用による治療が適切と判断される場合に限る。"
IF_1_2,rdfs:seeAlso,"IF_6_5_4, IF_8_8"
IF_1_3,rdf:value,該当しない
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,"医薬品リスク管理計画を策定の上、適切に実施すること。（「Ⅰ.6.RMP の概要」の項参照）"
IF_1_5_1,rdfs:seeAlso,IF_1_6
