subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,400256_3969105F1023_1_09
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,400256_3969105F1023_1_007_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,3969105F1023
,,
3969105F1023,ifo:if_0_8,イニシンク配合錠
3969105F1023,ifo:if_0_9,フィルムコーティング錠
3969105F1023,ifo:if_0_11,"1 錠中アログリプチンとして25mg 及びメトホルミン塩酸塩500mg 含有"
3969105F1023,ifo:if_0_13,2016-09-28
3969105F1023,ifo:if_0_14,2016-11-18
3969105F1023,ifo:if_0_15,2016-11-29
3969105F1023,ifo:if_10_8,22800AMX00681
3969105F1023,ifo:yakka_code,3969105F1023
3969105F1023,ifo:yj_code,3969105F1023
3969105F1023,ifo:hot_code,125171501
3969105F1023,ifo:resept_code,622517101
