subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,"アログリプチン/ メトホルミン配合剤の薬物動態試験成績①"
1,dct:dateAccepted,2016-09-28
1,ifo:internal_reference_id,
1,ifo:ctd_number,CTD2.7.6.2
2,rdf:type,bibo:Document
2,rdfs:label,"アログリプチン/ メトホルミン配合剤の薬物動態試験成績②"
2,dct:dateAccepted,2016-09-28
2,ifo:internal_reference_id,
2,ifo:ctd_number,CTD2.7.6.1
3,rdf:type,bibo:Document
3,rdfs:label,"アログリプチン/ メトホルミン配合剤の臨床試験成績①"
3,dct:dateAccepted,2016-09-28
3,ifo:internal_reference_id,
3,ifo:ctd_number,CTD2.7.6.5
4,rdf:type,bibo:Article
4,dct:references,22583697
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,"アログリプチン/ メトホルミン配合剤の臨床試験成績③"
5,dct:dateAccepted,2016-09-28
5,ifo:internal_reference_id,
5,ifo:ctd_number,CTD2.7.6.4
6,rdf:type,bibo:Document
6,rdfs:label,"アログリプチン/ メトホルミン配合剤の臨床試験成績②"
6,dct:dateAccepted,2016-09-28
6,ifo:internal_reference_id,
6,ifo:ctd_number,CTD2.7.6.6
7,rdf:type,bibo:Document
7,rdfs:label,アログリプチンの耐糖能改善作用に関する検討①
7,dct:dateAccepted,2010-04-16
7,ifo:internal_reference_id,
7,ifo:ctd_number,CTD2.4.2
8,rdf:type,bibo:Document
8,rdfs:label,アログリプチンの耐糖能改善作用に関する検討②
8,dct:dateAccepted,2010-04-16
8,ifo:internal_reference_id,
8,ifo:ctd_number,CTD2.6.2
9,rdf:type,bibo:Article
9,dct:references,18499100
9,ifo:internal_reference_id,
10,rdf:type,bibo:Article
10,dct:references,8726592
10,ifo:internal_reference_id,
11,rdf:type,bibo:Document
11,rdfs:label,アログリプチンの酵素阻害活性に関する検討
11,dct:dateAccepted,2010-04-16
11,ifo:internal_reference_id,
11,ifo:ctd_number,CTD2.6.2.1
12,rdf:type,bibo:Article
12,dct:references,18538760
12,ifo:internal_reference_id,
13,rdf:type,bibo:Document
