subject,predicate,object
IF_0_3,dct:modified,2020-12
IF_0_3,pav:version,28
IF_0_4,rdf:value,873969
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,選択的DPP-4阻害剤
IF_0_8,rdf:value,日本薬局方　シタグリプチンリン酸塩錠
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品：注意－医師等の処方箋により使用すること
IF_0_11,,
IF_0_12,rdf:value,シタグリプチンリン酸塩水和物（日局、JAN）
IF_0_12,rdf:value,"Sitagliptin Phosphate Hydrate（日局、JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：MSD株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"MSD カスタマーサポートセンター
医療関係者の方：フリーダイヤル 0120-024-961
＜受付時間＞ 9:00～17:30（土日祝日・当社休日を除く）
医療関係者向けホームページ https://www.msdconnect.jp/"
IF_0_19,rdf:value,2020-03
IF_1,,
IF_1_1,rdf:value,"ジャヌビア®錠（シタグリプチンリン酸塩水和物：以下、シタグリプチン）はMerck Sharp & Dohme
Corp., a subsidiary of Merck & Co., Inc., Whitehouse Station, N.J., U.S.A.により創製されたジペプチジル
ペプチダーゼ-4（DPP-4）阻害薬で、新しい作用機序の経口糖尿病治療薬です。
ジャヌビア®錠は、食後に消化管から分泌されるインクレチンの血糖降下作用に着目した薬剤です。
インクレチンは食後に消化管から分泌され、血糖依存的にインスリン分泌促進及びグルカゴン分泌
抑制に働き血糖を調節します。ジャヌビア®錠は、1 日1 回投与でインクレチンの分解酵素である
DPP-4 を阻害する経口血糖降下薬として開発されました。
本剤は、2006 年8 月に世界初のDPP-4 阻害薬としてメキシコで承認され、その後2006 年10 月には
米国で承認されました。2018 年6 月現在、米国、欧州、アジアの各国を含む134 の国・地域で承認
されています。
本邦においては、2003 年から万有製薬株式会社（現 MSD 株式会社）により臨床試験が開始されま
した。第Ⅲ相臨床試験より万有製薬株式会社（現 MSD 株式会社）及び小野薬品工業株式会社の共
同で試験が実施され2008 年に臨床試験が終了しました。ジャヌビア®錠を投与した合計1,190 例の2
型糖尿病患者を評価した結果、本剤の有効性、安全性及び忍容性が確認されました。2009 年10 月
に食事療法、運動療法のみで十分な効果が得られない場合、及び食事療法、運動療法に加えて他の
経口血糖降下剤（スルホニルウレア剤、チアゾリジン系薬剤、ビグアナイド系薬剤）を使用して十
分な効果が得られない場合に限る2 型糖尿病を効能・効果として製造販売承認を取得しました。
また、2011 年5 月に「食事療法、運動療法に加えてα-グルコシダーゼ阻害剤を使用して十分な効果
が得られない2 型糖尿病患者」、2011 年9 月に「食事療法、運動療法に加えてインスリン製剤を使
用して十分な効果が得られない2 型糖尿病患者」の効能・効果が追加されました。その後、「食事
療法、運動療法に加えて速効型インスリン分泌促進薬を使用して十分な効果が得られない2 型糖尿
病患者」に対する本剤の有効性及び安全性が確認されたことから、『経口血糖降下薬の臨床評価方
法に関するガイドラインについて』（平成22 年7 月9 日付薬食審査発0709 第1 号）に基づき、2014
年5 月に「2 型糖尿病」として効能・効果が承認されました。
なお、シタグリプチンとして12.5mg 1 日1 回が投与可能な「ジャヌビア®錠25mg」（割線入り）が
2013 年6 月に、「ジャヌビア®錠12.5mg」が2013 年9 月に承認されたことから、重度腎機能障害の
ある患者、血液透析又は腹膜透析を要する末期腎不全患者に対しても投与可能となっています。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"1) 高選択的にDPP-4 を阻害し、DPP-8、DPP-9 などに対する親和性は極めて低い。
2) DPP-4 阻害活性は24 時間持続し、1 日1 回投与で良好な血糖降下作用が得られる。
3) 単独療法で、プラセボと比較して約1.0％のHbA1c 値低下作用が認められた。
4) 食事療法、運動療法に加えて他の経口血糖降下剤（グリメピリド、ピオグリタゾン、メトホルミ
ン、ボグリボース、速効型インスリン分泌促進薬）及びインスリン製剤を使用して十分な効果が
得られない2 型糖尿病患者において、併用療法によりHbA1c 値を有意に低下させ、血糖コントロ
ールを改善した。
5) 国内で実施された臨床試験において、1,734 例中195 例（11.2％）の副作用が認められた。主なも
のは、低血糖73 例（4.2％）、便秘19 例（1.1％）、空腹9 例（0.5％）、腹部膨満9 例（0.5％）
等であった。関連の否定できない臨床検査値の異常変動は1,732 例中64 例（3.7％）に認められ、
主なものはALT 増加20 例/1,732 例（1.2％）、AST 増加12 例/1,732 例（0.7％）、γ-GTP 増加12
例/1,732 例（0.7％）等であった。（承認時）
「Ⅴ．治療に関する項目 5．臨床成績」各臨床試験の安全性の結果を参照
なお、重大な副作用として、アナフィラキシー反応、皮膚粘膜眼症候群（Stevens-Johnson 症候群）、
剥脱性皮膚炎、低血糖、肝機能障害、黄疸、急性腎障害、急性膵炎、間質性肺炎、腸閉塞、横紋
筋融解症、血小板減少及び類天疱瘡が報告されている。（93-94 ページ参照）"
IF_1_2,rdfs:seeAlso,IF_5_5
IF_1_3,rdf:value,"長円形（25mg、50mg）、円形（12.5mg、100mg）のフィルムコーティング錠である。（7 頁参照）"
IF_1_3,rdfs:seeAlso,
IF_1_4,rdf:value,該当資料なし
IF_1_4_1,rdf:value,
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,該当しない
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,該当しない
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,"ジャヌビア®錠12.5mg
ジャヌビア®錠25mg
ジャヌビア®錠50mg
ジャヌビア®錠100mg"
IF_2_1_2,rdf:value,"JANUVIA® Tablets 12.5mg
JANUVIA® Tablets 25mg
JANUVIA® Tablets 50mg
JANUVIA® Tablets 100mg"
IF_2_1_3,rdf:value,JANUS（ヤヌス、二つの顔を持つ神）、via（道）から命名
IF_2_2,,
IF_2_2_1,rdf:value,シタグリプチンリン酸塩水和物（日局、JAN）
IF_2_2_2,rdf:value,"Sitagliptin Phosphate Hydrate（日局、JAN）
sitagliptin（INN）"
IF_2_2_3,rdf:value,"ジペプチジルペプチダーゼ（DPP）-4 阻害薬：-gliptin"
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式：C16H15F6N5O・H3PO4・H2O
分子量：523.32"
IF_2_5,rdf:value,"化学名（命名法）又は本質
(3R)-3-Amino-1-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-α]pyrazin-7(8H)-yl]-4-(2,4,5-
trifluorophenyl)butan-1-one monophosphate monohydrate（IUPAC）"
IF_2_6,rdf:value,治験成分番号：L-000224715、MK-0431、MK-0431/ONO-5435
IF_3,,
IF_3,dct:references,1
IF_3_1,,
IF_3_1_1,rdf:value,本品は白色の粉末である。
IF_3_1_2,rdf:value,
IF_3_1_3,rdf:value,吸湿性はない。
IF_3_1_4,rdf:value,"示差走査熱量測定（DSC）を行ったところ、本品リン酸塩の一水和物の脱水による吸熱ピークをピ
ーク温度138℃、融解開始温度134℃に認め、更にリン酸塩の無水の結晶形Form I の融解／分解に
よる吸熱ピークを、ピーク温度213℃、融解開始温度211℃に観測した。なお、塩の分解に起因す
る熱量は観測されなかった。"
IF_3_1_5,rdf:value,"本品の一級アミンのpKa は7.7±0.1 であった（n＝3）。"
IF_3_1_6,rdf:value,"1-オクタノール／pH7 の緩衝液系における本品の分配係数（1-オクタノール中の本品の濃度）／（水
相中の本品の濃度）は0.6 であった（Log P としては-0.25）。"
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,"25℃で測定した本品の飽和水溶液でのpH は4.4±0.1 であった。"
IF_3_2,rdf:value,
IF_3_3,rdf:value,"確認試験法
日局「シタグリプチンリン酸塩水和物」に準ずる。
定量法
日局「シタグリプチンリン酸塩水和物」に準ずる。"
IF_4,,
IF_4,dct:references,2
IF_4_1,,
IF_4_1_1,rdf:value,フィルムコーティング錠
IF_4_1_2,rdf:value,本品は、表示量の95.0～105.0％に対応するシタグリプチンを含む。
IF_4_1_3,rdf:value,"ジャヌビア®錠12.5mg ： MSD 211（本体及びPTP 包装に表示）
ジャヌビア®錠25mg ： MSD 221（本体及びPTP 包装に表示）
ジャヌビア®錠50mg ： MSD 112（本体及びPTP 包装に表示）
ジャヌビア®錠100mg ： MSD 277（本体及びPTP 包装に表示）"
IF_4_1_4,rdf:value,該当資料なし
IF_4_1_5,rdf:value,該当資料なし
IF_4_2,,
IF_4_2_1,rdf:value,
IF_4_2_2,rdf:value,該当しない
IF_4_2_3,rdf:value,該当しない
IF_4_3,rdf:value,該当しない
IF_4_4,rdf:value,"本剤1 錠中の含量（12.5mg、25mg、50mg、100mg）は、化学物質のフリー体（シタグリプチン）の
量で表示している。化学物質全体（シタグリプチンリン酸塩水和物）量では各々16.06mg、32.13mg、
64.25mg、128.5mg となる。"
IF_4_5,rdf:value,"日局 液体クロマトグラフィーによる
個々の類縁物質の量及び類縁物質の総量を規定"
IF_4_6,rdf:value,
IF_4_7,rdf:value,該当しない
IF_4_7,rdfs:seeAlso,
IF_4_8,rdf:value,該当しない
IF_4_9,rdf:value,"（方法）日局溶出試験法第1 法（回転バスケット法）による。
条件：毎分100 回転 試験液 水 900mL
（結果）本品は溶出試験規格（15 分間の溶出率が85％以上）に適合する。"
IF_4_10,,
IF_4_10_1,rdf:value,該当しない
IF_4_10_2,rdf:value,"〈ジャヌビア®錠12.5mg〉100 錠［10 錠（PTP）×10］、140 錠［14 錠（PTP）×10］、
500 錠［10 錠（PTP）×50］、100 錠［瓶］
〈ジャヌビア®錠25mg〉100 錠［10 錠（PTP）×10］、140 錠［14 錠（PTP）×10］、
500 錠［10 錠（PTP）×50］、100 錠［瓶］
〈ジャヌビア®錠50mg〉100 錠［10 錠（PTP）×10］、140 錠［14 錠（PTP）×10］、
500 錠［10 錠（PTP）×50］、700 錠［14 錠（PTP）×50］、500 錠［瓶］
〈ジャヌビア®錠100mg〉100 錠［10 錠（PTP）×10］、140 錠［14 錠（PTP）×10］、
500 錠［10 錠（PTP）×50］、500 錠［瓶］"
IF_4_10_3,rdf:value,該当しない
IF_4_10_4,rdf:value,"PTP 包装
PTP：アルミニウム箔、ポリプロピレン／ポリ塩化ビニリデンの複合フィルム
バラ包装（瓶）
瓶本体：高密度ポリエチレン（HDPE）
キャップ：ポリプロピレン"
IF_4_11,rdf:value,該当資料なし
IF_4_12,rdf:value,該当資料なし
IF_5,,
IF_5_1,rdf:value,"2 型糖尿病"
IF_5_2,ifo:item,item1
item1,rdf:value,"2 型糖尿病の治療においては、まず食事療法、運動療法を十分に行ったうえで、血糖がコントロールできない場合に薬物療法を行う必要がある。"
item1,dct:references,
item2,rdf:value,
item3,rdf:value,
item4,rdf:value,
item5,rdf:value,
item6,rdf:value,
item7,rdf:value,
item8,rdf:value,
item9,rdf:value,
item10,rdf:value,
item11,rdf:value,
IF_5_3,,
IF_5_3_1,rdf:value,"通常、成人にはシタグリプチンとして50mg を1 日1 回経口投与する。なお、効果不十分な場合に
は、経過を十分に観察しながら100mg 1 日1 回まで増量することができる。"
IF_5_3_1,rdfs:seeAlso,
IF_5_3_1,rdf:value,"用法は、第Ⅱ相臨床試験の用法検討試験で、24 時間血糖降下作用を検討したところ、本剤100mg1
日1 回経口投与と本剤50mg1 日2 回経口投与で大きな違いは認められなかったため、本剤の用法
として患者に対してより利便性の高い「1 日1 回投与」と設定した。また、臨床薬理試験の結果、
本剤の薬物動態は食事の影響を受けにくいことから、食事のタイミングに関わらず投与可能である。
用量は、第Ⅱ相臨床試験（プラセボ対照二重盲検比較試験）の結果から、「1 日用量として50mg
を通常投与量」と設定した。また、長期投与試験及び経口血糖降下剤との併用投与試験の計4 試験
から、本剤50mg1 日1 回投与から100mg1 日1 回投与への増量後にHbA1c 値又は空腹時血糖値が
さらに低下した患者やHbA1c 値が7%未満に達した患者がみられたことから、患者によっては増量
により血糖コントロールのさらなる低下効果が期待できる。安全性については、100mg 1 日1 回投
与へ増量しても副作用又は臨床検査値の異常変動において、特に問題は認められなかった。以上よ
り、「100 ㎎ 1 日1 回まで増量することができる」と設定した。"
IF_5_3_1,rdfs:seeAlso,IF_7_10_1
IF_5_4,ifo:item,"item1, item2"
item1,rdf:value,"7.1 外国人の腎機能障害患者を対象に、本剤50mg 単回投与時の薬物動態を検討した試験において、中
等度腎機能障害患者、重度腎機能障害患者及び血液透析が必要な末期腎不全患者では本剤のAUC
が約2.3 倍、約3.8 倍及び約4.5 倍上昇した。本剤は主に腎臓から排泄されるため、腎機能が本剤
の薬物動態に影響すること、及び日本人の健康成人における薬物動態は、外国人の薬物動態とよ
く類似していたことから、外国人の薬物動態データに基づき、腎機能障害患者における本剤の用
量調節の目安を記載した。
なお、軽度腎機能障害患者（クレアチニンクリアランス（50mL/min 以上、80mL/min 未満）では、
本剤のAUC が約1.6 倍上昇したが、軽度腎機能障害患者を組み入れた国内の臨床試験において、
腎機能障害患者の有無による有効性の違いは見られず、腎機能障害患者で特に問題となる有害事
象が認められなかったことから、軽度腎機能障害患者での用量調節の必要性はないこととした。
（「Ⅶ．薬物動態に関する項目 10．特定の背景を有する患者 (1) 腎機能障害患者（外国人デー
タ）」参照）"
item1,rdfs:seeAlso,
item2,rdf:value,"7.2 シタグリプチンは血液透析により一部しか除去されなかった。透析により透析液中に排泄された
未変化体の投与量に対する割合（透析液への移行率）は、3～4 時間の血液透析では、投与4 時間
後（Tmax は3.0～5.0 時間）に13％及び48 時間後に3.5％であった。このため、末期腎不全患者に
対して、シタグリプチンは血液透析との時間関係は問わず投与可能とした。"
item3,rdf:value,
item4,rdf:value,
IF_5_5,,
IF_5_5_1,rdf:value,
IF_5_5_2,rdf:value,"1) 単回投与試験
海外在住の日本人健康成人男性18 例を対象としたプラセボ対照二重盲検比較試験の結果、本剤5
～400mg の単回経口投与の忍容性は全般的に良好であり、低血糖症は認められなかった。3）
Herman GA, et al. Br J Clin Pharmacol. 2011; 71: 429-436.
2) 反復投与試験
日本人健康成人男性50 例を対象としたプラセボ対照二重盲検比較試験の結果、本剤25～200mg 1
日1 回10 日間反復経口投与、並びに50mg 単回経口投与後に50mg 1 日2 回10 日間反復経口投与
の忍容性は全般的に良好であった。4）
日本人健康成人男性8 例を対象としたプラセボ対照二重盲検比較試験の結果、本剤400mg 1 日1
回10 日間反復経口投与した際の忍容性は全般的に良好であった。4）
片山泰之、他. 新薬と臨床. 2011; 60: 1139-1152.
注）本剤の承認された用量は、通常、シタグリプチンとして50mg 1 日1 回であり、最大投与量は
100mg 1 日1 回である。"
IF_5_5_2,dct:references,"3, 4"
IF_5_5_3,rdf:value,"臨床試験において用量反応探索試験は実施されていない。
注）本剤の承認された用量は、通常、シタグリプチンとして50mg 1 日1 回であり、最大投与量は
100mg 1 日1 回である。"
IF_5_5_3,dct:references,"5, 6"
IF_5_5_4,,
IF_5_5_4_1,rdf:value,
IF_5_5_4_1,dct:references,"7, 8, 9, 10, 11, 12, 13, 14"
IF_5_5_4_2,rdf:value,
IF_5_5_4_2,dct:references,15
IF_5_5_5,rdf:value,"注）本剤の承認された用量は、通常、シタグリプチンとして50mg1 日1 回であり、最大投与量は
100mg 1 日1 回であるが、腎機能障害のある患者に投与する際は、添付文書の＜用法及び用
量に関連する注意＞の記載を目安に用量調節すること。"
IF_5_5_5,dct:references,16
IF_5_5_6,,
IF_5_5_6_1,rdf:value,
IF_5_5_6_1,dct:references,"17, 18, 19"
IF_5_5_6_2,rdf:value,該当しない
IF_5_5_7,rdf:value,該当資料なし
IF_6,,
IF_6_1,rdf:value,"DPP-4 阻害剤
注意：関連のある化合物の効能・効果等は、最新の添付文書を参照すること。"
IF_6_2,,
IF_6_2_1,rdf:value,"インクレチンであるglucagon-like peptide 1（GLP-1）及びglucose-dependent insulinotropic polypeptide
（GIP）は、グルコース恒常性の維持にかかわるホルモンである。シタグリプチンは、DPP-4 酵素
を阻害し、インクレチンのDPP-4 による分解を抑制する。活性型インクレチン濃度を上昇させる
ことにより、血糖値依存的にインスリン分泌促進作用並びにグルカゴン濃度低下作用を増強し血糖
コントロールを改善する。"
IF_6_2_1,dct:references,"20, 21, 22, 23"
