subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:if_id,170050_3969010F1034_2_32
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:pi_id,170050_3969010F1034_2_029_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3969010F4033, 3969010F1034, 3969010F2030, 3969010F3037"
,,
3969010F4033,ifo:if_0_8,ジャヌビア®錠12.5mg
3969010F4033,ifo:if_0_9,フィルムコーティング錠
3969010F4033,ifo:if_0_11,"1 錠中シタグリプチンとして12.5mg 含有"
3969010F4033,ifo:if_0_13,2013-09-02
3969010F4033,ifo:if_0_14,2013-11-29
3969010F4033,ifo:if_0_15,2013-11-29
3969010F4033,ifo:if_10_8,22500AMX01783000
3969010F4033,ifo:yakka_code,3969010F4033
3969010F4033,ifo:yj_code,3969010F4033
3969010F4033,ifo:hot_code,122775801
3969010F4033,ifo:resept_code,622277501
,,
3969010F1034,ifo:if_0_8,ジャヌビア®錠25mg
3969010F1034,ifo:if_0_9,フィルムコーティング錠
3969010F1034,ifo:if_0_11,"1 錠中シタグリプチンとして25mg 含有"
3969010F1034,ifo:if_0_13,2009-10-16
3969010F1034,ifo:if_0_14,2009-12-11
3969010F1034,ifo:if_0_15,2009-12-11
3969010F1034,ifo:if_10_8,22100AMX02258000
3969010F1034,ifo:yakka_code,3969010F1034
3969010F1034,ifo:yj_code,3969010F1034
3969010F1034,ifo:hot_code,119509501
3969010F1034,ifo:resept_code,621950901
,,
3969010F2030,ifo:if_0_8,ジャヌビア®錠50mg
3969010F2030,ifo:if_0_9,フィルムコーティング錠
3969010F2030,ifo:if_0_11,"1 錠中シタグリプチンとして50mg 含有"
3969010F2030,ifo:if_0_13,2009-10-16
3969010F2030,ifo:if_0_14,2009-12-11
3969010F2030,ifo:if_0_15,2009-12-11
3969010F2030,ifo:if_10_8,22100AMX02257000
3969010F2030,ifo:yakka_code,3969010F2030
3969010F2030,ifo:yj_code,3969010F2030
3969010F2030,ifo:hot_code,119510101
3969010F2030,ifo:resept_code,621951001
,,
3969010F3037,ifo:if_0_8,ジャヌビア®錠100mg
3969010F3037,ifo:if_0_9,フィルムコーティング錠
3969010F3037,ifo:if_0_11,"1 錠中シタグリプチンとして100mg 含有"
3969010F3037,ifo:if_0_13,2009-10-16
3969010F3037,ifo:if_0_14,2009-12-11
3969010F3037,ifo:if_0_15,2009-12-11
3969010F3037,ifo:if_10_8,22100AMX02259000
3969010F3037,ifo:yakka_code,3969010F3037
3969010F3037,ifo:yj_code,3969010F3037
3969010F3037,ifo:hot_code,119511801
3969010F3037,ifo:resept_code,621951101
