subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,社内資料：原薬
1,dct:dateAccepted,
1,ifo:internal_reference_id,
1,ifo:ctd_number,
2,rdf:type,bibo:Document
2,rdfs:label,社内資料：製剤
2,dct:dateAccepted,
2,ifo:internal_reference_id,
2,ifo:ctd_number,
3,rdf:type,bibo:Article
3,dct:references,21284702
3,ifo:internal_reference_id,
4,rdf:type,bibo:Article
4,dct:creator,片山泰之、他.
4,prism:publicationName,新薬と臨床.
4,prism:volume,60
4,prism:number,
4,prism:startingPage,1139
4,prism:endingPage,1152
4,dct:issued,2011
4,ifo:internal_reference_id,
5,rdf:type,bibo:Article
5,dct:references,17933414
5,ifo:internal_reference_id,
6,rdf:type,bibo:Article
6,dct:references,19253204
6,ifo:internal_reference_id,
7,rdf:type,bibo:Article
7,dct:references,20332588
7,ifo:internal_reference_id,
8,rdf:type,bibo:Article
8,dct:references,20590736
8,ifo:internal_reference_id,
9,rdf:type,bibo:Article
9,dct:creator,"Tajima N, et al."
9,prism:publicationName,"Diabetol Int."
9,prism:volume,2
9,prism:number,
9,prism:startingPage,32
9,prism:endingPage,44
9,dct:issued,2011
9,ifo:internal_reference_id,
10,rdf:type,bibo:Article
10,dct:references,24843518
10,ifo:internal_reference_id,
11,rdf:type,bibo:Article
11,dct:references,24843649
11,ifo:internal_reference_id,
12,rdf:type,bibo:Article
12,dct:references,24843714
12,ifo:internal_reference_id,
13,rdf:type,bibo:Article
13,dct:references,30603259
13,ifo:internal_reference_id,
14,rdf:type,bibo:Article
14,dct:creator,"Kadowaki T, et al."
14,prism:publicationName,"Diabetol Int."
14,prism:volume,4
14,prism:number,
14,prism:startingPage,160
14,prism:endingPage,172
14,dct:issued,2013
14,ifo:internal_reference_id,
15,rdf:type,bibo:Article
15,dct:creator,"Odawara M, et al."
15,prism:publicationName,"Diabetol Int."
15,prism:volume,2
15,prism:number,
15,prism:startingPage,94
15,prism:endingPage,105
15,dct:issued,2011
15,ifo:internal_reference_id,
16,rdf:type,bibo:Article
16,dct:references,18518892
16,ifo:internal_reference_id,
17,rdf:type,bibo:Document
17,rdfs:label,社内資料：製造販売後調査等
17,dct:dateAccepted,
17,ifo:internal_reference_id,
17,ifo:ctd_number,
18,rdf:type,bibo:Article
18,dct:creator,池田恵子、他.
18,prism:publicationName,新薬と臨床.
18,prism:volume,65
18,prism:number,
18,prism:startingPage,1427
18,prism:endingPage,1451
18,dct:issued,2016
18,ifo:internal_reference_id,
19,rdf:type,bibo:Article
19,dct:references,29770541
19,ifo:internal_reference_id,
20,rdf:type,bibo:Article
20,dct:references,14514604
20,ifo:internal_reference_id,
21,rdf:type,bibo:Article
21,dct:references,15634008
21,ifo:internal_reference_id,
22,rdf:type,bibo:Article
22,dct:references,16912128
22,ifo:internal_reference_id,
23,rdf:type,bibo:Document
23,rdfs:label,"社内資料：シタグリプチンのin vitro及びin vivo薬理試験"
23,dct:dateAccepted,2009-10-16
23,ifo:internal_reference_id,
23,ifo:ctd_number,"CTD 2.6.2.2"
24,rdf:type,bibo:Article
24,dct:references,19765579
24,ifo:internal_reference_id,
25,rdf:type,bibo:Document
25,rdfs:label,社内資料：国内臨床薬理試験
25,dct:dateAccepted,2009-10-16
25,ifo:internal_reference_id,
25,ifo:ctd_number,"CTD 2.7.2.2"
26,rdf:type,bibo:Document
26,rdfs:label,社内資料：ボグリボース併用PK試験
26,dct:dateAccepted,2009-10-16
26,ifo:internal_reference_id,
26,ifo:ctd_number,"CTD 2.7.2.2"
27,rdf:type,bibo:Document
27,rdfs:label,社内資料：ジゴキシン併用PK試験
27,dct:dateAccepted,2009-10-16
27,ifo:internal_reference_id,
27,ifo:ctd_number,"CTD 2.7.2.2"
28,rdf:type,bibo:Article
28,dct:references,17244767
