subject,predicate,object
IF_0_3,dct:modified,2020-01
IF_0_3,pav:version,7
IF_0_4,rdf:value,87424
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗悪性腫瘍剤
IF_0_8,rdf:value,ジェブタナ点滴静注60mg
IF_0_9,,
IF_0_10,rdf:value,"毒薬
処方箋医薬品：注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,"カバジタキセル アセトン付加物（JAN）"
IF_0_12,rdf:value,"Cabazitaxel Acetonate（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売：サノフィ株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"サノフィ株式会社
医薬品関連：くすり相談室(平日9:00～17:00)
ＴＥＬ：０１２０－１０９－９０５ ＦＡＸ：(０３)６３０１－３０１０
医療関係者向け製品情報サイト：サノフィ e-MR
http://e-mr.sanofi.co.jp/"
IF_0_19,rdf:value,2020-01
IF_1,,
IF_1_1,rdf:value,"ジェブタナ®点滴静注60mg（一般名：カバジタキセル アセトン付加物、以下「カバジタキセル」）
は、Rhone-Poulenc Rorer 社（現Sanofi 社）によりフランスで見出され、ヨーロッパイチイの針
状葉から抽出した10-デアセチルバッカチンⅢから半合成されたタキサン系抗悪性腫瘍剤である。
カバジタキセルは、チューブリン重合を促進し、微小管を安定化することによって細胞分裂を阻
害し、細胞死を誘発、腫瘍増殖を抑制すると考えられている。
カバジタキセルは、有効な治療法が存在しないドセタキセル治療後の前立腺癌患者に対して生存
時間の延長を示した数少ない薬剤であり、NCCN（National Comprehensive Cancer Network）
及びEAU（European Association of Urology）などのガイドラインにおいて、ドセタキセルを含
む前治療歴のある去勢抵抗性前立腺癌に用いることが推奨されている。
本邦では、転移性前立腺癌の初期治療としてほとんどの患者にホルモン療法が実施されるが、一
時的に有効なものの、ほとんどの症例がホルモン療法に対して抵抗性を獲得することが知られて
おり、本邦においても海外と同様のカバジタキセルの臨床的位置付けが想定される。
カバジタキセルは、非臨床試験において、前立腺癌由来DU-145 細胞株を含む各種ヒト由来腫瘍
細胞株を皮下移植したヌードマウスにおいて強い抗腫瘍効果を示した。またドセタキセル抵抗性
腫瘍細胞株に対するin vitro 腫瘍細胞増殖抑制作用、及びドセタキセルに対して非感受性もしく
は低感受性を示す進行期マウス腫瘍移植モデルにおいて抗腫瘍効果を示した。これらの結果より
カバジタキセルは前立腺癌及びドセタキセルに対して抵抗性を示す腫瘍に対しても有効性が期待
される薬剤であると考えられた。
海外ではドセタキセル治療歴のある去勢抵抗性転移性前立腺癌患者を対象にした、第Ⅲ相臨床試
験の結果に基づき、「ドセタキセルを含む前治療歴のある去勢抵抗性転移性前立腺癌」を効能・効
果として承認され、現在、80を超える国と地域で承認されている。
本邦では「医療上の必要性の高い未承認薬・適応外薬検討会議」にて、医療上の必要性が高い薬剤
と評価され、2012年4月に厚生労働省より開発要請を受けた。また、去勢抵抗性前立腺癌患者を対
象とした第Ⅰ相臨床試験を実施し、日本人患者において海外承認用法及び用量での忍容性及び有
効性が認められたことから、国内第Ⅰ相臨床試験成績、海外第Ⅲ相国際共同臨床試験成績及びそ
の他、海外臨床試験成績に基づいて承認申請を行った。
本邦でジェブタナは2014年7月4日に「前立腺癌」*を効能又は効果として、製造販売承認を取得し
た。
*：＜効能又は効果に関連する使用上の注意＞
5.1 本剤は外科的又は内科的去勢術を行い、進行又は再発が確認された患者を対象とすること。
5.2 本剤の化学療法未治療の前立腺癌における有効性及び安全性は確立していない。
5.3 「17.臨床成績」の項の内容を熟知し、本剤の有効性及び安全性を十分に理解した上で適応患者の選択を行う
こと。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"１．ヒト前立腺癌由来DU-145細胞株を移植したマウスにおいて、腫瘍増殖抑制作用が認められ
た。（26頁参照）
２．ドセタキセル抵抗性細胞株*1に対するin vitro 抗腫瘍効果、およびドセタキセル非感受性／低
感受性細胞株を移植したマウス*2におけるin vivo 抗腫瘍効果が認められた。（25～28頁参
照）
*1 ：P388/TXT、Calc18/TXT 細胞
*2 ：B16/TXT、UISO-BCA-1、HCT-8及びGXF-209細胞を移植したマウス
３．ドセタキセルによる化学療法歴を有する去勢抵抗性前立腺癌患者を対象とした国内第Ⅰ相臨
床試験において、腫瘍縮小効果奏効率は16.7％（2/12例）、PSA 奏効率*は29.3％（12/41例）
であった。（19～20頁参照）
*：PSA 値がベースラインから50％以上低下した患者の割合
４．ドセタキセルによる化学療法歴を有する去勢抵抗性前立腺癌患者を対象とした海外第Ⅲ相国
際共同臨床試験において、ジェブタナの全生存期間中央値は15.1ヵ月であった。（20～21頁
参照）
５．国内第Ⅰ相臨床試験でジェブタナ25mg/m2を投与された44例中44例（100％）に副作用が認め
られた。主な副作用（全Grade）は好中球減少症44例（100％）、発熱性好中球減少症24例
（54.5％）、疲労24例（54.5％）、悪心21例（47.7％）、下痢20例（45.5％）、食欲減退16
例（36.4％）、貧血13例（29.5％）、味覚異常12例（27.3％）等であった。このうちGrade3
以上の主な副作用は、好中球減少症44例（100％）、発熱性好中球減少症24例（54.5％）、貧
血11例（25.0％）等であった。
海外第Ⅲ相臨床試験におけるジェブタナ投与群の安全性評価対象371例中、313例（84.4％）
に副作用が認められた。主な副作用（全Grade）は、下痢135例（36.4％）、疲労110例（29.6％）、
悪心106例（28.6％）、好中球減少症81例（21.8％）、嘔吐57例（15.4％）、無力症57例（15.4％）、
食欲減退46例（12.4％）、味覚異常38例（10.2％）等であった。このうちGrade3以上の主な
副作用は好中球減少症79例（21.3％）、発熱性好中球減少症28例（7.5％）、下痢19例（5.1％）、
白血球減少症14例（3.8％）、疲労14例（3.8％）等であった。（承認時）
なお、重大な副作用として、骨髄抑制、腎不全、消化管出血、消化管穿孔、イレウス、重篤な
腸炎、重篤な下痢、感染症、不整脈、心不全、アナフィラキシーショック、末梢神経障害、肝
不全、肝機能障害、播種性血管内凝固症候群（DIC）、急性膵炎、皮膚粘膜眼症候群（Stevens-
Johnson 症候群）、心タンポナーデ、浮腫、体液貯留、心筋梗塞、静脈血栓塞栓症、間質性
肺疾患が報告されている。また、類薬による重大な副作用として、ドセタキセルを投与され
た患者で、抗利尿ホルモン不適合分泌症候群（SIADH）、重篤な口内炎等の粘膜炎、血管炎
が報告されている。"
IF_1_2,rdfs:seeAlso,
IF_1_3,rdf:value," 本剤は添付溶解液を同梱している。必ず11 頁に示す「調製方法」に従い調製を行うこと。"
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
