subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,780069_4240410A1020_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,780069_4240410A1020_1_007_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,4240410A1020
,,
4240410A1020,ifo:if_0_8,ジェブタナ点滴静注60mg
4240410A1020,ifo:if_0_9,注射剤
4240410A1020,ifo:if_0_11,"1バイアル1.5mL中にカバジタキセル アセトン付加物
64.14mg（カバジタキセルとして60mg）含有"
4240410A1020,ifo:if_0_13,2014-07-04
4240410A1020,ifo:if_0_14,2014-09-02
4240410A1020,ifo:if_0_15,2014-09-04
4240410A1020,ifo:if_10_8,22600AMX00751000
4240410A1020,ifo:yakka_code,4240410A1020
4240410A1020,ifo:yj_code,4240410A1020
4240410A1020,ifo:hot_code,123646001
4240410A1020,ifo:resept_code,622364601
,,
,ifo:if_0_8,
,ifo:if_0_9,
,ifo:if_0_11,
,ifo:if_0_13,
,ifo:if_0_14,
,ifo:if_0_15,
,ifo:if_10_8,
,ifo:yakka_code,
,ifo:yj_code,
,ifo:hot_code,
,ifo:resept_code,
