subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,25809824
1,ifo:internal_reference_id,TXT8177
2,rdf:type,bibo:Article
2,dct:references,20888992
2,ifo:internal_reference_id,TXT6714
3,rdf:type,bibo:Article
3,dct:references,22975213
3,ifo:internal_reference_id,TXT7892
4,rdf:type,bibo:Article
4,dct:references,24718982
4,ifo:internal_reference_id,TXT7937
5,rdf:type,bibo:Article
5,dct:references,24488323
5,ifo:internal_reference_id,TXT7735
6,rdf:type,bibo:Article
6,dct:references,23589177
6,ifo:internal_reference_id,TXT7894
7,rdf:type,bibo:Article
7,dct:references,12711638
7,ifo:internal_reference_id,TXT7911
8,rdf:type,bibo:Article
8,dct:references,31361807
8,ifo:internal_reference_id,
*1,rdf:type,bibo:Document
*1,rdfs:label,国内第Ⅰ相臨床試験（TED11576試験）
*1,dct:dateAccepted,2014-07-04
*1,ifo:internal_reference_id,JET－14
*1,ifo:ctd_number,"CTD2.7.6.2, 2.7.4.2"
*2,rdf:type,bibo:Document
*2,rdfs:label,海外第Ⅲ相臨床試験（EFC6193試験）
*2,dct:dateAccepted,2014-07-04
*2,ifo:internal_reference_id,JET－18
*2,ifo:ctd_number,CTD2.7.4.2
*3,rdf:type,bibo:Document
*3,rdfs:label,薬物動態（用量比例性）
*3,dct:dateAccepted,2014-07-04
*3,ifo:internal_reference_id,JET－05
*3,ifo:ctd_number,"CTD 2.7.2.3"
*4,rdf:type,bibo:Document
*4,rdfs:label,"QT/QTc 評価試験"
*4,dct:dateAccepted,2014-07-04
*4,ifo:internal_reference_id,JET－19
*4,ifo:ctd_number,"CTD 2.7.6.2"
*5,rdf:type,bibo:Document
*5,rdfs:label,カバジタキセル作用機序に関する検討
*5,dct:dateAccepted,2014-07-04
*5,ifo:internal_reference_id,JET－15
*5,ifo:ctd_number,"CTD 2.6.2.2"
*6,rdf:type,bibo:Document
*6,rdfs:label,"ヒト前立腺癌細胞株に対する増殖阻害作用（in vitro）"
*6,dct:dateAccepted,2014-07-04
*6,ifo:internal_reference_id,JET－20
*6,ifo:ctd_number,"CTD 2.6.2.2"
*7,rdf:type,bibo:Document
*7,rdfs:label,"薬剤耐性腫瘍細胞株に対する増殖阻害作用（in vitro）"
*7,dct:dateAccepted,2014-07-04
*7,ifo:internal_reference_id,JET－21
*7,ifo:ctd_number,"CTD 2.6.2.2"
*8,rdf:type,bibo:Document
*8,rdfs:label,ヒト前立腺癌由来細胞株移植マウスモデルにおける抗腫瘍効果
*8,dct:dateAccepted,2014-07-04
*8,ifo:internal_reference_id,JET－16
