subject,predicate,object
IF_0_3,dct:modified,2020-04
IF_0_3,pav:version,3
IF_0_4,rdf:value,876349
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,ペグ化遺伝子組分け型血液凝固第Ⅷ因子製剤
IF_0_8,rdf:value,ジビイ静注用
IF_0_9,,
IF_0_10,rdf:value,"生物由来製品
処方箋医薬品：注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,"ダモクトコグ アルファ ペゴル（遺伝子組換え）（JAN）"
IF_0_12,rdf:value,"Damoctocog Alfa Pegol（Genetical Recombination）（JAN）
damoctocog alfa pegol（INN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：バイエル薬品株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"バイエル薬品株式会社・コンタクトセンター
TEL：0120-106-398
受付時間：9：00～17：30（土・日・祝日・弊社休日を除く）
医療関係者向けホームページ https://pharma-navi.bayer.jp/"
IF_0_19,rdf:value,2020-04
IF_1,,
IF_1_1,rdf:value,"ジビイ［一般名：ダモクトコグ アルファ ペゴル（遺伝子組換え）］は、60kDaの分枝型ポリエチレングリコール（PEG）が、完全長血液凝固第Ⅷ因子（FⅧ）の1804アミノ酸位で部位特異的に結合した、Bドメイン欠失遺伝子組換えヒト血液凝固第Ⅷ因子（BDD-rFⅧ）製剤で、ドイツBayer社によって開発された。
血友病A患者に対する標準的治療は、血漿由来のFⅧ製剤又はrFⅧ製剤（以下、FⅧ製剤）の投与による欠乏タンパク質の補充であり、血漿中FⅧ濃度を増加させることにより、凝固因子欠乏を一時的に補正し、出血傾向を抑制する。補充療法には、FⅧ製剤を単回もしくは複数回、間歇的に輸注して、出血時の止血を目的とした出血時補充療法と、FⅧ製剤を週2～4回長期間にわたり定期的に投与して出血の抑制を目的とした定期補充療法がある。
ジビイは、PEGの部位特異的結合により消失半減期の延長が期待できることから、より少ない投与頻度で長期間適切なFⅧ活性を維持し、また十分な止血効果を期待できる製剤として、血友病患者のQOL及びアドヒアランスの向上を目的に臨床試験が開始された。
ジビイは、18～65歳の既治療の重症血友病A患者を対象とした海外第Ⅰ相臨床試験（試験13401）1）において、コージネイトFS［一般名：オクトコグ ベータ（遺伝子組換え）］と比較して、血中FⅧ活性－時間曲線下面積（AUC）が増加し、また、血漿中クリアランスが低下することで消失半減期が延長することが示された。
また、12～65歳の既治療の重症血友病A患者を対象とした国際共同第Ⅱ/Ⅲ相臨床試験（試験13024）の主試験2）及び継続投与期間3）において、ジビイの週1回（7日ごと）又は5日ごともしくは週2回投与による定期補充療法、並びに出血時補充療法での有効性及び安全性が確認された。
以上の臨床試験成績を評価資料として、2017年10月に製造販売承認申請を行い、ジビイは「血液凝固第Ⅷ因子欠乏患者における出血傾向の抑制」を効能又は効果として2018年9月に承認を取得、2019年2月に発売された。"
IF_1_1,dct:references,"1, 2, 3"
