subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,630004_6343453D1020_1_03
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,630004_6343453D1020_1_002_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"6343453D1020, 6343453D2027, 6343453D3023, 6343453D4020"
,,
6343453D1020,ifo:if_0_8,ジビイ静注用500
6343453D1020,ifo:if_0_9,凍結乾燥注射剤
6343453D1020,ifo:if_0_11,"1バイアル中ダモクトコグ アルファ ペゴル（遺伝子組換え）500 国際単位含有"
6343453D1020,ifo:if_0_13,2018-09-21
6343453D1020,ifo:if_0_14,2018-11-20
6343453D1020,ifo:if_0_15,2019-02-12
6343453D1020,ifo:if_10_8,23000AMX00827000
6343453D1020,ifo:yakka_code,6343453D1020
6343453D1020,ifo:yj_code,6343453D1020
6343453D1020,ifo:hot_code,1265804010101
6343453D1020,ifo:resept_code,622658001
,,
6343453D2027,ifo:if_0_8,ジビイ静注用1000
6343453D2027,ifo:if_0_9,凍結乾燥注射剤
6343453D2027,ifo:if_0_11,"1バイアル中ダモクトコグ アルファ ペゴル（遺伝子組換え） 1000国際単位含有"
6343453D2027,ifo:if_0_13,2018-09-21
6343453D2027,ifo:if_0_14,2018-11-20
6343453D2027,ifo:if_0_15,2019-02-12
6343453D2027,ifo:if_10_8,23000AMX00828000
6343453D2027,ifo:yakka_code,6343453D2027
6343453D2027,ifo:yj_code,6343453D2027
6343453D2027,ifo:hot_code,1265811010101
6343453D2027,ifo:resept_code,622658101
,,
6343453D3023,ifo:if_0_8,ジビイ静注用2000
6343453D3023,ifo:if_0_9,凍結乾燥注射剤
6343453D3023,ifo:if_0_11,"1バイアル中ダモクトコグ アルファ ペゴル（遺伝子組換え） 2000国際単位含有"
6343453D3023,ifo:if_0_13,2018-09-21
6343453D3023,ifo:if_0_14,2018-11-20
6343453D3023,ifo:if_0_15,2019-02-12
6343453D3023,ifo:if_10_8,23000AMX00829000
6343453D3023,ifo:yakka_code,6343453D3023
6343453D3023,ifo:yj_code,6343453D3023
6343453D3023,ifo:hot_code,1265828010101
6343453D3023,ifo:resept_code,622658201
,,
6343453D4020,ifo:if_0_8,ジビイ静注用3000
6343453D4020,ifo:if_0_9,凍結乾燥注射剤
6343453D4020,ifo:if_0_11,"1バイアル中ダモクトコグ アルファ ペゴル（遺伝子組換え） 3000国際単位含有"
6343453D4020,ifo:if_0_13,2018-09-21
6343453D4020,ifo:if_0_14,2018-11-20
6343453D4020,ifo:if_0_15,2019-02-12
6343453D4020,ifo:if_10_8,23000AMX00830000
6343453D4020,ifo:yakka_code,6343453D4020
6343453D4020,ifo:yj_code,6343453D4020
6343453D4020,ifo:hot_code,1265835010101
6343453D4020,ifo:resept_code,622658301
