subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,24843882
1,ifo:internal_reference_id,2.7.6.1＊
2,rdf:type,bibo:Article
2,dct:references,27992112
2,ifo:internal_reference_id,2.7.6.2＊
3,rdf:type,bibo:Document
3,rdfs:label,バイエル薬品社内資料［日本人を含む治療歴のある12歳以上の重症血友病A患者を対象とした国際共同第Ⅱ/Ⅲ相臨床試験（継続投与期間）］
3,dct:dateAccepted,
3,ifo:internal_reference_id,2.7.6.4＊
3,ifo:ctd_number,
4,rdf:type,bibo:Document
4,rdfs:label,バイエル薬品社内資料［日本人を含む治療歴のある12歳以上の重症血友病A患者を対象とした国際共同第Ⅱ/Ⅲ相臨床試験（主試験及び継続投与期間2015年1月9日データカットオフの併合解析）］
4,dct:dateAccepted,
4,ifo:internal_reference_id,2.7.4.7＊
4,ifo:ctd_number,
5,rdf:type,bibo:Document
5,rdfs:label,バイエル薬品社内資料［ウサギ、イヌ及びヒト希釈正常血漿の凝固に及ぼす影響］
5,dct:dateAccepted,
5,ifo:internal_reference_id,2.6.2.2.1.1＊
5,ifo:ctd_number,
6,rdf:type,bibo:Document
6,rdfs:label,バイエル薬品社内資料［マウスにおける止血効果］
6,dct:dateAccepted,
6,ifo:internal_reference_id,"2.6.2.2.2.2＊, 2.6.2.2.2.3＊"
6,ifo:ctd_number,
7,rdf:type,bibo:Document
7,rdfs:label,バイエル薬品社内資料［イヌにおける止血効果］
7,dct:dateAccepted,
7,ifo:internal_reference_id,2.6.2.2.2.5＊
7,ifo:ctd_number,
8,rdf:type,bibo:Document
8,rdfs:label,バイエル薬品社内資料［母集団薬物動態解析（解析17395）］
8,dct:dateAccepted,
8,ifo:internal_reference_id,2.7.2.3.3＊
8,ifo:ctd_number,
9,rdf:type,bibo:Document
9,rdfs:label,バイエル薬品社内資料［日本人を含む治療歴のある12歳以上の重症血友病A患者を対象
9,dct:dateAccepted,
9,ifo:internal_reference_id,2.7.6.2＊
9,ifo:ctd_number,
10,rdf:type,bibo:Document
10,rdfs:label,バイエル薬品社内資料［臨床に関する概括評価（その他の重要な有害事象）］
10,dct:dateAccepted,
10,ifo:internal_reference_id,2.5.5.3.3.3＊
10,ifo:ctd_number,
11,rdf:type,bibo:Document
11,rdfs:label,バイエル薬品社内資料［安全性薬理試験］
11,dct:dateAccepted,
11,ifo:internal_reference_id,2.6.2.4＊
11,ifo:ctd_number,
12,rdf:type,bibo:Document
12,rdfs:label,バイエル薬品社内資料［毒性試験］
12,dct:dateAccepted,
12,ifo:internal_reference_id,"2.6.6.2＊, 2.6.6.3＊, 2.6.6.4＊, 2.6.6.5＊, 2.6.6.6＊, 2.6.6.7＊, 2.6.6.8.2＊, 2.6.6.8.3＊, 2.6.6.8.4＊, 2.6.6.8.5.5＊"
12,ifo:ctd_number,
