subject,predicate,object
IF_0_3,dct:modified,2020-05
IF_0_3,pav:version,7
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,ヒト型抗ヒトIL-6受容体モノクローナル抗体
IF_0_8,rdf:value,サリルマブ（遺伝子組換え）製剤
IF_0_9,,
IF_0_10,rdf:value,"生物由来製品、劇薬
処方箋医薬品：注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,サリルマブ（遺伝子組換え）（JAN）
IF_0_12,rdf:value,"Sarilumab（Genetical Recombination）（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：サノフィ株式会社
販売元：旭化成ファーマ株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"旭化成ファーマ株式会社 医薬情報部くすり相談窓口
ケブザラ専用ダイヤル：0120-764-221 （9:00～17:45/土日祝・休業日を除く）
自己投与に関するお問い合わせ／24時間受付
医療関係者向けホームページ
https://www.asahikasei-pharma.co.jp"
IF_0_19,rdf:value,2020-03
IF_1,,
IF_1_1,rdf:value,"ケブザラ®皮下注（一般名：サリルマブ（遺伝子組換え）、以下「ケブザラ」）は、関節リウマチ（RA）患者に対する治療を目的としてSanofi社及びRegeneron Pharmaceuticals, Inc.により共同開発されたヒト型抗ヒトIL-6受容体モノクローナル抗体である。可溶性及び膜結合型IL-6受容体（IL-6R）αサブユニットに特異的に結合し、IL-6の作用を抑制する。
RA患者の滑液ではIL-6が高濃度に存在し、RAの特徴である病的炎症及び関節破壊の両方に重要な役割を果たしていると考えられている。IL-6は、RA患者の全身性炎症、滑膜炎、及び骨びらんにつながるT細胞、B細胞、単球、及び破骨細胞の関節局所への浸潤や活性化などの多様な生理的プロセスに関与している。ケブザラは、IL-6 の作用を抑制することによりその薬効を示すことが期待され、RA に対する治療薬として開発が進められた。
海外では、2017年1月にカナダ、同年5月に米国、6月に欧州で承認を取得した。
本邦では、海外臨床試験成績も活用した上で、2016 年 10 月に新薬承認申請を行い、2017年9月に「既存治療で効果不十分な関節リウマチ」の効能又は効果でケブザラ皮下注150mg シリンジ・200mg シリンジ・150mgオートインジェクター・200mgオートインジェクターの製造販売承認を取得した。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"１．ケブザラ（一般名：サリルマブ（遺伝子組換え））は、可溶性及び膜結合型IL-6 受容体αサブユニットに特異的に結合するヒトIgG1のヒト型抗ヒトIL-6受容体モノクローナル抗体である。 （「Ⅵ－2－(1)作用部位・作用機序」の項参照）
２．ケブザラは、既存治療で効果不十分な関節リウマチ患者に対し、優れた有効性を示した。
（「Ⅴ－5－(2)臨床薬理試験、Ⅴ－5－(4)1)有効性検証試験」の項参照）
３．血清中サリルマブのトラフ濃度は、16.1±10.6 mg/L（150mg皮下投与）、30.5±16.9 mg/L （200mg皮下投与）であった。（反復投与24週後）
（「Ⅶ－1－(2)臨床試験で確認された血中濃度」の項参照）
４．国内における関節リウマチ患者を対象とした臨床試験における安全性解析対象症例325例中、副作用は217例（66.8%）に発現し、主な副作用は、鼻咽頭炎43例（13.2%）、好中球減少症40例（12.3%）、注射部位紅斑28例（8.6%）、口内炎17例（5.2%）等であった。（承認時） （「Ⅷ－8．副作用」の項参照）
なお、重大な副作用は、感染症、無顆粒球症、白血球減少症、好中球減少症、血小板減少症、腸管穿孔、ショック、アナフィラキシー、間質性肺炎、肝機能障害である。
（「Ⅷ－8－(1)重大な副作用と初期症状」の項参照）"
IF_1_2,rdfs:seeAlso,"IF_6_2_1, IF_5_5_2, IF_5_5_4_1, IF_7_1_2, IF_8_8, IF_8_8_1"
