subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,dct:identifier,780069_3999444G1022_1_07
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,dct:identifier,780069_3999444G1022_1_007_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3999444G1022, 3999444G2029, 3999444G3025, 3999444G4021"
,,
3999444G1022,ifo:if_0_8,"ケブザラ皮下注150mg シリンジ"
3999444G1022,ifo:if_0_9,注射剤
3999444G1022,ifo:if_0_11,1製剤（1.14mL）中サリルマブ（遺伝子組換え）150mg
3999444G1022,ifo:if_0_13,2017-09-27
3999444G1022,ifo:if_0_14,2017-11-22
3999444G1022,ifo:if_0_15,2018-02-05
3999444G1022,ifo:if_10_8,22900AMX00958000
3999444G1022,ifo:yakka_code,3999444G1022
3999444G1022,ifo:yj_code,3999444G1022
3999444G1022,ifo:hot_code,125966701
3999444G1022,ifo:resept_code,622596601
,,
3999444G2029,ifo:if_0_8,"ケブザラ皮下注200mg シリンジ"
3999444G2029,ifo:if_0_9,注射剤
3999444G2029,ifo:if_0_11,1製剤（1.14mL）中サリルマブ（遺伝子組換え）200mg
3999444G2029,ifo:if_0_13,2017-09-27
3999444G2029,ifo:if_0_14,2017-11-22
3999444G2029,ifo:if_0_15,2018-02-05
3999444G2029,ifo:if_10_8,22900AMX00959000
3999444G2029,ifo:yakka_code,3999444G2029
3999444G2029,ifo:yj_code,3999444G2029
3999444G2029,ifo:hot_code,125967401
3999444G2029,ifo:resept_code,622596701
,,
3999444G3025,ifo:if_0_8,ケブザラ皮下注150mgオートインジェクター
3999444G3025,ifo:if_0_9,注射剤
3999444G3025,ifo:if_0_11,1製剤（1.14mL）中サリルマブ（遺伝子組換え）150mg
3999444G3025,ifo:if_0_13,2017-09-27
3999444G3025,ifo:if_0_14,2017-11-28
3999444G3025,ifo:if_0_15,2018-12-11
3999444G3025,ifo:if_10_8,22900AMX00960000
3999444G3025,ifo:yakka_code,3999444G3025
3999444G3025,ifo:yj_code,3999444G3025
3999444G3025,ifo:hot_code,126620701
3999444G3025,ifo:resept_code,622662001
,,
3999444G4021,ifo:if_0_8,ケブザラ皮下注200mgオートインジェクター
3999444G4021,ifo:if_0_9,注射剤
3999444G4021,ifo:if_0_11,1製剤（1.14mL）中サリルマブ（遺伝子組換え）200mg
3999444G4021,ifo:if_0_13,2017-09-27
3999444G4021,ifo:if_0_14,2017-11-28
3999444G4021,ifo:if_0_15,2018-12-11
3999444G4021,ifo:if_10_8,22900AMX00961000
3999444G4021,ifo:yakka_code,3999444G4021
3999444G4021,ifo:yj_code,3999444G4021
3999444G4021,ifo:hot_code,126621401
3999444G4021,ifo:resept_code,622662101
