subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,"社内資料；海外長期投与試験 LTS11210試験"
1,dct:dateAccepted,2017-09-27
1,ifo:internal_reference_id,
1,ifo:ctd_number,"CTD2.7.6, 2.7.3"
2,rdf:type,bibo:Document
2,rdfs:label,国内第Ⅱ/Ⅲ相プラセボ対照二重盲検比較試験（メトトレキサート併用試験）EFC14059試験
2,dct:dateAccepted,2017-09-27
2,ifo:internal_reference_id,
2,ifo:ctd_number,"CTD2.7.6, 2.7.3"
3,rdf:type,bibo:Document
3,rdfs:label,社内資料；海外第Ⅲ相プラセボ対照二重盲検比較試験（メトトレキサート併用試験）[EFC11072試験PartB
3,dct:dateAccepted,2017-09-27
3,ifo:internal_reference_id,
3,ifo:ctd_number,"CTD2.7.6, 2.7.3"
4,rdf:type,bibo:Article
4,dct:references,25733246
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,社内資料；国内第Ⅰ相単回投与試験（単剤投与試験）
5,dct:dateAccepted,2017-09-27
5,ifo:internal_reference_id,
5,ifo:ctd_number,"CTD2.7.6, 2.7.2 ,2.7.4"
6,rdf:type,bibo:Document
6,rdfs:label,社内資料；国内第Ⅰ相単回投与試験（メトトレキサート併用試験）
6,dct:dateAccepted,2017-09-27
6,ifo:internal_reference_id,
6,ifo:ctd_number,"CTD2.7.6, 2.7.2"
7,rdf:type,bibo:Document
7,rdfs:label,社内資料；海外第Ⅰ相薬物相互作用試験（シンバスタチン）
7,dct:dateAccepted,2017-09-27
7,ifo:internal_reference_id,
7,ifo:ctd_number,"CTD2.7.6, 2.7.2"
8,rdf:type,bibo:Article
8,dct:references,27722854
8,ifo:internal_reference_id,
9,rdf:type,bibo:Document
9,rdfs:label,"社内資料；海外第Ⅲ相プラセボ対照二重盲検比較試験（メトトレキサート併用試験）[EFC11072試験Part A] "
9,dct:dateAccepted,2017-09-27
9,ifo:internal_reference_id,
9,ifo:ctd_number,"CTD2.7.6, 2.7.3"
10,rdf:type,bibo:Document
10,rdfs:label,"社内資料；海外第Ⅲ相プラセボ対照二重盲検比較試験（生物学的製剤以外の
DMARDs併用試験）[EFC10832試験] "
10,dct:dateAccepted,2017-09-27
10,ifo:internal_reference_id,
10,ifo:ctd_number,"CTD2.7.6, 2.7.3"
11,rdf:type,bibo:Article
11,dct:references,27860410
11,ifo:internal_reference_id,
12,rdf:type,bibo:Document
12,rdfs:label,社内資料；海外第Ⅲ相二重盲検比較試験（単剤投与試験）[EFC14092試験]
12,dct:dateAccepted,2017-09-27
12,ifo:internal_reference_id,
12,ifo:ctd_number,"CTD2.7.6, 2.7.3, 2.7.4"
13,rdf:type,bibo:Article
13,dct:references,27856432
13,ifo:internal_reference_id,
14,rdf:type,bibo:Document
14,rdfs:label,社内資料；国内第Ⅲ相二重盲検試験（メトトレキサート以外のDMARDs併用又は単剤投与試験）[LTS13618試験]
14,dct:dateAccepted,2017-09-27
14,ifo:internal_reference_id,
14,ifo:ctd_number,"CTD2.7.6, 2.7.3"
15,rdf:type,bibo:Document
15,rdfs:label,社内資料；海外第Ⅲ相二重盲検比較試験[SFY13370試験]
15,dct:dateAccepted,2017-09-27
15,ifo:internal_reference_id,
15,ifo:ctd_number,"CTD2.7.6, 2.7.3, 2.7.4"
16,rdf:type,bibo:Document
16,rdfs:label,社内資料；悪性腫瘍発現頻度に関する検討
16,dct:dateAccepted,2017-09-27
16,ifo:internal_reference_id,
16,ifo:ctd_number,CTD2.7.4
17,rdf:type,bibo:Document
17,rdfs:label,社内資料；IL-6Rαに対するサリルマブの結合親和性
17,dct:dateAccepted,2017-09-27
17,ifo:internal_reference_id,
17,ifo:ctd_number,CTD2.6.2
18,rdf:type,bibo:Document
18,rdfs:label,社内資料；サリルマブのFcエフェクター機能活性の検討
18,dct:dateAccepted,2017-09-27
18,ifo:internal_reference_id,
18,ifo:ctd_number,CTD2.6.2
19,rdf:type,bibo:Document
19,rdfs:label,社内資料；サリルマブによるヒトIL-6とヒトIL-6Rαの結合阻害
19,dct:dateAccepted,2017-09-27
19,ifo:internal_reference_id,
19,ifo:ctd_number,CTD2.6.2
20,rdf:type,bibo:Document
20,rdfs:label,社内資料；IL-6Rα及びgp130活性化を介したIL-6シグナル伝達阻害及び細胞増殖抑制
20,dct:dateAccepted,2017-09-27
20,ifo:internal_reference_id,
20,ifo:ctd_number,CTD2.6.2
21,rdf:type,bibo:Document
21,rdfs:label,社内資料；sIL-6Rα介在性IL-6トランスシグナリング阻害
21,dct:dateAccepted,2017-09-27
21,ifo:internal_reference_id,
21,ifo:ctd_number,CTD2.6.2
22,rdf:type,bibo:Document
22,rdfs:label,社内資料；抗マウスIL-6Rα相同抗体（REGN844）の作製
22,dct:dateAccepted,2017-09-27
22,ifo:internal_reference_id,
22,ifo:ctd_number,CTD2.6.2
23,rdf:type,bibo:Document
23,rdfs:label,社内資料；マウスIL-6Rαに対するREGN844の結合親和性
23,dct:dateAccepted,2017-09-27
23,ifo:internal_reference_id,
23,ifo:ctd_number,CTD2.6.2
24,rdf:type,bibo:Document
24,rdfs:label,社内資料；REGN844による固定化ヒトIL-6に対するマウスIL-6Rα二量体の結合阻害
24,dct:dateAccepted,2017-09-27
24,ifo:internal_reference_id,
24,ifo:ctd_number,CTD2.6.2
25,rdf:type,bibo:Document
25,rdfs:label,"社内資料；REGN844によるIL-6 介在性マウスB 細胞増殖の抑制"
25,dct:dateAccepted,2017-09-27
25,ifo:internal_reference_id,
25,ifo:ctd_number,CTD2.6.2
26,rdf:type,bibo:Document
26,rdfs:label,社内資料；マウス急性炎症モデルにおけるサリルマブの作用
26,dct:dateAccepted,2017-09-27
26,ifo:internal_reference_id,
26,ifo:ctd_number,CTD2.6.2
27,rdf:type,bibo:Document
27,rdfs:label,社内資料；REGN844によるマウスにおけるテレビン油誘発急性炎症の抑制
27,dct:dateAccepted,2017-09-27
27,ifo:internal_reference_id,
27,ifo:ctd_number,CTD2.6.2
28,rdf:type,bibo:Document
28,rdfs:label,社内資料；REGN844によるDBA/1Jマウスコラーゲン誘発関節炎における関節の炎症及び骨侵食の軽減
28,dct:dateAccepted,2017-09-27
28,ifo:internal_reference_id,
28,ifo:ctd_number,CTD2.6.2
29,rdf:type,bibo:Document
29,rdfs:label,社内資料；母集団薬物動態解析
29,dct:dateAccepted,2017-09-27
29,ifo:internal_reference_id,
29,ifo:ctd_number,CTD2.7.2
30,rdf:type,bibo:Document
30,rdfs:label,社内資料；分布容積
30,dct:dateAccepted,2017-09-27
30,ifo:internal_reference_id,
30,ifo:ctd_number,CTD2.7.2
31,rdf:type,bibo:Document
31,rdfs:label,社内資料；胎盤通過性
31,dct:dateAccepted,2017-09-27
31,ifo:internal_reference_id,
31,ifo:ctd_number,CTD2.6.4
32,rdf:type,bibo:Article
32,dct:references,12850341
32,ifo:internal_reference_id,
33,rdf:type,bibo:Article
33,dct:references,12850343
33,ifo:internal_reference_id,
34,rdf:type,bibo:Article
34,dct:references,21555507
34,ifo:internal_reference_id,
35,rdf:type,bibo:Article
35,dct:references,21430660
35,ifo:internal_reference_id,
36,rdf:type,bibo:Article
36,dct:references,26054042
36,ifo:internal_reference_id,
37,rdf:type,bibo:Document
37,rdfs:label,社内資料；反復投与毒性試験／安全性薬理試験
37,dct:dateAccepted,2017-09-27
37,ifo:internal_reference_id,
37,ifo:ctd_number,"CTD2.6.6, 2.6.2"
38,rdf:type,bibo:Document
38,rdfs:label,社内資料；副次的薬理試験
38,dct:dateAccepted,2017-09-27
38,ifo:internal_reference_id,
38,ifo:ctd_number,CTD2.6.2
39,rdf:type,bibo:Document
39,rdfs:label,社内資料；がん原性試験
39,dct:dateAccepted,2017-09-27
39,ifo:internal_reference_id,
39,ifo:ctd_number,CTD2.6.6
40,rdf:type,bibo:Document
40,rdfs:label,社内資料；生殖発生毒性試験
40,dct:dateAccepted,2017-09-27
40,ifo:internal_reference_id,
40,ifo:ctd_number,CTD2.6.6
41,rdf:type,bibo:Document
41,rdfs:label,社内資料；局所刺激性試験
41,dct:dateAccepted,2017-09-27
41,ifo:internal_reference_id,
41,ifo:ctd_number,CTD2.6.6
42,rdf:type,bibo:Document
42,rdfs:label,社内資料；免疫毒性試験
42,dct:dateAccepted,2017-09-27
42,ifo:internal_reference_id,
42,ifo:ctd_number,"CTD2.6.6, 2.4"
