subject,predicate,object
IF_0_3,dct:modified,2020-04
IF_0_3,pav:version,7
IF_0_4,rdf:value,876349
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,遺伝子組換え型血液凝固第Ⅷ因子製剤
IF_0_8,rdf:value,コバールトリイ静注用
IF_0_9,,
IF_0_10,rdf:value,"生物由来製品
処方箋医薬品：注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,"オクトコグ ベータ（遺伝子組換え）（JAN）"
IF_0_12,rdf:value,"Octocog Beta（Genetical Recombination)（JAN）, octocog alfa（INN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：バイエル薬品株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"バイエル薬品株式会社・コンタクトセンター
TEL：0120-106-398
受付時間：9：00～17：30（土・日・祝日・弊社休日を除く）
医療関係者向けホームページ https://pharma-navi.bayer.jp/"
IF_0_19,rdf:value,2020-04
IF_1,,
IF_1_1,rdf:value,"コバールトリイ［一般名：オクトコグ ベータ（遺伝子組換え）］は、ドイツ・Bayer HealthCare社によって開発された非修飾、完全長の遺伝子組換え型ヒト血液凝固第Ⅷ因子（rFⅧ）製剤で、従来より血友病A治療薬として使用されているrFⅧ製剤コージネイトFS［一般名：オクトコグ アルファ（遺伝子組換え）］と同じ2332個のアミノ酸配列を有する糖タンパク質（分子量：約350,000）である。
コバールトリイの起源は、1980年代から開発が開始されたrFⅧ製剤コージネイト［一般名：オクトコグ アルファ（遺伝子組換え）］に遡る。コージネイトは、1988年より臨床試験が開始され、米国及び欧州で、それぞれ1993年及び1994年に承認、日本においても1993年に承認され、初めてのrFⅧ製剤として広く使用されてきた。また、第Ⅷ因子の安定化剤として、ショ糖を用いヒト血清アルブミンを含まないコージネイトFSは、米国及び欧州で2000年に承認され、日本においても2001年に承認された。
しかしながら、コージネイトFSの培養工程では、ヒト血漿タンパク溶液が産生培地に用いられてきた。ヒト血漿タンパク溶液は、長年にわたり臨床使用されており、ウイルス等の伝播報告はなく、その安全性は十分に確立されていると考えられているが、将来における未知の感染性因子の潜在的な混入リスクを完全には否定できないという課題があった。
この課題を解決すべく、コージネイトFSからの改良点として、本剤の製造工程では、新たに樹立したセルバンクが用いられ、培養工程及び精製工程からすべての動物とヒト由来の添加物が除去された。また、非エンベロープウイルスの除去率を高めるためのウイルスろ過膜（ナノフィルトレーション）も導入されている。これらの変更により、ヒト血液に起因する感染症の潜在的なリスクを排除することが期待できる。
なお、出血時補充療法及び定期補充療法の2種類の臨床での投与法をそれぞれ反映する血友病Aマウス出血モデルを用いて、本剤とコージネイトFSの止血効果を比較した結果、いずれのモデルにおいても、本剤はコージネイトFSと同等であることが示されている1）。
本剤は、治療歴のある12歳以上の重症血友病A患者を対象とした海外第Ⅰ/Ⅱ/Ⅲ相臨床試験（試験12954：パートB）2）、治療歴のある12歳以上の重症血友病A患者を対象とした海外第Ⅰ/Ⅱ/Ⅲ相臨床試験（試験12954：パートB）の継続投与期間3）、治療歴のある12歳以上の重症血友病A患者を対象とした国際共同第Ⅱ/Ⅲ相臨床試験（試験14319）4）で週2回又は週3回投与による定期補充療法、また治療歴のある12歳以下の小児重症血友病A患者を対象とした海外第Ⅲ相臨床試験（試験13400）5）で週2回、週3回又は隔日投与による定期補充療法の有効性・安全性が確認された。日本においては、2015年6月に製造販売承認申請を行い、2016年3月に「血液凝固第Ⅷ因子欠乏患者における出血傾向の抑制」の効能又は効果で承認された。"
IF_1_1,dct:references,"1, 2, 3, 4, 5"
