subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,630004_6343447D1025_1_07
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,630004_6343447D1025_1_002_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"6343447D1025, 6343447D2021, 6343447D3028, 6343447D4024, 6343447D5020"
,,
6343447D1025,ifo:if_0_8,コバールトリイ静注用250
6343447D1025,ifo:if_0_9,凍結乾燥注射剤
6343447D1025,ifo:if_0_11,"1バイアル中オクトコグ ベータ（遺伝子組換え）250国際単位含有（添付溶解液 2.5mL）"
6343447D1025,ifo:if_0_13,2016-03-28
6343447D1025,ifo:if_0_14,2016-05-25
6343447D1025,ifo:if_0_15,2016-06-29
6343447D1025,ifo:if_10_8,22800AMX00392000
6343447D1025,ifo:yakka_code,6343447D1025
6343447D1025,ifo:yj_code,6343447D1025
6343447D1025,ifo:hot_code,1248937010101
6343447D1025,ifo:resept_code,622489301
,,
6343447D2021,ifo:if_0_8,コバールトリイ静注用500
6343447D2021,ifo:if_0_9,凍結乾燥注射剤
6343447D2021,ifo:if_0_11,"1バイアル中オクトコグ ベータ（遺伝子組換え）500国際単位含有（添付溶解液 2.5mL）"
6343447D2021,ifo:if_0_13,42457
6343447D2021,ifo:if_0_14,42515
6343447D2021,ifo:if_0_15,42550
6343447D2021,ifo:if_10_8,22800AMX00393000
6343447D2021,ifo:yakka_code,6343447D2021
6343447D2021,ifo:yj_code,6343447D2021
6343447D2021,ifo:hot_code,1248944010101
6343447D2021,ifo:resept_code,622489401
,,
6343447D3028,ifo:if_0_8,コバールトリイ静注用1000
6343447D3028,ifo:if_0_9,凍結乾燥注射剤
6343447D3028,ifo:if_0_11,"1バイアル中オクトコグ ベータ（遺伝子組換え）1000国際単位含有（添付溶解液 2.5mL）"
6343447D3028,ifo:if_0_13,42457
6343447D3028,ifo:if_0_14,42515
6343447D3028,ifo:if_0_15,42550
6343447D3028,ifo:if_10_8,22800AMX00394000
6343447D3028,ifo:yakka_code,6343447D3028
6343447D3028,ifo:yj_code,6343447D3028
6343447D3028,ifo:hot_code,1248951010101
6343447D3028,ifo:resept_code,622489501
,,
6343447D4024,ifo:if_0_8,コバールトリイ静注用2000
6343447D4024,ifo:if_0_9,凍結乾燥注射剤
6343447D4024,ifo:if_0_11,"1バイアル中オクトコグ ベータ（遺伝子組換え）2000国際単位含有（添付溶解液 2.5mL）"
6343447D4024,ifo:if_0_13,42457
6343447D4024,ifo:if_0_14,42515
6343447D4024,ifo:if_0_15,42550
6343447D4024,ifo:if_10_8,22800AMX00395000
6343447D4024,ifo:yakka_code,6343447D4024
6343447D4024,ifo:yj_code,6343447D4024
6343447D4024,ifo:hot_code,1248968010101
6343447D4024,ifo:resept_code,622489601
,,
6343447D5020,ifo:if_0_8,コバールトリイ静注用3000
6343447D5020,ifo:if_0_9,凍結乾燥注射剤
6343447D5020,ifo:if_0_11,"1バイアル中オクトコグ ベータ（遺伝子組換え）3000国際単位含有（添付溶解液 2.5mL）"
6343447D5020,ifo:if_0_13,42457
6343447D5020,ifo:if_0_14,42515
6343447D5020,ifo:if_0_15,42550
6343447D5020,ifo:if_10_8,22800AMX00396000
6343447D5020,ifo:yakka_code,6343447D5020
6343447D5020,ifo:yj_code,6343447D5020
6343447D5020,ifo:hot_code,1248975010101
6343447D5020,ifo:resept_code,622489701
