subject,predicate,object
IF_0_3,dct:modified,2020-07
IF_0_3,pav:version,7
IF_0_4,rdf:value,872399
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,潰瘍性大腸炎治療剤
IF_0_8,rdf:value,リアルダ錠1200㎎
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,メサラジン（JAN）
IF_0_12,rdf:value,"Mesalazine（JAN）, mesalazine（INN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：持田製薬株式会社, 提携：Nogra Pharma"
IF_0_17,rdf:value,
IF_0_18,rdf:value,持田製薬株式会社 くすり相談窓口
IF_0_19,rdf:value,2019-11
IF_1,,
IF_1_1,rdf:value,"潰瘍性大腸炎は、「主として粘膜を侵し、しばしば、びらんや潰瘍を形成する大腸の原因不明のびまん性非特異性炎症」と定義される慢性難治性炎症性腸疾患で、厚生労働省の特定疾患に指定されている1)。代表的な臨床症状は、持続性または反復性の血便もしくは粘血便で、しばしば、下痢、腹痛、発熱を伴うが、罹患部位、罹患範囲及び炎症の程度によって、多彩な臨床症状を呈する2)。
 潰瘍性大腸炎は発症原因が明確にはわかっていないため、現在でも根治的な治療法は確立されておらず、寛解と再燃を繰り返すため長期にわたる内科治療が必要となっている。内科治療の基本は病態に応じた治療を選択し症状をコントロールすることであり、治療の目標は速やかに寛解導入を図り、寛解を長期に維持することである。内科治療のうち、5-アミノサリチル酸（化学名、一般名はメサラジン）製剤（以後は5-ASA製剤と表記）は、直腸炎型の患者や軽症から中等症の左側大腸炎型・全大腸炎型の患者の寛解導入療法及び寛解維持療法の基本的治療薬とされており、潰瘍性大腸炎の活動期及び寛解期を通じて長期に渡り使用されている3)。
 5-ASA製剤は、有効成分であるメサラジンが病変部位である大腸粘膜で作用して炎症を抑制すると考えられており、その治療効果は大腸粘膜中濃度と相関すると報告されている4)。メサラジンはそのまま経口投与すると速やかに上部消化管で吸収されるため5)、上部消化管でのメサラジンの吸収を抑制し大腸に効率的にメサラジンを送達するよう工夫した経口剤が開発されている。国内ではサラゾスルファピリジン錠、時間依存型メサラジン放出調節製剤及びpH依存型メサラジン放出調節製剤が承認されている。これまでの潰瘍性大腸炎治療指針では、寛解導入時には、国内外の報告より高用量の効果が高いことから、病変範囲及び病型等によらず、時間依存型メサラジン放出調節製剤では4,000mg/日が望ましく、pH依存型メサラジン放出調節製剤では3,600mg/日が望ましいとされている3, 6)。そのため、現在の活動期の潰瘍性大腸炎に対する経口5-ASA製剤による治療の主体は高用量であると考えられる。
 経口5-ASA製剤による潰瘍性大腸炎の治療においては、潰瘍性大腸炎が慢性疾患であり若年の患者が多いこともあり、服薬アドヒアランスの不良が課題とされている。経口5-ASA製剤の服薬アドヒアランスを良好に維持するには、複雑な処方は服薬アドヒアランスに影響するとされ、服薬回数及び服薬錠数が少ない方が有効とされている7)。国内の経口5-ASA製剤は、時間依存型メサラジン放出調節製剤が寛解維持治療に1日1回投与が認められているのみで、活動期から寛解期を通して1日1回での投与が可能な経口5-ASA製剤はない。また、国内の経口5-ASA製剤の1日あたりの服薬錠数は3～16錠であることから、錠数を少なくすることも有用である。
 リアルダ錠は、Cosmo Pharmaceutical社（アイルランド）が開発したメサラジンの経口DDS（Drug Delivery System）製剤である。本剤はメサラジンを親水性基剤及び親油性基剤からなるマトリックス中に分散させた素錠部にpH 応答性の高分子フィルムによるコーティングを施している。そのため、胃内および小腸付近でのメサラジンの放出が抑制され、本剤が大腸付近へ移行すると、高分子フィルムが溶解して素錠部が腸液にさらされ、親水性基剤及び親油性基剤が腸液の素錠部内部への浸透を抑制し、メサラジンが徐々に消化管中に放出される。すなわち、本剤はメサラジンを標的部位である大腸に送達するとともに、大腸全域に持続的に放出することが可能な放出制御製剤である。
 リアルダ錠は、オランダで2006年12月に世界で初めて承認された。その後、Lialda®/Mezavant®等の商品名で海外の各国でも承認され、2016年2月時点で、世界37ヵ国で軽症から中等症の潰瘍性大腸炎の寛解導入及び寛解維持の承認を取得している。
 本邦では、持田製薬株式会社がリアルダ錠の開発・販売権をShire社（アイルランド）の子会社であるShire Pharmaceuticals Group社（英国）から取得、国内での開発に着手し、2016年9月に「潰瘍性大腸炎（重症を除く）」に対する新規DDSの経口メサラジン製剤として承認を取得した。"
IF_1_1,dct:references,"1, 2, 3, 4, 5, 6"
