subject,predicate,object
https://www.info.pmda.go.jp/go/interview/1/790005_2399009F4024_1_M07_1F,ifo:if_id,790005_2399009F4024_1_M07_1F
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/790005_2399009F4024_1_07,ifo:pi_id,790005_2399009F4024_1_07
790005_2399009F4024_1_M07_1F,ifo:yjcode,2399009F4024
,,
2399009F4024,ifo:if_0_8,リアルダ錠1200ｍｇ
2399009F4024,ifo:if_0_9,フィルムコーティング錠（放出制御製剤－素錠部：マトリックス型徐放性/被膜部：pH応答性）
2399009F4024,ifo:if_0_11,1錠中日局 メサラジン1200mg含有
2399009F4024,ifo:if_0_13,2016-09-28
2399009F4024,ifo:if_0_14,2016-11-18
2399009F4024,ifo:if_0_15,2016-11-28
2399009F4024,ifo:if_10_8,22800AMX00689000
2399009F4024,ifo:yakka_code,2399009F4024
2399009F4024,ifo:yj_code,2399009F4024
2399009F4024,ifo:hot_code,125170801
2399009F4024,ifo:resept_code,622517001
