subject,predicate,object,
https://www.info.pmda.go.jp/go/interview/1/400059_3969020F1020_1_013_1F,ifo:if_id,400059_3969020F1020_1_013_1F,https://www.info.pmda.go.jp/go/interview/2/400059_3969020F1020_2_012_1F
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/400059_3969020F1020_1_11,ifo:pi_id,400059_3969020F1020_1_11,
400059_3969020F1020_1_013_1F,ifo:yjcode,"3969020F1020, 3969020F2026",
,,,
3969020F1020,ifo:if_0_8,ルセフィ錠2.5mg,
3969020F1020,ifo:if_0_9,フィルムコーティング錠,
3969020F1020,ifo:if_0_11,1錠中ルセオグリフロジンとして2.5mg含有,
3969020F1020,ifo:if_0_13,2014/3/24,
3969020F1020,ifo:if_0_14,2014/5/23,
3969020F1020,ifo:if_0_15,2014/5/23,
3969020F1020,ifo:if_10_8,22600AMX00540000,
3969020F1020,ifo:yakka_code,3969020F1020,
3969020F1020,ifo:yj_code,3969020F1020,
3969020F1020,ifo:hot_code,123357503,
3969020F1020,ifo:resept_code,622335701,
,,,
3969020F2026,ifo:if_0_8,ルセフィ錠5mg,
3969020F2026,ifo:if_0_9,フィルムコーティング錠,
3969020F2026,ifo:if_0_11,1錠中ルセオグリフロジン5mg含有,
3969020F2026,ifo:if_0_13,2014/3/24,
3969020F2026,ifo:if_0_14,2014/5/23,
3969020F2026,ifo:if_0_15,2014/5/23,
3969020F2026,ifo:if_10_8,22600AMX00541000,
3969020F2026,ifo:yakka_code,3969020F2026,
3969020F2026,ifo:yj_code,3969020F2026,
3969020F2026,ifo:hot_code,123358203,
3969020F2026,ifo:resept_code,622335801,
