subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,24535625
1,ifo:internal_reference_id,
2,rdf:type,bibo:Document
2,rdfs:label,社内資料
2,dct:dateAccepted,2014-3-24
2,ifo:internal_reference_id,T26C007
2,ifo:ctd_number,CTD 2.7.6.1
3,rdf:type,bibo:Document
3,rdfs:label,社内資料
3,dct:dateAccepted,2014-3-24
3,ifo:internal_reference_id,T26C008
3,ifo:ctd_number,CTD 2.7.6.2
4,rdf:type,bibo:Article
4,dct:references,25855342
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,社内資料
5,dct:dateAccepted,2014-3-24
5,ifo:internal_reference_id,T26C009
5,ifo:ctd_number,CTD 2.7.6.4
6,rdf:type,bibo:Document
6,rdfs:label,社内資料
6,dct:dateAccepted,2014-3-24
6,ifo:internal_reference_id,T26C010
6,ifo:ctd_number,CTD 2.7.6.7
7,rdf:type,bibo:Document
7,rdfs:label,社内資料
7,dct:dateAccepted,2014-3-24
7,ifo:internal_reference_id,T26C011
7,ifo:ctd_number,CTD 2.7.6.17
8,rdf:type,bibo:Article
8,dct:references,24597840
8,ifo:internal_reference_id,
9,rdf:type,bibo:Document
9,rdfs:label,社内資料
9,dct:dateAccepted,2014-3-24
9,ifo:internal_reference_id,T26C012
9,ifo:ctd_number,CTD 2.7.6.18
10,rdf:type,bibo:Article
10,dct:references,24673496
10,ifo:internal_reference_id,
11,rdf:type,bibo:Document
11,rdfs:label,社内資料
11,dct:dateAccepted,2014-3-24
11,ifo:internal_reference_id,T26C001
11,ifo:ctd_number,CTD 2.7.6.19
12,rdf:type,bibo:Article
12,dct:references,24708292
12,ifo:internal_reference_id,
13,rdf:type,bibo:Document
13,rdfs:label,社内資料
13,dct:dateAccepted,2014-3-24
13,ifo:internal_reference_id,T26C002
13,ifo:ctd_number,CTD 2.7.6.20
14,rdf:type,bibo:Article
14,dct:references,25971406
14,ifo:internal_reference_id,
15,rdf:type,bibo:Document
15,rdfs:label,社内資料
15,dct:dateAccepted,2014-3-24
15,ifo:internal_reference_id,T26C003
15,ifo:ctd_number,CTD 2.7.6.23
16,rdf:type,bibo:Article
16,dct:references,26221523
16,ifo:internal_reference_id,
17,rdf:type,bibo:Document
17,rdfs:label,社内資料
17,dct:dateAccepted,2014-3-24
17,ifo:internal_reference_id,T26C004
17,ifo:ctd_number,CTD 2.7.6.21
18,rdf:type,bibo:Document
18,rdfs:label,社内資料
18,dct:dateAccepted,2014-3-24
18,ifo:internal_reference_id,T26C005
18,ifo:ctd_number,CTD 2.7.6.24
19,rdf:type,bibo:Article
19,dct:references,26718606
19,ifo:internal_reference_id,
20,rdf:type,bibo:Document
20,rdfs:label,社内資料
20,dct:dateAccepted,2014-3-24
20,ifo:internal_reference_id,T26C006
20,ifo:ctd_number,CTD 2.7.6.22
21,rdf:type,bibo:Article
21,dct:references,29448833
21,ifo:internal_reference_id,
22,rdf:type,bibo:Document
22,rdfs:label,社内資料
22,dct:dateAccepted,
22,ifo:internal_reference_id,T26C015
22,ifo:ctd_number,
23,rdf:type,bibo:Article
23,dct:references,28502112
23,ifo:internal_reference_id,
24,rdf:type,bibo:Document
24,rdfs:label,社内資料
24,dct:dateAccepted,
24,ifo:internal_reference_id,T26C016
24,ifo:ctd_number,
25,rdf:type,bibo:Article
25,dct:references,8282810
25,ifo:internal_reference_id,
26,rdf:type,bibo:Article
26,dct:references,21410690
26,ifo:internal_reference_id,
27,rdf:type,bibo:Document
27,rdfs:label,社内資料
27,dct:dateAccepted,2014-3-24
27,ifo:internal_reference_id,T26P001
27,ifo:ctd_number,CTD 2.6.2.2
28,rdf:type,bibo:Document
28,rdfs:label,社内資料
28,dct:dateAccepted,2014-3-24
28,ifo:internal_reference_id,T26P002
28,ifo:ctd_number,CTD 2.6.2.2
29,rdf:type,bibo:Document
29,rdfs:label,社内資料
29,dct:dateAccepted,2014-3-24
29,ifo:internal_reference_id,T26P003
29,ifo:ctd_number,CTD 2.6.2.2
30,rdf:type,bibo:Article
30,dct:references,26003086
30,ifo:internal_reference_id,
31,rdf:type,bibo:Document
31,rdfs:label,社内資料
31,dct:dateAccepted,2014-3-24
31,ifo:internal_reference_id,T26P004
31,ifo:ctd_number,CTD 2.6.2.2
32,rdf:type,bibo:Document
32,rdfs:label,社内資料
32,dct:dateAccepted,2014-3-24
32,ifo:internal_reference_id,T26P005
32,ifo:ctd_number,CTD 2.6.2.2
33,rdf:type,bibo:Document
33,rdfs:label,社内資料
33,dct:dateAccepted,2014-3-24
33,ifo:internal_reference_id,T26P006
33,ifo:ctd_number,CTD 2.6.2.2
34,rdf:type,bibo:Document
34,rdfs:label,社内資料
34,dct:dateAccepted,2014-3-24
34,ifo:internal_reference_id,T26P007
34,ifo:ctd_number,CTD 2.6.2.2
35,rdf:type,bibo:Document
35,rdfs:label,社内資料
35,dct:dateAccepted,2014-3-24
35,ifo:internal_reference_id,T26P008
35,ifo:ctd_number,CTD 2.6.2.2
36,rdf:type,bibo:Document
36,rdfs:label,社内資料
36,dct:dateAccepted,2014-3-24
36,ifo:internal_reference_id,T26P009
36,ifo:ctd_number,CTD 2.6.2.2
37,rdf:type,bibo:Document
37,rdfs:label,社内資料
37,dct:dateAccepted,2014-3-24
37,ifo:internal_reference_id,T26A001
37,ifo:ctd_number,CTD 2.7.6.3
38,rdf:type,bibo:Document
38,rdfs:label,社内資料
38,dct:dateAccepted,2014-3-24
38,ifo:internal_reference_id,T26P010
38,ifo:ctd_number,CTD 2.6.2.2
39,rdf:type,bibo:Document
39,rdfs:label,社内資料
39,dct:dateAccepted,2014-3-24
39,ifo:internal_reference_id,T26P011
39,ifo:ctd_number,CTD 2.6.2.2
40,rdf:type,bibo:Document
40,rdfs:label,社内資料
40,dct:dateAccepted,2014-3-24
40,ifo:internal_reference_id,T26P012
40,ifo:ctd_number,CTD 2.6.2.2
41,rdf:type,bibo:Document
41,rdfs:label,社内資料
41,dct:dateAccepted,2014-3-24
41,ifo:internal_reference_id,T26P013
41,ifo:ctd_number,CTD 2.6.2.2
42,rdf:type,bibo:Document
42,rdfs:label,社内資料
42,dct:dateAccepted,2014-3-24
42,ifo:internal_reference_id,T26P014
42,ifo:ctd_number,CTD 2.6.2.2
43,rdf:type,bibo:Document
43,rdfs:label,社内資料
43,dct:dateAccepted,2014-3-24
43,ifo:internal_reference_id,T26A004
43,ifo:ctd_number,CTD 2.7.6.9
44,rdf:type,bibo:Document
44,rdfs:label,社内資料
44,dct:dateAccepted,2014-3-24
44,ifo:internal_reference_id,T26A005
