subject,predicate,object
IF_0_3,dct:modified,2020-09
IF_0_3,pav:version,8
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,持続型赤血球増血刺激因子製剤
IF_0_8,rdf:value,エポエチン　ベータ　ペゴル(遺伝子組換え)注
IF_0_9,,
IF_0_10,rdf:value,"生物由来製品、劇薬
処方箋医薬品（注意―医師等の処方箋により使用すること）"
IF_0_11,,
IF_0_12,rdf:value,"エポエチン ベータ ペゴル（遺伝子組換え）（JAN）"
IF_0_12,rdf:value,"Epoetin Beta Pegol（Genetical Recombination）（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元 中外製薬株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"中外製薬株式会社 メディカルインフォメーション部
TEL：0120-189706 FAX：0120-189705
医療関係者向けホームページ
https://www.chugai-pharm.co.jp/"
IF_0_19,rdf:value,2020-01
IF_1,,
