subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,450045_3999432G1020_1_07
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,450045_3999432G1020_1_008_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3999432G8024, 3999432G1020, 3999432G2026, 3999432G3022, 3999432G4029, 3999432G5025, 3999432G6021, 3999432G7028"
,,
3999432G8024,ifo:if_0_8,"ミルセラ注シリンジ12.5μg
"
3999432G8024,ifo:if_0_9,注射剤
3999432G8024,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を12.5μg含有"
3999432G8024,ifo:if_0_13,2018-03-19
3999432G8024,ifo:if_0_14,2018-05-30
3999432G8024,ifo:if_0_15,2018-06-07
3999432G8024,ifo:if_10_8,23000AMX00442
3999432G8024,ifo:yakka_code,"3999432G8024
"
3999432G8024,ifo:yj_code,"3999432G8024
"
3999432G8024,ifo:hot_code,126075501
3999432G8024,ifo:resept_code,622607501
,,
3999432G1020,ifo:if_0_8,"ミルセラ注シリンジ25μg
3999432G1020
3999432G1020
120688301
622068801"
3999432G1020,ifo:if_0_9,注射剤
3999432G1020,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を25μg含有"
3999432G1020,ifo:if_0_13,2011-04-22
3999432G1020,ifo:if_0_14,2011-07-19
3999432G1020,ifo:if_0_15,2011-07-20
3999432G1020,ifo:if_10_8,22300AMX00543
3999432G1020,ifo:yakka_code,3999432G1020
3999432G1020,ifo:yj_code,3999432G1020
3999432G1020,ifo:hot_code,120688301
3999432G1020,ifo:resept_code,622068801
,,
3999432G2026,ifo:if_0_8,"ミルセラ注シリンジ50μg
"
3999432G2026,ifo:if_0_9,注射剤
3999432G2026,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を50μg含有"
3999432G2026,ifo:if_0_13,2011-04-22
3999432G2026,ifo:if_0_14,2011-07-19
3999432G2026,ifo:if_0_15,2011-07-20
3999432G2026,ifo:if_10_8,22300AMX00544
3999432G2026,ifo:yakka_code,3999432G2026
3999432G2026,ifo:yj_code,3999432G2026
3999432G2026,ifo:hot_code,120689001
3999432G2026,ifo:resept_code,622068901
,,
3999432G3022,ifo:if_0_8,"ミルセラ注シリンジ75μg
"
3999432G3022,ifo:if_0_9,注射剤
3999432G3022,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を75μg含有"
3999432G3022,ifo:if_0_13,2011-04-22
3999432G3022,ifo:if_0_14,2011-07-19
3999432G3022,ifo:if_0_15,2011-07-20
3999432G3022,ifo:if_10_8,22300AMX00546
3999432G3022,ifo:yakka_code,3999432G3022
3999432G3022,ifo:yj_code,3999432G3022
3999432G3022,ifo:hot_code,120690601
3999432G3022,ifo:resept_code,622069001
,,
3999432G4029,ifo:if_0_8,"ミルセラ注シリンジ100μg
"
3999432G4029,ifo:if_0_9,注射剤
3999432G4029,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を100μg含有"
3999432G4029,ifo:if_0_13,2011-04-22
3999432G4029,ifo:if_0_14,2011-07-19
3999432G4029,ifo:if_0_15,2011-07-20
3999432G4029,ifo:if_10_8,22300AMX00545
3999432G4029,ifo:yakka_code,3999432G4029
3999432G4029,ifo:yj_code,3999432G4029
3999432G4029,ifo:hot_code,120691301
3999432G4029,ifo:resept_code,622069101
,,
3999432G5025,ifo:if_0_8,"ミルセラ注シリンジ150μg
"
3999432G5025,ifo:if_0_9,注射剤
3999432G5025,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を150μg含有"
3999432G5025,ifo:if_0_13,2011-04-22
3999432G5025,ifo:if_0_14,2011-07-19
3999432G5025,ifo:if_0_15,2011-07-20
3999432G5025,ifo:if_10_8,22300AMX00553
3999432G5025,ifo:yakka_code,3999432G5025
3999432G5025,ifo:yj_code,3999432G5025
3999432G5025,ifo:hot_code,120692001
3999432G5025,ifo:resept_code,622069201
,,
3999432G6021,ifo:if_0_8,"ミルセラ注シリンジ200μg
"
3999432G6021,ifo:if_0_9,注射剤
3999432G6021,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を200μg含有"
3999432G6021,ifo:if_0_13,2011-04-22
3999432G6021,ifo:if_0_14,2011-07-19
3999432G6021,ifo:if_0_15,2011-07-20
3999432G6021,ifo:if_10_8,22300AMX00527
3999432G6021,ifo:yakka_code,3999432G6021
3999432G6021,ifo:yj_code,3999432G6021
3999432G6021,ifo:hot_code,120693701
3999432G6021,ifo:resept_code,622069301
,,
3999432G7028,ifo:if_0_8,"ミルセラ注シリンジ250μg
"
3999432G7028,ifo:if_0_9,注射剤
3999432G7028,ifo:if_0_11,"エポエチン ベータ ペゴル（遺伝子組換え）を250μg含有"
3999432G7028,ifo:if_0_13,2011-04-22
3999432G7028,ifo:if_0_14,2011-07-19
3999432G7028,ifo:if_0_15,2011-07-20
3999432G7028,ifo:if_10_8,22300AMX00528
3999432G7028,ifo:yakka_code,3999432G7028
3999432G7028,ifo:yj_code,3999432G7028
3999432G7028,ifo:hot_code,120694401
3999432G7028,ifo:resept_code,622069401
