subject,predicate,object
IF_0_3,dct:modified,2020-05
IF_0_3,pav:version,6
IF_0_4,rdf:value,874291
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗悪性腫瘍剤　プロテアソーム阻害剤
IF_0_8,rdf:value,イキサゾミブクエン酸エステルカプセル
IF_0_9,,
IF_0_10,rdf:value,毒薬、処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,イキサゾミブクエン酸エステル（JAN）
IF_0_12,rdf:value,"Ixazomib Citrate（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"武田薬品工業株式会社
"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"武田薬品工業株式会社　くすり相談室
フリーダイヤル　0120-566-587
受付時間　9：00 ～ 17：30（土日祝日･弊社休業日を除く）
医療関係者向けホームページ　https://www.takedamed.com/"
IF_0_19,rdf:value,2020-03
IF_1,,
IF_1_1,rdf:value,"ニンラーロカプセル（一般名：イキサゾミブクエン酸エステル；以下、本剤）は、Millennium社（Takeda
Oncology Company）により創製された経口の低分子20S プロテアソーム阻害剤である。ユビキチン・
プロテアソーム系は、蛋白質の恒常性を保つ主要な調節系であり、細胞が蛋白質（増殖制御、細胞
周期調節及びアポトーシスに関与する蛋白質など）を分解する重要な機構である。20Sプロテアソー
ム系の阻害は、多発性骨髄腫及びマントル細胞リンパ腫の治療に有用であることが明らかになって
いる。
本剤開発以前には、経口投与可能なプロテアソーム阻害剤はなかったことから、本剤は、有効性及
び安全性のみならず利便性も考慮した新規の経口のプロテアソーム阻害剤として開発された。
日本人を含む再発又は難治性の多発性骨髄腫患者を対象とした本剤の主要な臨床試験である、国
際共同第Ⅲ相試験（C16010試験）では、レナリドミド及びデキサメタゾンに本剤を併用することに
より、プラセボを併用した場合と比較して、無増悪生存期間が有意に延長した。本剤は、米国で
は2015年11月に、欧州では2016年11月に、「レナリドミド及びデキサメタゾンと併用し、少なく
とも1つの前治療を受けた多発性骨髄腫患者の治療」の適応で承認されている。国内では「再発又は
難治性の多発性骨髄腫」の効能又は効果で、2017年3月に製造販売承認を取得した。なお、本剤は
2016 年2 月に、希少疾病用医薬品に指定されている。
また、日本人を含む自家造血幹細胞移植施行後の初発の多発性骨髄腫患者を対象とした本剤の主要
な臨床試験である、国際共同第Ⅲ相試験（C16019 試験）では、維持療法としての本剤の単独投与によ
り、プラセボ投与と比較して、無増悪生存期間が有意に延長した。国内では「多発性骨髄腫におけ
る自家造血幹細胞移植後の維持療法」の効能又は効果が、2020 年3 月に追加された。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"（1） ニンラーロカプセルは、経口のプロテアソーム阻害剤である。
本剤の活性本体であるイキサゾミブは、20Sプロテアソームのβ5サブユニットに選択的かつ可
逆的に結合し、そのキモトリプシン様活性を阻害することで腫瘍細胞のアポトーシスを誘導する。
（「Ⅵ. 薬効薬理に関する項目」の項参照）
（2） ニンラーロカプセルは、レナリドミド及びデキサメタゾンとの併用で、再発又は難治性の多発
性骨髄腫患者の無増悪生存期間を有意に延長させた。
再発又は難治性の多発性骨髄腫患者722例（日本人患者41例を含む）を対象※ 1とした国際共同第
Ⅲ相二重盲検比較試験（C16010試験）において、レナリドミド※ 2及びデキサメタゾン※ 3の併用下
で、無増悪生存期間の中央値は、本剤群20.6 ヵ月、プラセボ群14.7 ヵ月であった（ハザード比：
0.742、p=0.012、層別ログランク検定※ 4）。
※1 本試験では、1 ～ 3レジメンの前治療歴を有する患者を対象とした。また、いずれかの前治療の最終投与から60日以後の病
勢進行を再発とし、最終投与から60日以内の病勢進行を難治性とした。ただし、レナリドミド又はプロテアソーム阻害剤に難治
性の患者は除外した。
※ 2 レナリドミドの用法及び用量は、1日1回25mgを28日間を1サイクルとして、1 ～ 21日目に連日経口投与した後、7日間（22 ～
28日目）休薬した。
※ 3 デキサメタゾンの用法及び用量＊は、1日1回40mgを28日間を1サイクルとして、1、8、15、22日目に経口投与した。
＊ 国内における多発性骨髄腫におけるデキサメタゾンの用法及び用量
「通常、成人にはデキサメタゾンとして40mgを1日1回、4日間経口投与する。なお、投与量及び投与日数は、患者の状態
及び併用する他の抗悪性腫瘍剤により適宜減ずる。」
※4 前治療数（1レジメンvs2レジメン又は3レジメン）、プロテアソーム阻害剤投与（既投与vs未投与）、スクリーニング時のISS＊病
期分類（stageⅠ又はⅡvs stageⅢ）を層別因子とした。
＊ISS：International Staging System
（「Ⅴ.5（. 4）検証的試験」の項参照）
（3） ニンラーロカプセルは、単独投与による維持療法として、自家造血幹細胞移植施行後の初発の
多発性骨髄腫患者の無増悪生存期間を有意に延長させた。
自家造血幹細胞移植施行後の初発の多発性骨髄腫患者656例（日本人患者22例を含む）を対象※1と
した国際共同第Ⅲ相二重盲検比較試験（検証試験、C16019試験）において、プラセボを対照とし
て本剤を単独投与した※2。無増悪生存期間の中央値は、本剤群26.5 ヵ月、プラセボ群21.3 ヵ月で
あった（ハザード比：0.720、p=0.002、層別ログランク検定※3）。
※1 本試験では、地域の標準治療に準じた寛解導入療法、その後の大量メルファラン療法（200mg/m2）を含む前処置レジメン、
及び自家造血幹細胞移植を受けた初発の患者を対象とした。ただし、多発性骨髄腫が一次療法施行後に再発した患者、又
は一次療法に無反応であった患者（移植施行後に奏効が得られなかった患者を含む）は除外した。
※ 2 本剤の用法及び用量は、28日間を1 サイクルとし、最初の4サイクルは、イキサゾミブ3mgを週1回（28日サイクルの1、8 及び
15日目）経口投与し、最初の4サイクル中に忍容性が認められれば、サイクル5の1日目に4mg へと増量した。なお、イキサゾミ
ブ又はプラセボは、最長で約24ヵ月間、又は病勢進行若しくは忍容不能な毒性が確認されるまで（いずれか早い方まで）投与
した。
※3 寛解導入レジメン［プロテアソーム阻害剤のみ（免疫調節剤を含まない） vs 免疫調節剤のみ（プロテアソーム阻害剤を含まない）
vs プロテアソーム阻害剤及び免疫調節剤］、寛解導入前のISS 病期分類（stageⅠ vs stageⅡ又はⅢ）、自家造血幹細胞移
植施行後の奏効（CR 又はVGPR vs PR）＊を層別因子とした。
＊CR：完全奏効、VGPR：最良部分奏効、PR：部分奏効
（「Ⅴ.5（. 4）検証的試験」の項参照）
（4） ニンラーロカプセルは、28 日間を1 サイクルとして、１、8 及び15 日目に経口投与する。
〈再発又は難治性の多発性骨髄腫〉
再発又は難治性の多発性骨髄腫を対象としたレナリドミド及びデキサメタゾンとの併用にお
いて、通常、成人にはイキサゾミブとして1日1回4mgを空腹時に週1回、3週間（1、8及び
15日目）経口投与した後、13日間休薬（16 ～ 28日目）する。この4週間を1サイクルとし、投
与を繰り返す。なお、患者の状態により適宜減量する。
〈多発性骨髄腫における自家造血幹細胞移植後の維持療法〉
多発性骨髄腫を対象とした維持療法において、通常、成人には1 日1 回、本剤を空腹時に週1 回、
3週間（1、8及び15日目）経口投与した後、13日間休薬（16 ～ 28日目）する。この4週間を1サ
イクルとし、投与を繰り返す。本剤の投与量は、4サイクルまではイキサゾミブとして3mg、
5 サイクル以降はイキサゾミブとして4mg とする。なお、患者の状態により適宜減量する。
（「Ⅴ.3. 用法及び用量」及び「Ⅴ.4. 用法及び用量に関連する注意」の項参照）
（5） 重大な副作用として、血小板減少症、重度の下痢、皮膚粘膜眼症候群（Stevens-Johnson症候群）、
末梢神経障害、可逆性後白質脳症症候群、感染症があらわれることがある。
（「Ⅷ.8（. 1）重大な副作用と初期症状」の項参照）"
IF_1_2,rdfs:seeAlso,"IF_6, IF_5_5_4, IF_5_5_4, IF_5_3, IF_5_4, IF_8_8_1"
IF_1_3,rdf:value,該当しない
IF_1_3,rdfs:seeAlso,
IF_1_4,,"本剤は「再発又は難治性の多発性骨髄腫」［平成29年3月30日、指定番号：（28薬）第375号〕を予定
される効能又は効果として希少疾病用医薬品の指定を受けている。"
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,"ニンラーロ® カプセル 2.3mg, ニンラーロ® カプセル 3mg, ニンラーロ® カプセル 4mg"
IF_2_1_2,rdf:value,"NINLARO® capsules 2.3mg , NINLARO® capsules 3mg, NINLARO® capsules 4mg"
IF_2_1_3,rdf:value,特になし
IF_2_2,,
IF_2_2_1,rdf:value,イキサゾミブクエン酸エステル（JAN）
IF_2_2_2,rdf:value,"Ixazomib Citrate（JAN）、ixazomib（r-INN）"
IF_2_2_3,rdf:value,プロテアソーム阻害薬：-zomib
IF_2_3,rdf:value,
