subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,400256_4291049M1024_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,400256_4291049M1024_1_007_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"4291049M1024, 4291049M2020, 4291049M3027"
,,
4291049M1024,ifo:if_0_8,ニンラーロカプセル2.3mg
4291049M1024,ifo:if_0_9,硬カプセル剤
4291049M1024,ifo:if_0_11,"1 カプセル中イキサゾミブクエン酸エステルとして3.29mg（イキサゾミブとして2.3mg）含有"
4291049M1024,ifo:if_0_13,2017-03-30
4291049M1024,ifo:if_0_14,2017-05-24
4291049M1024,ifo:if_0_15,2017-05-24
4291049M1024,ifo:if_10_8,22900AMX00533
4291049M1024,ifo:yakka_code,4291049M1024
4291049M1024,ifo:yj_code,4291049M1024
4291049M1024,ifo:hot_code,125490701
4291049M1024,ifo:resept_code,622549001
,,
4291049M2020,ifo:if_0_8,ニンラーロカプセル3mg
4291049M2020,ifo:if_0_9,硬カプセル剤
4291049M2020,ifo:if_0_11,"1 カプセル中イキサゾミブクエン酸エステルとして4.30mg（イキサゾミブとして3.0mg）含有"
4291049M2020,ifo:if_0_13,2017-03-30
4291049M2020,ifo:if_0_14,2017-05-24
4291049M2020,ifo:if_0_15,2017-05-24
4291049M2020,ifo:if_10_8,22900AMX00533
4291049M2020,ifo:yakka_code,4291049M2020
4291049M2020,ifo:yj_code,4291049M2020
4291049M2020,ifo:hot_code,125491401
4291049M2020,ifo:resept_code,622549101
,,
4291049M3027,ifo:if_0_8,ニンラーロカプセル4mg
4291049M3027,ifo:if_0_9,硬カプセル剤
4291049M3027,ifo:if_0_11,"1 カプセル中イキサゾミブクエン酸エステルとして5.73mg（イキサゾミブとして4.0mg）含有"
4291049M3027,ifo:if_0_13,2017-03-30
4291049M3027,ifo:if_0_14,2017-05-24
4291049M3027,ifo:if_0_15,2017-05-24
4291049M3027,ifo:if_10_8,22900AMX00533
4291049M3027,ifo:yakka_code,4291049M3027
4291049M3027,ifo:yj_code,4291049M3027
4291049M3027,ifo:hot_code,125492101
4291049M3027,ifo:resept_code,622549201
