subject,predicate,object
IF_0_3,dct:modified,2019-12
IF_0_3,pav:version,1
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,カルシウム受容体作動薬
IF_0_8,rdf:value,"オルケディア錠1mg, オルケディア錠2mg"
IF_0_9,,
IF_0_10,rdf:value,"劇薬、処方箋医薬品＊
　＊注意‐医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,エボカルセト（JAN）
IF_0_12,rdf:value,Evocalcet（JAN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：協和キリン株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"協和キリン株式会社　くすり相談窓口
電話 0120-850-150
受付時間　9：00〜17：30（土・日・祝日及び弊社休日を除く）
医療関係者向けホームページ　https://medical.kyowakirin.co.jp/"
IF_0_19,rdf:value,2019-12
IF_1,,
IF_1_1,rdf:value,"二次性副甲状腺機能亢進症（2HPT）に対する薬剤治療としては、従来活性型ビタミンD 製
剤やリン（P）吸着薬が用いられてきたが、2008 年にカルシウム（Ca）受容体作動薬であ
るレグパラ®（有効成分：シナカルセト塩酸塩）が「維持透析下の二次性副甲状腺機能亢進
症」を効能・効果として国内で使用可能となった。シナカルセト塩酸塩はCa 受容体に作用
することによって、血清Ca 濃度を上昇させずに副甲状腺ホルモン（PTH）分泌を抑制する
性質を有する。
シナカルセト塩酸塩は高い血清PTH 濃度の低下効果を示す一方で、上部消化管に対する副
作用が一定の割合で発現する1）。これらの症状は患者の負担であると同時に、十分な効果を
示す用量までシナカルセト塩酸塩を増量できない一因となっている。また、シナカルセト塩
酸塩は強いチトクロームP450（CYP）2D6 阻害作用を有するため2）、三環系抗うつ薬やブ
チロフェノン系抗精神病薬等の血中濃度を上昇させる可能性があり3）、これらの薬剤との併
用には十分注意しなければならない。このようなシナカルセト塩酸塩が有する問題を軽減す
るCa 受容体作動薬の開発が望まれてきた。
オルケディア®（有効成分：エボカルセト；以下本剤）は、田辺三菱製薬株式会社とキリン
ファーマ株式会社（現 協和キリン株式会社）の共同研究で見出だされた、ナフチルアルキ
ルアミン骨格を有する新規Ca 受容体作動薬である。非臨床試験成績から、エボカルセトは
シナカルセト塩酸塩と同様にCa 受容体に対するアロステリック作動活性※を有するととも
に、上部消化管に対する副作用を軽減できる可能性が示唆された。また、CYP 分子種に対
して強い阻害作用を示さなかった。このことから、エボカルセトはシナカルセト塩酸塩にお
けるアンメットメディカルニーズを満たしうると考え、開発に着手した。
※活性部位以外の場所に結合し作用すること
本剤の維持透析下の2HPT 患者に対する臨床開発は2012 年に開始された。血液透析患者を
対象とした第Ⅱ相二重盲検用量反応試験及び第Ⅲ相臨床試験（ランダム化二重盲検比較試
験、長期投与試験）、腹膜透析患者を対象とした第Ⅲ相一般臨床試験において2HPT 患者に
対する有効性及び安全性が示された。
この結果に基づき、2017 年4 月に製造販売承認申請を行い、2018 年3 月に「維持透析下の
二次性副甲状腺機能亢進症」を効能・効果として、承認を取得した。
さらに、2017 年10 月から本剤の副甲状腺癌及び副甲状腺摘出術（PTx）不能又は術後再発
の原発性副甲状腺機能亢進症（PHPT）における高Ca 血症患者を対象とした第Ⅲ相臨床試
験が開始され、本剤の有効性及び安全性が示された。この結果に基づき、2019 年4 月に医
薬品製造販売承認事項一部変更承認申請を行い、2019 年12 月に「副甲状腺癌及び副甲状
腺摘出術不能又は術後再発の原発性副甲状腺機能亢進症における高カルシウム血症」を効
能・効果として、承認を取得した。
PHPT は、副甲状腺にできた腺腫やがん等の腫瘍、又は過形成した副甲状腺からPTH が過
剰分泌される疾患であり、高Ca 血症を呈する4）。治療の第一選択はPTx であるが5）、合併
症等の問題でPTx が不可能な患者や、術後に再発した患者、病変の多発転移で病的副甲状
腺の全切除が不可能な副甲状腺癌患者も存在する。このような場合には内科的治療が考慮される。本剤は「副甲状腺癌及び副甲状腺摘出術不能又は術後再発の原発性副甲状腺機能亢進
症における高Ca 血症」の患者において有用な選択肢となる。
なお、本剤は、当該疾患に対する治療薬として、2019 年3 月4 日に希少疾病用医薬品指定
を受けている。
二次性副甲状腺機能亢進症（2HPT：secondary hyperparathyroidism）、副甲状腺ホルモン（PTH：
parathyroid hormone）、カルシウム（Ca：calcium）、リン（P：phosphorus）、副甲状腺摘出術（PTx：
parathyroidectomy）、原発性副甲状腺機能亢進症（PHPT：primary hyperparathyroidism）"
IF_1_1,dct:references,"1, 2, 3, 4, 5"
IF_1_2,rdf:value,"1.本剤は国内で研究開発された、経口Ca 受容体作動薬である。
（「Ⅴ.3. 用法及び用量」の項参照）
2.維持透析下の2HPT 患者の血清intact PTH 濃度、血清補正Ca 濃度、血清P 濃度を低下
させ、ガイドライン※管理目標値達成に寄与する。
・血清intact PTH 濃度の管理目標値（60～240pg/mL）達成割合について本剤のシナカ
ルセト塩酸塩に対する非劣性が認められた。
（「Ⅴ.5.(4).1) 有効性検証試験 ■第Ⅲ相実薬対照二重盲検比較試験（7580-010 試験）」の項参照）
3.腹膜透析施行中の2HPT 患者においても血清intact PTH 濃度ガイドライン※管理目標値
達成を指標とし、有効性が確認された。
（「Ⅴ.5.(4).2) 安全性試験 ■第Ⅲ相一般臨床試験（7580-012 試験）」の項参照）
4.副甲状腺癌及びPTx 不能又は術後再発のPHPT における高Ca 血症患者の血清補正Ca
濃度を低下させた。
・血清補正Ca 濃度が10.3mg/dL 以下に2 週間維持された患者割合は、77.8％（18 例中
14 例 、95％信頼区間：52.4～93.6％）であった。
（「Ⅴ.5.(4).1) 有効性検証試験 ■第Ⅲ相非盲検臨床試験（7580-101 試験）」の項参照）
5.副作用
下記の副作用があらわれることがあるので、観察を十分に行い、異常が認められた場合に
は投与を中止するなど適切な処置を行うこと。
・重大な副作用：低カルシウム血症、QT 延長
・その他の副作用（1％以上）：悪心、嘔吐、腹部不快感、下痢、食欲減退、そう痒症
（「Ⅷ.8. 副作用」の項参照）
※慢性腎臓病に伴う骨・ミネラル代謝異常の診療ガイドライン6）より抜粋
第3 章 副甲状腺機能の評価と管理　ステートメント　Ⅰ．PTH の管理指針
1）PTH はintact PTH 60pg/mL 以上240pg/mL 以下の範囲に管理することが望ましい（2D♯）
♯推奨度：2. 弱い（望ましい）、エビデンスレベル：D（最も低い）"
IF_1_2,rdfs:seeAlso,6
IF_1_2,rdfs:seeAlso,"IF_5_3, IF_5_5_4_1, IF_5_4_2"
IF_1_3,rdf:value,特記事項なし
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,（「Ⅰ.6.ＲＭＰの概要」の項参照）
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,無
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,"【希少疾病用医薬品の指定について】
本剤は「副甲状腺癌における高カルシウム血症、副甲状腺摘出術不能又は術後再発の原発性
副甲状腺機能亢進症における高カルシウム血症」を予定される効能又は効果として、2019
年3 月4 日に厚生労働大臣により、希少疾病用医薬品の指定［指定番号：（31 薬）第426
号］を受けている。"
IF_1_5,rdfs:seeAlso,"IF_1_6, IF_5_5_6"
IF_1_5_1,rdf:value,"〈効能共通〉
21.1　医薬品リスク管理計画を策定の上、適切に実施すること。（「Ⅰ.6.ＲＭＰの概要」
の項参照）
〈副甲状腺癌における高カルシウム血症、副甲状腺摘出術不能又は術後再発の原発性副
甲状腺機能亢進症における高カルシウム血症〉
21.2　国内での治験症例が極めて限られていることから、製造販売後、一定数の症例に
係るデータが集積されるまでの間は、全症例を対象に使用成績調査を実施するこ
とにより、本剤使用患者の背景情報を把握するとともに、本剤の安全性及び有効
性に関するデータを早期に収集し、本剤の適正使用に必要な措置を講じること。
（「Ⅴ.5.(6) 治療的使用」の項参照）"
IF_1_5_1,,
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,"オルケディアⓇ錠1mg, オルケディアⓇ錠2mg"
IF_2_1_2,rdf:value,"ORKEDIAⓇTABLETS 1mg, ORKEDIAⓇTABLETS 2mg"
IF_2_1_3,rdf:value,"オーケストラのようにPTH、P、Ca の調和を取りながらコントロール可能にする 、経
口の（Oral）の透析（Dialysis）患者への薬剤"
IF_2_2,,
IF_2_2_1,rdf:value,エボカルセト（JAN）
IF_2_2_2,rdf:value,"Evocalcet（JAN）, evocalcet（r-INN）"
IF_2_2_3,rdf:value,不明
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式：C24H26N2O2
分子量：374.48"
IF_2_5,rdf:value,"2-{4-[(3S)-3-{[(1R)-1-(Naphthalen-1-yl)ethyl]amino}pyrrolidin-1-yl]phenyl}acetic acid
（IUPAC）"
IF_2_6,rdf:value,治験成分記号：KHK7580
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,白色の粉末
IF_3_1_2,rdf:value,"N,N-ジメチルホルムアミドにやや溶けやすく、アセトニトリル及びエタノール（99.5）
に極めて溶けにくく、水にほとんど溶けない。"
IF_3_1_3,rdf:value,明確な吸湿性は認められない。
IF_3_1_4,rdf:value,融点：約177℃（分解）
IF_3_1_5,rdf:value,pKa：4.21、7.93
IF_3_1_6,rdf:value,"logP = 1.00（1-オクタノール/水系）"
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,"比旋光度〔α〕20
D ：-51.9°（N,N-ジメチルホルムアミド）"
IF_3_2,rdf:value,
IF_3_2,dct:references,7
IF_3_3,rdf:value,"有効成分の確認試験法：赤外吸収スペクトル測定法
有効成分の定量法：液体クロマトグラフィー"
IF_4,,
IF_4_1,,
IF_4_1_1,rdf:value,フィルムコーティング錠
IF_4_1_2,rdf:value,
IF_4_1_3,rdf:value,"オルケディア錠 1mg：KH601（錠剤本体、PTP シートに表示）, オルケディア錠 2mg：KH602（錠剤本体、PTP シートに表示）"
IF_4_1_4,rdf:value,含量均一性試験：日局の判定基準に適合した。
IF_4_1_5,rdf:value,該当しない
IF_4_2,,
IF_4_2_1,rdf:value,
IF_4_2_2,rdf:value,該当しない
IF_4_2_3,rdf:value,該当しない
IF_4_3,rdf:value,該当しない
IF_4_4,rdf:value,該当しない
IF_4_5,rdf:value,原薬由来の類縁物質、原薬の分解物が混入する可能性がある。
IF_4_6,rdf:value,
IF_4_6,dct:references,8
IF_4_7,rdf:value,該当しない
IF_4_7,rdfs:seeAlso,
IF_4_8,rdf:value,該当しない
IF_4_9,rdf:value,"試験法：パドル法
測定法：液体クロマトグラフィー"
IF_4_10,,
IF_4_10_1,rdf:value,該当しない
IF_4_10_2,rdf:value,"オルケディア錠1mg：[PTP、乾燥剤入り] 100 錠（10 錠×10）, オルケディア錠2mg：[PTP、乾燥剤入り] 100 錠（10 錠×10）"
