subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,230124_3999044F1024_1_08
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,230124_3999044F1024_1_004_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3999044F1024, 3999044F2020"
,,
3999044F1024,ifo:if_0_8,"オルケディア錠1mg

"
3999044F1024,ifo:if_0_9,フィルムコーティング錠
3999044F1024,ifo:if_0_11,"1 錠中エボカルセト1mg"
3999044F1024,ifo:if_0_13,2018-03-23
3999044F1024,ifo:if_0_14,2018-05-22
3999044F1024,ifo:if_0_15,2018-05-22
3999044F1024,ifo:if_10_8,23000AMX00465000
3999044F1024,ifo:yakka_code,3999044F1024
3999044F1024,ifo:yj_code,3999044F1024
3999044F1024,ifo:hot_code,126334301
3999044F1024,ifo:resept_code,622633401
,,
3999044F2020,ifo:if_0_8,オルケディア錠2mg
3999044F2020,ifo:if_0_9,フィルムコーティング錠
3999044F2020,ifo:if_0_11,"1 錠中エボカルセト2mg"
3999044F2020,ifo:if_0_13,2018-03-23
3999044F2020,ifo:if_0_14,2018-05-22
3999044F2020,ifo:if_0_15,2018-05-22
3999044F2020,ifo:if_10_8,23000AMX00466000
3999044F2020,ifo:yakka_code,3999044F2020
3999044F2020,ifo:yj_code,3999044F2020
3999044F2020,ifo:hot_code,126335001
3999044F2020,ifo:resept_code,622633501
