subject,predicate,object
IF_0_3,dct:modified,2020-02
IF_0_3,pav:version,3
IF_0_4,rdf:value,87625
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗ウイルス化学療法剤
IF_0_8,rdf:value,ドラビリン錠
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品：注意－医師等の処方箋により使用すること
IF_0_11,,
IF_0_12,rdf:value,ドラビリン（JAN）
IF_0_12,rdf:value,Doravirine（JAN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：MSD株式会社
"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"MSD カスタマーサポートセンター
医療関係者の方：フリーダイヤル 0120-024-961
＜受付時間＞ 9:00～17:30（土日祝日・当社休日を除く）
医療関係者向けホームページ https://www.msdconnect.jp/"
IF_0_19,rdf:value,2020-01
IF_1,,
