subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,170050_6250049F1021_1_02
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,170050_6250049F1021_1_004_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,6250049F1021
,,
6250049F1021,ifo:if_0_8,ピフェルトロ®錠100mg
6250049F1021,ifo:if_0_9,
6250049F1021,ifo:if_0_11,
6250049F1021,ifo:if_0_13,2020-01-14
6250049F1021,ifo:if_0_14,2020-01-22
6250049F1021,ifo:if_0_15,2020-02-17
6250049F1021,ifo:if_10_8,30200AMX00002000
6250049F1021,ifo:yakka_code,6250049F1021
6250049F1021,ifo:yj_code,6250049F1021
6250049F1021,ifo:hot_code,127028001
6250049F1021,ifo:resept_code,622702801
