subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,社内資料：外国人健康成人を対象とした海外第Ⅰ相試験（001試験）
1,dct:dateAccepted,2020-01-14
1,ifo:internal_reference_id,
1,ifo:ctd_number,CTD2.7.4.2
2,rdf:type,bibo:Document
2,rdfs:label,社内資料：QT/QTc評価試験（017試験）
2,dct:dateAccepted,2020-01-14
2,ifo:internal_reference_id,
2,ifo:ctd_number,CTD2.7.2.2
3,rdf:type,bibo:Document
3,rdfs:label,承認時評価資料：未治療成人HIV-1感染患者を対象とした海外後期第Ⅱ相試験（007試験）
3,dct:dateAccepted,2020-01-14
3,ifo:internal_reference_id,
3,ifo:ctd_number,CTD2.7.6
4,rdf:type,bibo:Document
4,rdfs:label,承認時評価資料：未治療成人HIV-1感染患者を対象とした海外第Ⅲ相試験（018試験）
4,dct:dateAccepted,2020-01-14
4,ifo:internal_reference_id,
4,ifo:ctd_number,CTD2.7.6
5,rdf:type,bibo:Article
5,dct:references,29592840
5,ifo:internal_reference_id,018試験；48週時
6,rdf:type,bibo:Document
6,rdfs:label,承認時評価資料：未治療成人HIV-1感染患者を対象とした海外第Ⅲ相試験（021試験）
6,dct:dateAccepted,2020-01-14
6,ifo:internal_reference_id,
6,ifo:ctd_number,CTD2.7.6
7,rdf:type,bibo:Article
7,dct:references,30184165
7,ifo:internal_reference_id,021試験；48週時
8,rdf:type,bibo:Document
8,rdfs:label,承認時評価資料：既治療成人HIV-1感染患者を対象とした海外第Ⅲ相試験（024試験）
8,dct:dateAccepted,2020-01-14
8,ifo:internal_reference_id,
8,ifo:ctd_number,CTD2.7.6
9,rdf:type,bibo:Article
9,dct:references,30985556
9,ifo:internal_reference_id,024試験；48週時
10,rdf:type,bibo:Article
10,dct:references,24379202
10,ifo:internal_reference_id,
11,rdf:type,bibo:Document
11,rdfs:label,社内資料：NNRTI耐性変異を有するHIV-1実験室株に対するドラビリンの抗ウイルス活性
11,dct:dateAccepted,2020-01-14
11,ifo:internal_reference_id,
11,ifo:ctd_number,CTD2.6.2.2.1.2.1
12,rdf:type,bibo:Document
12,rdfs:label,社内資料：耐性選択試験
12,dct:dateAccepted,2020-01-14
12,ifo:internal_reference_id,
12,ifo:ctd_number,CTD2.6.2.2.1.3
13,rdf:type,bibo:Document
13,rdfs:label,社内資料：抗HIV治療経験がない患者における薬剤耐性（48週時）
13,dct:dateAccepted,2020-01-14
13,ifo:internal_reference_id,
13,ifo:ctd_number,CTD2.5.4.4.2
14,rdf:type,bibo:Document
14,rdfs:label,社内資料：抗HIV治療経験がない患者における薬剤耐性（48週時～96週時）
14,dct:dateAccepted,2020-01-14
14,ifo:internal_reference_id,
14,ifo:ctd_number,CTD2.7.3
15,rdf:type,bibo:Document
15,rdfs:label,社内資料：抗HIV治療経験がある患者における薬剤耐性
15,dct:dateAccepted,2020-01-14
15,ifo:internal_reference_id,
15,ifo:ctd_number,CTD2.7.6
16,rdf:type,bibo:Article
16,dct:references,31425317
16,ifo:internal_reference_id,
17,rdf:type,bibo:Article
17,dct:references,20692295
17,ifo:internal_reference_id,
18,rdf:type,bibo:Article
18,dct:references,26833152
18,ifo:internal_reference_id,
19,rdf:type,bibo:Document
19,rdfs:label,社内資料：臨床試験における交差耐性の解析
19,dct:dateAccepted,2020-01-14
19,ifo:internal_reference_id,
19,ifo:ctd_number,"CTD2.5.4.4.2, 2.7.3.2.1.2.6"
20,rdf:type,bibo:Document
20,rdfs:label,社内資料：本剤単回経口投与時の薬物動態に関する検討（039試験）
20,dct:dateAccepted,2020-01-14
20,ifo:internal_reference_id,
20,ifo:ctd_number,CTD2.7.1.2
21,rdf:type,bibo:Document
21,rdfs:label,社内資料：ドラビリン反復経口投与時の薬物動態に関する検討（001試験）
21,dct:dateAccepted,2020-01-14
21,ifo:internal_reference_id,
21,ifo:ctd_number,CTD2.7.2.2
22,rdf:type,bibo:Document
22,rdfs:label,社内資料：ドラビリンの母集団薬物動態解析
22,dct:dateAccepted,2020-01-14
22,ifo:internal_reference_id,
22,ifo:ctd_number,"CTD2.7.2.2, 2.7.2.3, 2.7.2.6"
23,rdf:type,bibo:Article
23,dct:references,28349328
23,ifo:internal_reference_id,"037試験
"
24,rdf:type,bibo:Document
24,rdfs:label,社内資料：薬物相互作用試験
24,dct:dateAccepted,2020-01-14
24,ifo:internal_reference_id,
24,ifo:ctd_number,CTD2.7.2.6
25,rdf:type,bibo:Document
25,rdfs:label,社内資料：外国人健康成人を対象とした海外第Ⅰ相試験（044試験）
25,dct:dateAccepted,2020-01-14
25,ifo:internal_reference_id,
25,ifo:ctd_number,CTD2.7.1.2
26,rdf:type,bibo:Document
26,rdfs:label,社内資料：本剤の絶対的バイオアベイラビリティに関する検討
26,dct:dateAccepted,2020-01-14
26,ifo:internal_reference_id,
26,ifo:ctd_number,CTD2.7.1.3
27,rdf:type,bibo:Document
27,rdfs:label,社内資料：ドラビリンの組織分布に関する検討
27,dct:dateAccepted,2020-01-14
27,ifo:internal_reference_id,
27,ifo:ctd_number,"CTD2.6.4.1, 2.6.4.4"
28,rdf:type,bibo:Document
28,rdfs:label,社内資料：ドラビリンの胎盤移行に関する検討
28,dct:dateAccepted,2020-01-14
28,ifo:internal_reference_id,
28,ifo:ctd_number,CTD2.6.4.4
29,rdf:type,bibo:Document
29,rdfs:label,社内資料：ドラビリンの乳汁移行に関する検討
29,dct:dateAccepted,2020-01-14
29,ifo:internal_reference_id,
29,ifo:ctd_number,CTD2.6.4.6
30,rdf:type,bibo:Article
30,dct:references,29557716
30,ifo:internal_reference_id,
31,rdf:type,bibo:Document
31,rdfs:label,社内資料：ドラビリンのCYP代謝及び阻害に関する検討
31,dct:dateAccepted,2020-01-14
31,ifo:internal_reference_id,
31,ifo:ctd_number,CTD2.6.4.7
32,rdf:type,bibo:Document
32,rdfs:label,社内資料：ドラビリンの代謝物の活性に関する検討
32,dct:dateAccepted,2020-01-14
32,ifo:internal_reference_id,
32,ifo:ctd_number,"CTD2.7.2.2, 2.7.2.3"
33,rdf:type,bibo:Document
33,rdfs:label,社内資料：ドラビリンの排泄に関する検討
33,dct:dateAccepted,2020-01-14
33,ifo:internal_reference_id,
33,ifo:ctd_number,"CTD2.7.2.2, 2.7.2.3"
34,rdf:type,bibo:Document
34,rdfs:label,社内資料：トランスポーターに関する検討
34,dct:dateAccepted,2020-01-14
34,ifo:internal_reference_id,
34,ifo:ctd_number,"CTD2.6.4.7, 2.6.4.9"
35,rdf:type,bibo:Article
35,dct:references,29891610
35,ifo:internal_reference_id,
36,rdf:type,bibo:Article
36,dct:references,28026013
36,ifo:internal_reference_id,
37,rdf:type,bibo:Article
37,dct:references,28206979
37,ifo:internal_reference_id,
38,rdf:type,bibo:Document
38,rdfs:label,社内資料：安全性薬理試験
38,dct:dateAccepted,2020-01-14
38,ifo:internal_reference_id,
38,ifo:ctd_number,CTD2.6.2.4
39,rdf:type,bibo:Document
39,rdfs:label,社内資料：副次的薬理試験
39,dct:dateAccepted,2020-01-14
39,ifo:internal_reference_id,
39,ifo:ctd_number,CTD2.6.2.3
40,rdf:type,bibo:Document
40,rdfs:label,社内資料：反復投与毒性試験
40,dct:dateAccepted,2020-01-14
40,ifo:internal_reference_id,
40,ifo:ctd_number,CTD2.6.6.3
41,rdf:type,bibo:Document
41,rdfs:label,社内資料：遺伝毒性試験
41,dct:dateAccepted,2020-01-14
41,ifo:internal_reference_id,
41,ifo:ctd_number,CTD2.6.6.4
42,rdf:type,bibo:Document
42,rdfs:label,社内資料：がん原性試験
42,dct:dateAccepted,2020-01-14
42,ifo:internal_reference_id,
42,ifo:ctd_number,CTD2.6.6.5
43,rdf:type,bibo:Document
43,rdfs:label,社内資料：生殖発生毒性試験
43,dct:dateAccepted,2020-01-14
43,ifo:internal_reference_id,
43,ifo:ctd_number,CTD2.6.6.6
44,rdf:type,bibo:Document
44,rdfs:label,社内資料：局所刺激性試験
44,dct:dateAccepted,2020-01-14
44,ifo:internal_reference_id,
44,ifo:ctd_number,CTD2.6.6.7
45,rdf:type,bibo:Document
45,rdfs:label,社内資料：その他の毒性試験
45,dct:dateAccepted,2020-01-14
45,ifo:internal_reference_id,
45,ifo:ctd_number,CTD2.6.6.8
