subject,predicate,object
IF_0_3,dct:modified,2020-06
IF_0_3,pav:version,11
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,"ヒト型抗RANKL モノクローナル抗体製剤"
IF_0_8,rdf:value,デノスマブ（遺伝子組換え）注
IF_0_9,,
IF_0_10,rdf:value,注射剤
IF_0_11,,
IF_0_12,rdf:value,デノスマブ（遺伝子組換え）（JAN）
IF_0_12,rdf:value,"Denosumab（Genetical Recombination）（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：第一三共株式会社
提 携：AMGEN"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"第一三共株式会社 製品情報センター
TEL：0120-189-132 FAX：03-6225-1922
医療関係者向けホームページ
https://www.medicallibrary-dsc.info"
IF_0_19,rdf:value,2020-03
IF_1,,
