subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,430574_3999435G1023_1_12
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,430574_3999435G1023_1_P12_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,3999435G1023
,,
3999435G1023,ifo:if_0_8,"プラリア皮下注60mg シリンジ"
3999435G1023,ifo:if_0_9,注射剤
3999435G1023,ifo:if_0_11,"1 シリンジ中にデノスマブ（遺伝子組換え）60mg／1mL を含有"
3999435G1023,ifo:if_0_13,2013-03-25
3999435G1023,ifo:if_0_14,2013-05-24
3999435G1023,ifo:if_0_15,2013-06-11
3999435G1023,ifo:if_10_8,22500AMX00870
3999435G1023,ifo:yakka_code,3999435G1023
3999435G1023,ifo:yj_code,3999435G1023
3999435G1023,ifo:hot_code,1223910010101
3999435G1023,ifo:resept_code,622239101
